locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FucR,ExuR,link
b2800,0.309758026,fucA,L-fuculose-phosphate aldolase,Carbohydrate transport and metabolism,fucAO,"RpoD,Crp,FucR,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10348
b2801,0.2834748714,fucP,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10352
b2802,0.26888049,fucI,L-fucose isomerase,Carbohydrate transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10349
b2799,0.240165439,fucO,L-1%2C2-propanediol oxidoreductase,Energy production and conversion,fucAO,"RpoD,YdcN,Crp,FucR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10351
b2803,0.2190148611,fucK,L-fuculokinase,Nucleotide transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10350
b1521,0.1808192335,uxaB,tagaturonate reductase,Carbohydrate transport and metabolism,uxaB,"RpoD,YdcN,YciT,YqhC,YdhB,YebK,YdiP,YbcM,ExuR,Crp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11065
b3092,0.1707136189,uxaC,D-glucoronate/D-galacturonate isomerase,Carbohydrate transport and metabolism,uxaCA,"RpoD,YdcN,YqhC,YdhB,YbcM,YebK,YedW,ExuR,Crp,Fnr,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G81
b3091,0.1624930736,uxaA,D-altronate dehydratase,Carbohydrate transport and metabolism,uxaCA,"RpoD,ExuR,Crp,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12734
b2804,0.159586591,fucU,L-fucose mutarotase,Carbohydrate transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,ppGpp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10355
b3011,0.1320164269,yqhD,NADPH-dependent aldehyde reductase YqhD,Energy production and conversion,yqhD-dkgA,"RpoD,YqhC",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7564
b2172,0.1166428781,yeiQ,putative dehydrogenase%2C NAD-dependent,Carbohydrate transport and metabolism,yeiQ,"YfeC,YqhC,ArcA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12036
b3093,0.1089426574,exuT,hexuronate transporter,Inorganic ion transport and metabolism,exuT,"YqhC,ExuR,Crp,DpiA,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12738
b0268,0.0893530965,yagE,CP4-6 prophage%3B putative 2-keto-3-deoxygluconate aldolase,Amino acid transport and metabolism,yagEF,XynR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6140
b4025,0.088060858,pgi,glucose-6-phosphate isomerase,Nucleotide transport and metabolism,pgi,"RpoD,SoxS,RpoS",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10702
b0269,0.082194052,yagF,CP4-6 prophage%3B D-xylonate dehydratase,Amino acid transport and metabolism,yagEF,XynR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6141
