locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SigM,link
BSU_23830,0.1778171761491965,yqjL,putative hydrolase,Function unknown,Op1905,"SigM,SigW,SigB,SigV",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_23830
BSU_27180,0.17362998087103929,yrhH,putative methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2172,"SigM,SigW,SigX",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27180
BSU_38480,0.14493534554505086,relQ,(p)ppGpp synthetase,Function unknown,Op2981,"SigM,SigW,SigV",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_38480
BSU_27160,0.11942700192016498,cypB,cytochrome P450 CYP102A3,Energy production and conversion,Op2171,"SigM,SigW,FatR,SigX",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27160
BSU_04230,0.10979493333490163,amj,lipid II flippase,"Intracellular trafficking, secretion, and vesicular transport",Op315,SigM,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04230
BSU_23370,0.10834189615198024,ypuA,putative exported protein,Function unknown,Op1877,SigM,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_23370
BSU_22980,0.10655814782602348,ypbG,putative phosphoesterase,Function unknown,Op1852,SigM,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_22980
BSU_27170,0.10045746683222267,bscR,transcriptional regulator for cypB,Transcription,Op2171,"SigM,SigW,FatR,SigX",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27170
BSU_06380,0.0972330620282476,yebC,putative integral inner membrane protein,Cell wall/membrane/envelope biogenesis,Op514,"SigM,SigV",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_06380
BSU_09520,0.09269909821492447,sigM,RNA polymerase ECF (extracytoplasmic function)-type sigma factor (sigma(M)),Transcription,Op736,"SigM,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_09520
BSU_07260,0.0887410007393407,ltaSA,exported glycerol phosphate lipoteichoic acid synthetase and anion-binding protein,Cell wall/membrane/envelope biogenesis,Op584,SigM,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_07260
BSU_09500,0.08870547615769521,asiMB,negative regulator of the activity of sigma-M,Function unknown,Op736,"SigM,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_09500
BSU_15230,0.08441094015629569,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,Cell wall/membrane/envelope biogenesis,Op1192,"SigM,SigA,SigE,SpoIIID,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_15230
BSU_28050,0.08142758828947302,maf,nucleoside triphosphate pyrophosphatase%3B septum formation DNA-binding protein (multicopy associated filamentation),"Cell cycle control, cell division, chromosome partitioning",Op2240,"SigM,ComK,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_28050
BSU_09510,0.08082595693269475,asiMA,negative regulator of the activity of sigma-M,Function unknown,Op736,"SigM,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_09510
BSU_28040,0.07963684790576506,ysxA,conserved nucleotide-related metabolism protein,Amino acid transport and metabolism,Op2239,"SigM,ComK,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_28040
BSU_33490,0.07688591399815921,cadA,Cd(II)%2C Zn(II) and Co(II) exporter (ATPase),Inorganic ion transport and metabolism,Op2632,"SigA,CzrA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_33490
BSU_11490,0.07656941887220642,yjbC,putative thiol oxidation management factor%3B putative acetyltransferase,Transcription,Op892,"PerR,SigM,SigW,SigB,SigX",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_11490
BSU_34500,0.07334505053667974,psmB,sodium-proton two component antiporter subunit,Inorganic ion transport and metabolism,Op2691,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34500
