locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
b3346,0.4770175494,yheO,putative DNA-binding transcriptional regulator YheO,Function unknown,yheO-tusDCB,YfeC,https://ecocyc.org/gene?orgid=ECOLI&id=G7715
b3708,0.1067283648,tnaA,tryptophanase,Amino acid transport and metabolism,tnaCAB,"RpoD,Crp,TorR,RplD,Nac,L-tryptophan",https://ecocyc.org/gene?orgid=ECOLI&id=EG11005
b4535,0.1064099971,yniD,uncharacterized protein YniD,No COG annotation,,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10453
b3709,0.0950407157,tnaB,tryptophan:H(+) symporter TnaB,Amino acid transport and metabolism,tnaCAB,"RpoD,Crp,TorR,Nac,L-tryptophan",https://ecocyc.org/gene?orgid=ECOLI&id=EG11006
b1346,-0.08365776130000001,xisR,Rac prophage%3B excisionase,Function unknown,,,https://ecocyc.org/gene?orgid=ECOLI&id=G6677
b1544,-0.0849864073,ydfK,Qin prophage%3B cold shock protein YdfK,Transcription,,"Nac,GlaR",https://ecocyc.org/gene?orgid=ECOLI&id=G6818
b1379,-0.0946250366,hslJ,lipoprotein implicated in Novobiocin resistance,"Post-translational modification, protein turnover,and chaperones",hslJ,"RpoD,CysB",https://ecocyc.org/gene?orgid=ECOLI&id=G6702
b3345,-0.1084730129,tusD,sulfurtransferase complex subunit TusD,"Translation, ribosomal structure and biogenesis",yheO-tusDCB,,https://ecocyc.org/gene?orgid=ECOLI&id=G7714
b3344,-0.1244157201,tusC,sulfurtransferase complex subunit TusC,"Translation, ribosomal structure and biogenesis",yheO-tusDCB,,https://ecocyc.org/gene?orgid=ECOLI&id=G7713
b2210,-0.150027761,mqo,malate:quinone oxidoreductase,Energy production and conversion,mqo,"Lrp,ArcA",https://ecocyc.org/gene?orgid=ECOLI&id=EG12069
b1380,-0.2298358711,ldhA,D-lactate dehydrogenase,Energy production and conversion,ldhA,"YheO,RpoH,Lrp",https://ecocyc.org/gene?orgid=ECOLI&id=G592
