locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CysB,link
b2762,0.3499821992,cysH,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,cysJIH,"RpoD,HypT,CysB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10189
b2763,0.2359449838,cysI,sulfite reductase%2C hemoprotein subunit,Coenzyme transport and metabolism,cysJIH,"RpoD,CysB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10190
b2422,0.1895646282,cysA,sulfate/thiosulfate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10183
b2750,0.1766819949,cysC,adenylyl-sulfate kinase,Nucleotide transport and metabolism,cysDNC,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10185
b2421,0.1427367247,cysM,cysteine synthase B,Amino acid transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10193
b0832,0.1256094931,gsiD,glutathione ABC transporter membrane subunit GsiD,Amino acid transport and metabolism,iaaA-gsiABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6432
b2751,0.1129528592,cysN,sulfate adenylyltransferase subunit 1,Coenzyme transport and metabolism,cysDNC,"RpoD,CysB,ppGpp,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10194
b2012,0.1019211247,yeeD,putative sulfurtransferase YeeD,"Post-translational modification, protein turnover,and chaperones",yeeED,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11894
b3829,0.10160989250000001,metE,cobalamin-independent homocysteine transmethylase,Amino acid transport and metabolism,metE,"OxyR,YcjW,MetJ,MetR,Nac,fnrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10584
b0831,0.1005469361,gsiC,glutathione ABC transporter membrane subunit GsiC,Amino acid transport and metabolism,iaaA-gsiABCD,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6431
b0828,-0.0844293296,iaaA,isoaspartyl dipeptidase proenzyme,Amino acid transport and metabolism,iaaA-gsiABCD,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12407
b2013,-0.0916837795,yeeE,inner membrane protein YeeE,Function unknown,yeeED,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11895
b1729,-0.09365147630000001,tcyP,cystine/sulfocysteine:cation symporter,"Intracellular trafficking, secretion, and vesicular transport",tcyP,CysB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6934
b2424,-0.17366461200000002,cysU,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10197
b2425,-0.302063956,cysP,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10195
