locus,gene_weight,gene_name,gene_product,cog,regulator,Crp,link
b2093,0.3346153539343757,gatB,galactitol-specific PTS enzyme IIB component,Carbohydrate transport and metabolism,"RpoD,GatR,ArcA,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12415
b2091,0.330425218868338,gatD,galactitol-1-phosphate 5-dehydrogenase,Amino acid transport and metabolism,"RpoD,GatR,ArcA,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12417
b2092,0.3291116897454214,gatC,galactitol-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,"RpoD,GatR,ArcA,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12416
b2094,0.2988620742846869,gatA,galactitol-specific PTS enzyme IIA component,Carbohydrate transport and metabolism,"RpoD,GatR,ArcA,Crp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12414
b2095,0.2532569234582426,gatZ,tagatose-1%2C6-bisphosphate aldolase 2 subunit GatZ,Carbohydrate transport and metabolism,"RpoD,gcvB,GatR,ArcA,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7128
b2096,0.2111127180411128,gatY,tagatose-1%2C6-bisphosphate aldolase 2 subunit GatY,Nucleotide transport and metabolism,"RpoD,GatR,ArcA,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12419
b4498,0.1324794026797367,gatR,DNA-binding transcriptional repressor GatR%2C N-terminal fragment,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12162
b1426,0.1173050109783294,ydcH,protein YdcH,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12865
b1818,0.1061086443649157,manY,mannose-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,"RpoD,Crp,NagC,Mlc,Cra,sgrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10568
b1819,0.1039334720504986,manZ,mannose-specific PTS enzyme IID component,Carbohydrate transport and metabolism,"RpoD,Crp,NagC,Mlc,Cra,sgrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10569
b1817,0.0995035729580277,manX,mannose-specific PTS enzyme IIAB component,Carbohydrate transport and metabolism,"RpoD,Crp,NagC,Mlc,Cra,dicF,Hfq,sgrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10567
b2597,0.0845938254071363,raiA,stationary phase translation inhibitor and ribosome stability factor,"Translation, ribosomal structure and biogenesis","RpoH,Crp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11151
b1415,0.0774819870570679,aldA,aldehyde dehydrogenase A,Energy production and conversion,"RpoD,Rob,YidZ,SoxS,Fnr,Crp,MarA,ArcA,DnaA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10035
b2240,0.0717228691163954,glpT,sn-glycerol 3-phosphate:phosphate antiporter,Inorganic ion transport and metabolism,"RpoD,Fnr,Fis,Crp,IHF,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10401
b2150,0.0672028191305194,mglB,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,"RpoD,RpoS,GalR,GalS,FlhDC,Crp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10593
b2149,0.0609753354611841,mglA,D-galactose/methyl-galactoside ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,RpoS,GalR,GalS,Fis,FlhDC,Crp,ppGpp,Nac,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10592
b3001,0.0602815833937867,gpr,L-glyceraldehyde 3-phosphate reductase,Energy production and conversion,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7558
b1820,0.059319439799566,yobD,conserved inner membrane protein YobD,Function unknown,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6998
b2148,0.0590161777229363,mglC,D-galactose/methyl-galactoside ABC transporter membrane subunit,Carbohydrate transport and metabolism,"RpoD,RpoS,GalR,GalS,Fis,FlhDC,Crp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10594
b3358,0.0561595339201299,yhfK,putative transporter YhfK,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7721
b4021,0.0524440923182972,pepE,peptidase E,Amino acid transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11920
