locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PurR,link
b3654,0.32810013520000003,xanP,xanthine:H(+) symporter XanP,Nucleotide transport and metabolism,xanP,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11194
b2499,0.2892997028,purM,phosphoribosylformylglycinamide cyclo-ligase,Nucleotide transport and metabolism,purMN,"RpoD,ppGpp,PurR,Fnr,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10798
b2557,0.2431462118,purL,phosphoribosylformylglycinamide synthetase,Nucleotide transport and metabolism,purL,"RpoD,PurR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10797
b1849,0.2424598712,purT,phosphoribosylglycinamide formyltransferase 2,Nucleotide transport and metabolism,purT,"RpoD,ppGpp,PurR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11809
b0522,0.2421032183,purK,5-(carboxyamino)imidazole ribonucleotide synthase,Nucleotide transport and metabolism,purEK,"RpoD,PurR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10796
b0523,0.2408412658,purE,N(5)-carboxyaminoimidazole ribonucleotide mutase,Nucleotide transport and metabolism,purEK,"RpoD,PurR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10793
b4064,0.2316668137,ghxP,guanine/hypoxanthine transporter GhxP,Function unknown,ghxP,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11939
b4006,0.226956493,purH,bifunctional AICAR transformylase/IMP cyclohydrolase,Nucleotide transport and metabolism,purHD,"RpoD,PhoP,ppGpp,PurR,RbsR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10795
b2476,0.2254542839,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism,purC,"RpoD,ppGpp,PurR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10791
b4005,0.2052974129,purD,phosphoribosylamine--glycine ligase,Nucleotide transport and metabolism,purHD,"RpoD,PhoP,ppGpp,PurR,RbsR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10792
b2313,0.16997263510000002,cvpA,colicin V production protein,Function unknown,cvpA-purF-ubiX,"RpoD,ppGpp,PurR,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10169
b2312,0.16431412880000001,purF,amidophosphoribosyltransferase,Nucleotide transport and metabolism,cvpA-purF-ubiX,"RpoD,ppGpp,PurR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10794
b3714,0.1382753717,adeP,adenine:H(+) symporter,Function unknown,adeP,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11724
b2500,0.1379425072,purN,phosphoribosylglycinamide formyltransferase 1,Nucleotide transport and metabolism,purMN,"RpoD,PurR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10799
b1131,0.1056884695,purB,adenylosuccinate lyase,Nucleotide transport and metabolism,hflD-purB,"RpoD,ppGpp,PurR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11314
