locus,gene_weight,gene_name,gene_product,cog,operon,regulator,TfoX,link
PN96_RS10715,0.1242656312464656,PN96_RS10715,serine protease,Cell wall/membrane/envelope biogenesis,Op2518,,False,
PN96_RS04895,0.1211775695114484,PN96_RS04895,CPBP family intramembrane metalloprotease,No COG annotation,Op1211,,False,
PN96_RS09610,0.1201515837023229,PN96_RS09610,multidrug transporter,Function unknown,Op2398,,False,
PN96_RS05145,0.1197814730240534,pilW,type IV pilus biogenesis/stability protein PilW,Cell motility,Op1274,TfoX,True,
PN96_RS15040,0.1173872509452451,pilM,type IV pilus assembly protein PilM,Cell motility,Op3035,TfoX,True,
PN96_RS23455,0.1136752494511105,PN96_RS23455,hypothetical protein,No COG annotation,Op2248,,False,
PN96_RS01950,0.1116601379112459,PN96_RS01950,porin family protein,Function unknown,Op455,,False,
PN96_RS07470,0.1101410284751185,TfoX,TfoX/Sxy family DNA transformation protein,Transcription,Op1901,"AphA,Crp,NagC,TfoX",True,
PN96_RS06845,0.1091934101351133,PN96_RS06845,hypothetical protein,No COG annotation,Op1736,,False,
PN96_RS01345,0.1078024248640928,PN96_RS01345,pilin,Cell motility,Op277,"QstR,TfoX",True,
PN96_RS15045,0.1057837605737191,pilN,PilN domain-containing protein,Cell motility,Op3035,TfoX,True,
PN96_RS15055,0.1020266545268922,pilP,pilus assembly protein PilP,Cell motility,Op3035,TfoX,True,
PN96_RS06840,0.1003345680576918,PN96_RS06840,hypothetical protein,No COG annotation,Op1735,,False,
PN96_RS06835,0.0976119166150495,PN96_RS06835,N-acetyltransferase,Transcription,Op1734,,False,
PN96_RS02005,0.0954072888059475,PN96_RS02005,hypothetical protein,Function unknown,Op470,,False,
PN96_RS06830,0.0946046301465632,PN96_RS06830,hypothetical protein,No COG annotation,Op1733,,False,
PN96_RS15060,0.0941759241880671,pilQ,type IV pilus secretin PilQ family protein,"Intracellular trafficking, secretion, and vesicular transport",Op3035,TfoX,True,
PN96_RS09605,0.0937836192343781,PN96_RS09605,DUF2799 domain-containing protein,Function unknown,Op2397,,False,
PN96_RS13730,0.0935208947811866,tsaP,LysM peptidoglycan-binding domain-containing protein,Energy production and conversion,Op2878,"QstR,TfoX",True,
PN96_RS15050,0.0934371646808017,pilO,type 4a pilus biogenesis protein PilO,Cell motility,Op3035,TfoX,True,
PN96_RS05480,0.0927196344218749,PN96_RS05480,DUF6404 family protein,No COG annotation,Op1364,,False,
PN96_RS23875,0.0907444477959152,PN96_RS23875,hypothetical protein,No COG annotation,Op1733,,False,
PN96_RS06815,0.0898639871578292,PN96_RS06815,hypothetical protein,No COG annotation,Op1729,,False,
PN96_RS01340,0.0879493407389101,pilB,type IV-A pilus assembly ATPase PilB,Cell motility,Op277,TfoX,True,
PN96_RS12935,0.0878965024375529,PN96_RS12935,DUF4124 domain-containing protein,Function unknown,Op2789,TfoX,True,
PN96_RS06810,0.0878399021925186,PN96_RS06810,DUF2059 domain-containing protein,Function unknown,Op1727,,False,
PN96_RS06805,0.087468312739294,PN96_RS06805,hypothetical protein,No COG annotation,Op1727,,False,
PN96_RS10365,0.0849191669062203,PN96_RS10365,GspH/FimT family pseudopilin,Cell motility,Op2471,,False,
PN96_RS06825,0.0846786362992408,PN96_RS06825,nicotinamide mononucleotide transporter,Function unknown,Op1731,,False,
PN96_RS21085,0.0830236543215576,PN96_RS21085,EAL domain-containing protein,Signal transduction mechanisms,Op1582,QstR,False,
PN96_RS10370,0.0829989465857998,PN96_RS10370,prepilin-type N-terminal cleavage/methylation domain-containing protein,Cell motility,Op2472,,False,
PN96_RS21840,0.0829833226524914,PN96_RS21840,DeoR/GlpR family DNA-binding transcription regulator,Transcription,Op1787,,False,
PN96_RS04885,0.0826626252368287,PN96_RS04885,beta-N-acetylhexosaminidase,Carbohydrate transport and metabolism,Op1208,,False,
PN96_RS20170,0.0815907533957819,PN96_RS20170,hypothetical protein,No COG annotation,Op1331,,False,
PN96_RS16500,0.080640509527788,VV21177,ATP-binding cassette domain-containing protein,Inorganic ion transport and metabolism,Op349,Fur,False,
PN96_RS20750,0.0788858813135779,PN96_RS20750,helix-turn-helix domain-containing protein,Transcription,Op1480,,False,
PN96_RS16505,0.0784758720050562,VV21178,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Op349,Fur,False,
PN96_RS06105,0.0782906702046047,PN96_RS06105,DNA ligase,"Replication, recombination and repair",Op1540,"QstR,TfoX",True,
PN96_RS06820,0.0762649916698504,PN96_RS06820,aminoglycoside phosphotransferase family protein,Function unknown,Op1730,,False,
PN96_RS06950,0.0758349218230974,PN96_RS06950,hypothetical protein,No COG annotation,Op1763,,False,
PN96_RS21825,0.0748137037442219,fucA,L-fuculose-phosphate aldolase,Carbohydrate transport and metabolism,Op1781,,False,
PN96_RS03805,0.073732579149963,PN96_RS03805,MBL fold metallo-hydrolase,Function unknown,Op964,,False,
PN96_RS13355,0.0731601061474723,PN96_RS13355,response regulator transcription factor,Transcription,Op2838,,False,
PN96_RS16340,0.0730123524690296,PN96_RS16340,AraC family transcriptional regulator,Transcription,Op304,,False,
PN96_RS09165,0.0724781041773146,PN96_RS09165,M6 family metalloprotease domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op2334,OpaR,False,
PN96_RS04880,0.0713546625195032,PN96_RS04880,response regulator transcription factor,Signal transduction mechanisms,Op1206,,False,
PN96_RS18665,0.0701867815088833,PN96_RS18665,helix-turn-helix domain-containing protein,Transcription,Op935,,False,
PN96_RS10360,0.0700208576695344,PN96_RS10360,prepilin-type N-terminal cleavage/methylation domain-containing protein,Cell motility,Op2471,,False,
PN96_RS13070,0.0693367158684038,PN96_RS13070,hypothetical protein,No COG annotation,Op2808,,False,
PN96_RS21820,0.0684720572650589,fucO,lactaldehyde reductase,Energy production and conversion,Op1781,,False,
PN96_RS21835,0.0680009204393609,fucI,L-fucose isomerase,Carbohydrate transport and metabolism,Op1781,,False,
PN96_RS06085,0.0657182216516663,PN96_RS06085,CPXCG motif-containing cysteine-rich protein,Function unknown,Op1534,,False,
PN96_RS09320,0.0643763061388856,PN96_RS09320,trypsin-like serine protease,"Post-translational modification, protein turnover, and chaperones",Op2356,,False,
PN96_RS20110,0.063711927940865,PN96_RS20110,LemA family protein,Function unknown,Op1312,,False,
PN96_RS15475,0.0631834621935002,PN96_RS15475,GGDEF domain-containing protein,Signal transduction mechanisms,Op58,,False,
PN96_RS15470,0.0623551588018062,PN96_RS15470,hypothetical protein,Function unknown,Op58,,False,
PN96_RS02945,0.0622451816102345,PN96_RS02945,ABC transporter substrate-binding protein,Amino acid transport and metabolism,Op707,,False,
PN96_RS05740,0.0605187121935519,PN96_RS05740,hypothetical protein,No COG annotation,Op1446,,False,
PN96_RS04875,0.0599339322089126,PN96_RS04875,HAMP domain-containing histidine kinase,Signal transduction mechanisms,Op1206,,False,
PN96_RS11630,0.0594681614122714,PN96_RS11630,flagellin,Cell motility,Op2636,,False,
PN96_RS16495,0.057957639509829,VCA0003,hypothetical protein,No COG annotation,Op349,Fur,False,
PN96_RS09325,0.0571579231313048,PN96_RS09325,hypothetical protein,No COG annotation,Op2356,,False,
PN96_RS15365,0.0563633856324448,PN96_RS15365,LuxR C-terminal-related transcriptional regulator,Transcription,Op38,,False,
PN96_RS06945,0.0561621968784802,PN96_RS06945,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",Op1762,,False,
PN96_RS14155,0.0560049949135906,PN96_RS14155,DUF2500 domain-containing protein,Function unknown,Op2921,TfoX,True,
PN96_RS20105,0.0555313600333435,PN96_RS20105,M48 family metallopeptidase,"Post-translational modification, protein turnover, and chaperones",Op1312,,False,
PN96_RS08205,0.0548173550995789,PN96_RS08205,DUF1190 domain-containing protein,Function unknown,Op2106,,False,
PN96_RS08215,0.0545460742347206,PN96_RS08215,potassium channel protein,Inorganic ion transport and metabolism,Op2106,,False,
PN96_RS10355,0.0520428237329976,PN96_RS10355,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Op2471,,False,
PN96_RS02935,0.0508820415167517,PN96_RS02935,DeoR/GlpR family DNA-binding transcription regulator,Transcription,Op701,,False,
PN96_RS03620,0.0507611833647901,PN96_RS03620,outer membrane beta-barrel protein,Cell wall/membrane/envelope biogenesis,Op912,TfoX,True,
PN96_RS08210,0.0506759639855576,PN96_RS08210,DUF350 domain-containing protein,Function unknown,Op2106,,False,
PN96_RS04610,0.050498621666333,PN96_RS04610,barstar family protein,Transcription,Op1144,,False,
PN96_RS21830,0.0498501738748677,fucK,L-fuculokinase,Carbohydrate transport and metabolism,Op1781,,False,
PN96_RS01590,0.0497308092656472,PN96_RS01590,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,Op348,,False,
PN96_RS22835,0.0490189084393639,PN96_RS22835,HAD family hydrolase,Function unknown,Op2075,,False,
PN96_RS11950,0.0488635165940994,PN96_RS11950,DUF2796 domain-containing protein,Inorganic ion transport and metabolism,Op2682,Zur,False,
PN96_RS07295,0.0488577097095049,PN96_RS07295,sporulation protein,Function unknown,Op1840,,False,
PN96_RS16660,0.0486107274983526,PN96_RS16660,acyltransferase family protein,Lipid transport and metabolism,Op387,,False,
PN96_RS04900,0.0480446577029957,PN96_RS04900,VOC family protein,Amino acid transport and metabolism,Op1212,,False,
PN96_RS04615,0.0467002097542501,PN96_RS04615,DUF3265 domain-containing protein,No COG annotation,Op1145,,False,
PN96_RS08200,0.0465098578598997,PN96_RS08200,glutathionylspermidine synthase family protein,Amino acid transport and metabolism,Op2106,,False,
PN96_RS10350,0.0462267433024725,PN96_RS10350,prepilin-type N-terminal cleavage/methylation domain-containing protein,Cell motility,Op2471,TfoX,True,
PN96_RS07235,0.0459899193452374,PN96_RS07235,LacI family DNA-binding transcriptional regulator,Transcription,Op1825,,False,
PN96_RS04950,0.0458529480438596,PN96_RS04950,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",Op1223,,False,
PN96_RS05745,0.0456201669718549,PN96_RS05745,DUF2726 domain-containing protein,"Replication, recombination and repair",Op1447,,False,
PN96_RS01595,0.0455245439201074,PN96_RS01595,efflux RND transporter permease subunit,Defense mechanisms,Op348,,False,
PN96_RS17215,0.0452855290864525,PN96_RS17215,DUF805 domain-containing protein,Function unknown,Op532,,False,
PN96_RS02835,0.0451505558315685,PN96_RS02835,sigma-70 family RNA polymerase sigma factor,Transcription,Op673,,False,
PN96_RS05800,0.0441557416784152,PN96_RS05800,response regulator,Signal transduction mechanisms,Op1458,,False,
PN96_RS01825,0.0441463742537079,PN96_RS01825,AMP-binding protein,Lipid transport and metabolism,Op420,,False,
PN96_RS04605,0.0438988025407731,PN96_RS04605,DUF3265 domain-containing protein,No COG annotation,Op1143,,False,
PN96_RS05160,0.0435788929943376,lpxL,LpxL/LpxP family Kdo(2)-lipid IV(A) lauroyl/palmitoleoyl acyltransferase,Cell wall/membrane/envelope biogenesis,Op1278,,False,
PN96_RS04945,0.041510914995821,PN96_RS04945,GNAT family N-acetyltransferase,Function unknown,Op1222,,False,
PN96_RS03750,0.0414575662065363,ttrA,tetrathionate reductase subunit TtrA,Energy production and conversion,Op950,,False,
PN96_RS10345,0.0413456522796292,PN96_RS10345,AbgT family transporter,Coenzyme transport and metabolism,Op2470,,False,
PN96_RS13735,0.0405309421843557,dprA,DNA-processing protein DprA,"Replication, recombination and repair",Op2878,TfoX,True,
PN96_RS01560,0.0405195477152565,PN96_RS01560,response regulator,Signal transduction mechanisms,Op338,,False,
PN96_RS02075,0.0403946037314722,PN96_RS02075,sensor domain-containing diguanylate cyclase,Signal transduction mechanisms,Op492,,False,
PN96_RS13360,0.0403811299391172,PN96_RS13360,HAMP domain-containing histidine kinase,Signal transduction mechanisms,Op2838,,False,
PN96_RS04585,0.0403438479019038,PN96_RS04585,DUF3265 domain-containing protein,Function unknown,Op1142,,False,
PN96_RS04955,0.0403264346128838,PN96_RS04955,hypothetical protein,No COG annotation,Op1225,,False,
PN96_RS01555,0.0402359093890236,PN96_RS01555,ABC transporter substrate-binding protein,Amino acid transport and metabolism,Op335,,False,
PN96_RS01975,0.0401251529029778,PN96_RS01975,DeoR/GlpR family transcriptional regulator,Transcription,Op462,,False,
PN96_RS03760,0.0398755580606239,ttrC,4Fe-4S dicluster domain-containing protein,Energy production and conversion,Op950,TtrR,False,
PN96_RS11955,0.0398537378179293,PN96_RS11955,ABC transporter ATP-binding protein,Defense mechanisms,Op2683,Zur,False,
PN96_RS00855,0.039819063542753,PN96_RS00855,PilT/PilU family type 4a pilus ATPase,Cell motility,Op174,,False,
PN96_RS02925,0.0397199812035291,PN96_RS02925,alpha-L-fucosidase,Carbohydrate transport and metabolism,Op697,,False,
PN96_RS04625,0.0393416271722728,PN96_RS04625,DUF3265 domain-containing protein,No COG annotation,Op1145,,False,
PN96_RS04635,0.039209258555619,PN96_RS04635,ASCH domain-containing protein,Function unknown,Op1147,,False,
PN96_RS02830,0.0391664022826206,PN96_RS02830,DUF3379 domain-containing protein,Transcription,Op673,,False,
PN96_RS12295,0.0390718176923086,PN96_RS12295,glycosyltransferase,Cell wall/membrane/envelope biogenesis,Op2718,,False,
PN96_RS17690,0.0390200671514532,PN96_RS17690,hypothetical protein,Function unknown,Op658,,False,
