locus,gene_weight,gene_name,gene_product,cog,regulator,YcjW,link
b1309,0.326098502517151,ycjM,glucosylglycerate phosphorylase,Carbohydrate transport and metabolism,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6647
b1310,0.2718253053654884,ycjN,putative ABC transporter periplasmic binding protein YcjN,Carbohydrate transport and metabolism,"YcjW,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6648
b1318,0.2311334781852702,ycjV,putative ABC transporter ATP-binding protein YcjV,Inorganic ion transport and metabolism,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6656
b4524,0.2163529337190655,ymjB,hypothetical protein,Inorganic ion transport and metabolism,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10445
b1312,0.2134700367793205,ycjP,putative ABC transporter membrane subunit YcjP,Inorganic ion transport and metabolism,"GlaR,YcjW",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6650
b1311,0.2124663095027092,ycjO,putative ABC transporter membrane subunit YcjO,Inorganic ion transport and metabolism,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6649
b1317,0.2096726184350627,ycjU,beta-phosphoglucomutase,Function unknown,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6655
b1314,0.2093324694088655,ycjR,putative ketohexose-3-epimerase YcjR,Carbohydrate transport and metabolism,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6652
b1319,0.2080939809127184,ompG,outer membrane porin G,Cell wall/membrane/envelope biogenesis,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6657
b1313,0.2033755315747169,ycjQ,putative zinc-binding dehydrogenase YcjQ,Amino acid transport and metabolism,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6651
b1596,0.1808488706538293,ynfM,putative transporter YnfM,Amino acid transport and metabolism,YidZ,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6854
b1315,0.1779887333969545,ycjS,putative oxidoreductase YcjS,Function unknown,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6653
b1316,0.1506142397029928,ycjT,kojibiose phosphorylase,Carbohydrate transport and metabolism,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6654
b1320,-0.1124159633841665,ycjW,putative LacI-type DNA-binding transcriptional regulator YcjW,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6658
b0197,-0.1162512209132123,metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,Inorganic ion transport and metabolism,"RpoD,MetJ,HypT",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11504
b1687,-0.1373131280469445,ydiJ,putative FAD-linked oxidoreductase,Energy production and conversion,YeiE,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6913
b1686,-0.1953700013923195,menI,1%2C4-dihydroxy-2-naphthoyl-CoA hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6912
