locus,gene_weight,gene_name,gene_product,cog,regulator,Fnr,IHF,TdcA,Crp,TdcR,link
b4131,0.2367360086560455,cadA,lysine decarboxylase 1,Amino acid transport and metabolism,"RpoD,GadX,ArcA,CadC,Lrp,OmpR,H-NS,GadE-RcsB,ppGpp",False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10131
b4132,0.2329891097089772,cadB,lysine:cadaverine antiporter,Amino acid transport and metabolism,"RpoD,YfeD,GadX,ArcA,CadC,Lrp,OmpR,H-NS,GadE-RcsB",False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10132
b3117,0.2205530828612173,tdcB,catabolic threonine dehydratase,Amino acid transport and metabolism,"Fnr,Crp,IHF,TdcA,TdcR",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10990
b3115,0.2100405895618127,tdcD,propionate kinase,Nucleotide transport and metabolism,"Fnr,Crp,IHF,TdcA,TdcR",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11172
b3114,0.2070161990502275,tdcE,2-ketobutyrate formate-lyase/pyruvate formate-lyase 4,Energy production and conversion,"Fnr,Crp,IHF,TdcA,TdcR",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7627
b3113,0.2051270241915216,tdcF,putative enamine/imine deaminase,Amino acid transport and metabolism,"Fnr,Crp,IHF,TdcA,TdcR",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7626
b4471,0.1928139797717339,tdcG,L-serine deaminase III,Amino acid transport and metabolism,"Fnr,Crp,IHF,TdcA,TdcR",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7624
b3116,0.1906066775392689,tdcC,threonine/serine:H(+) symporter,Amino acid transport and metabolism,"Fnr,Crp,IHF,TdcA,TdcR",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10991
b2579,0.1110421839065751,grcA,stress-induced alternate pyruvate formate-lyase subunit,Function unknown,"PdhR,RpoD,YfeD,YneJ,Fur,Crp,Fis,ArcA,Fnr",True,False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11784
b3118,0.1087104095527733,tdcA,DNA-binding transcriptional activator TdcA,Transcription,"Fnr,Crp,ppGpp,IHF,TdcA,TdcR,Nac",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10989
b4130,0.084901580762066,dtpC,dipeptide/tripeptide:H(+) symporter DtpC,Amino acid transport and metabolism,,False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12469
b1600,0.0784812778260594,mdtJ,multidrug/spermidine efflux pump membrane subunit MdtJ,Inorganic ion transport and metabolism,"RpoD,ppGpp,H-NS",False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6858
b0113,0.0778515285496074,pdhR,DNA-binding transcriptional dual regulator PdhR,Transcription,"RpoD,RpoS,Fnr,Crp,Cra,PdhR,GlaR,OmpR,BtsR",True,False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11088
b1109,0.0771273059481254,ndh,NADH:quinone oxidoreductase II,Energy production and conversion,"RpoD,Fur,NsrR,ArcA,IHF,PdhR,Fis,Fnr",True,True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10649
b3666,0.0759362021644378,uhpT,hexose-6-phosphate:phosphate antiporter,Inorganic ion transport and metabolism,"RpoD,oxyS,YeiE,UvrY,UhpA,Crp",False,False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11054
b3367,-0.0861810337279722,nirC,nitrite transporter NirC,Inorganic ion transport and metabolism,"RpoD,Crp,Cra,IHF,NarL,NarP,Fis,H-NS,Fnr",True,True,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10654
