locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,RpoH,link
PA3126,0.22784345800000003,ibpA,,heat-shock protein IbpA,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3126&e1=1&assembly=complete
PA5054,0.21095675100000003,hslU,,ATP-dependent protease ATP-binding subunit HslU,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5054&e1=1&assembly=complete
PA1596,0.207473033,htpG,,chaperone protein HtpG,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1596&e1=1&assembly=complete
PA5053,0.205452991,hslV,,ATP-dependent protease peptidase subunit,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5053&e1=1&assembly=complete
PA4761,0.205332428,dnaK,,molecular chaperone DnaK,"Post-translational modification, protein turnover,and chaperones",RpoH,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4761&e1=1&assembly=complete
PA4762,0.20480514200000002,grpE,,heat shock protein GrpE,"Post-translational modification, protein turnover,and chaperones",RpoH,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4762&e1=1&assembly=complete
PA0779,0.203173281,PA0779,,ATP-dependent protease,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0779&e1=1&assembly=complete
PA4542,0.195544818,clpB,,chaperone protein ClpB,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4542&e1=1&assembly=complete
PA4386,0.156588471,groES,,co-chaperonin GroES,"Post-translational modification, protein turnover,and chaperones",RpoH,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4386&e1=1&assembly=complete
PA4760,0.155538366,dnaJ,,molecular chaperone DnaJ,"Post-translational modification, protein turnover,and chaperones",RpoH,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4760&e1=1&assembly=complete
