locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
b2971,0.3553872151,yghG,lipoprotein YghG,Cell wall/membrane/envelope biogenesis,yghG,Nac,https://ecocyc.org/gene?orgid=ECOLI&id=G7538
b2970,0.24590683800000002,yghF,putative type II secretion system C-type protein,"Intracellular trafficking, secretion, and vesicular transport",yghF,"YdcN,RpoE",https://ecocyc.org/gene?orgid=ECOLI&id=G7537
b4466,0.2356025492,yghJ,putative lipoprotein YghJ,Cell wall/membrane/envelope biogenesis,yghJ,,https://ecocyc.org/gene?orgid=ECOLI&id=G7541
b2972,0.2050854802,pppA,prepilin peptidase,Cell motility,pppA,,https://ecocyc.org/gene?orgid=ECOLI&id=G7539
b2969,0.1156767605,yghE,putative type II secretion system L-type protein,"Intracellular trafficking, secretion, and vesicular transport",yghED,,https://ecocyc.org/gene?orgid=ECOLI&id=G7536
b2369,0.1126096823,evgA,DNA-binding transcriptional activator EvgA,Transcription,evgAS,"RpoD,RpoS,EvgA,H-NS,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG11609
b1902,0.10874810010000001,ftnB,putative ferritin-like protein,Inorganic ion transport and metabolism,ftnB,"RpoD,RpoE,CpxR,ppGpp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G7033
b1675,0.1015186358,fumD,fumarase D,Function unknown,fumD,Nac,https://ecocyc.org/gene?orgid=ECOLI&id=G6903
b0834,0.0952385469,dgcI,putative diguanylate cyclase DgcI,Signal transduction mechanisms,pdeI-dgcI,CsrA,https://ecocyc.org/gene?orgid=ECOLI&id=G6434
b0833,0.0941300528,pdeI,putative c-di-GMP phosphodiesterase PdeI,Signal transduction mechanisms,pdeI-dgcI,CsrA,https://ecocyc.org/gene?orgid=ECOLI&id=G6433
b0315,0.08204787350000001,pdeL,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,Transcription,pdeL,"RpoD,ppGpp,Cra,PdeL,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG11236
b2250,0.0805512666,yfaZ,putative porin YfaZ,Function unknown,yfaZ,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G7163
b2683,0.0768843062,ygaH,L-valine exporter subunit YgaH,Function unknown,ygaZH,,https://ecocyc.org/gene?orgid=ECOLI&id=G7406
b4342,0.064608312,yjiT,putative uncharacterized protein YjiT,"Cell cycle control, cell division, chromosome partitioning",yjiT,"YciT,YafC,YiaU,RpoH",https://ecocyc.org/gene?orgid=ECOLI&id=G7938
b0479,-0.0857414546,fsr,fosmidomycin efflux pump,Inorganic ion transport and metabolism,fsr,,https://ecocyc.org/gene?orgid=ECOLI&id=G6256
b3050,-0.0895391543,yqiJ,putative inner membrane protein,"Post-translational modification, protein turnover,and chaperones",yqiJK,,https://ecocyc.org/gene?orgid=ECOLI&id=G7588
b2681,-0.0960959006,ygaY,putative transporter YgaY%2C N-terminal fragment,Amino acid transport and metabolism,,,https://ecocyc.org/gene?orgid=ECOLI&id=G7403
b4331,-0.10709608200000001,kptA,RNA 2'-phosphotransferase,"Translation, ribosomal structure and biogenesis",kptA,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G7928
b1828,-0.1096030548,yebQ,putative transporter YebQ,Amino acid transport and metabolism,yebQ,"ppGpp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G7004
b1761,-0.12009785960000001,gdhA,glutamate dehydrogenase,Amino acid transport and metabolism,gdhA,"RpoD,YeiE,gcvB,Crp,Nac,Fur,Fnr,ArgP,ppGpp,Lrp,GlaR,spf",https://ecocyc.org/gene?orgid=ECOLI&id=EG10372
b3151,-0.1220311895,yraQ,permease family protein YraQ,Function unknown,yraQ,"ppGpp,ArgR",https://ecocyc.org/gene?orgid=ECOLI&id=G7645
b1959,-0.12770164450000002,yedA,putative transporter YedA,Amino acid transport and metabolism,yedA,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11141
b2013,-0.1362972861,yeeE,inner membrane protein YeeE,Function unknown,yeeED,Lrp,https://ecocyc.org/gene?orgid=ECOLI&id=EG11895
b2012,-0.1444112468,yeeD,putative sulfurtransferase YeeD,"Post-translational modification, protein turnover,and chaperones",yeeED,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11894
