locus,gene_weight,gene_name,gene_product,cog,regulator,Zur,Cobalamin,NrdR,link
PA4837,0.1942090869,PA4837,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4837&e1=1&assembly=complete
PA4836,0.1758693824,PA4836,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4836&e1=1&assembly=complete
PA4063,0.1393416335,PA4063,hypothetical protein,Inorganic ion transport and metabolism,Zur,True,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4063&e1=1&assembly=complete
PA4835,0.132938004,PA4835,hypothetical protein,Function unknown,,False,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4835&e1=1&assembly=complete
PA4834,0.1288758926,PA4834,hypothetical protein,Amino acid transport and metabolism,,False,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4834&e1=1&assembly=complete
PA4838,0.1047827095,PA4838,hypothetical protein,Function unknown,Zur,True,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4838&e1=1&assembly=complete
PA0878,0.0799230766,PA0878,hypothetical protein,Function unknown,,False,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0878&e1=1&assembly=complete
PA1920,-0.0793503326,nrdD,anaerobic ribonucleoside triphosphate reductase,Nucleotide transport and metabolism,NrdR,False,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1920&e1=1&assembly=complete
PA4171,-0.0834077312,PA4171,protease,Function unknown,,False,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4171&e1=1&assembly=complete
PA1922,-0.0909464264,PA1922,TonB-dependent receptor,Inorganic ion transport and metabolism,,False,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1922&e1=1&assembly=complete
PA1923,-0.10274361400000001,PA1923,cobaltochelatase subunit CobN,Coenzyme transport and metabolism,,False,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1923&e1=1&assembly=complete
PA1921,-0.1145393613,PA1921,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1921&e1=1&assembly=complete
PA1924,-0.1182175131,PA1924,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1924&e1=1&assembly=complete
PA1919,-0.1185453518,nrdG,class III (anaerobic) ribonucleoside-triphosphate reductase activating protein NrdG,"Post-translational modification, protein turnover,and chaperones",NrdR,False,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1919&e1=1&assembly=complete
PA2914,-0.12218414250000001,PA2914,ABC transporter permease,Inorganic ion transport and metabolism,Cobalamin,False,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2914&e1=1&assembly=complete
PA2913,-0.13117449850000001,PA2913,hypothetical protein,Inorganic ion transport and metabolism,Cobalamin,False,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2913&e1=1&assembly=complete
PA2911,-0.1474423038,PA2911,TonB-dependent receptor,Inorganic ion transport and metabolism,Cobalamin,False,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2911&e1=1&assembly=complete
PA2912,-0.1615446085,PA2912,ABC transporter ATP-binding protein,Coenzyme transport and metabolism,Cobalamin,False,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2912&e1=1&assembly=complete
