locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Fnr,link
b3158,0.24339753760000002,yhbU,putative peptidase YhbU,"Post-translational modification, protein turnover,and chaperones",yhbUV,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7652
b3476,0.2087631252,nikA,Ni(2(+)) ABC transporter periplasmic binding protein,Amino acid transport and metabolism,nikABCDER,"RpoN,NarL,NikR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12075
b1750,0.1837212829,ydjX,DedA family protein YdjX,Function unknown,ydjXYZ-ynjABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6945
b1593,0.1745810686,ynfK,putative dethiobiotin synthetase,Coenzyme transport and metabolism,mlc-ynfK,"RpoD,RpoH,Crp,Mlc,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6851
b1256,0.1726528569,ompW,outer membrane protein W,Cell wall/membrane/envelope biogenesis,ompW,"rybB,Crp,ArcA,NarL,Fnr,SoxS,Fur,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11124
b2579,0.1661433816,grcA,stress-induced alternate pyruvate formate-lyase subunit,Function unknown,grcA,"PdhR,RpoD,YfeD,YneJ,Crp,Fis,ArcA,Fur,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11784
b3060,0.1607547169,ttdR,DNA-binding transcriptional activator Dan,Transcription,ttdR,"TtdR,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12694
b3408,0.13260706690000001,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,feoABC,"RpoD,Fnr,NagC,Fur,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
b3365,0.1275533248,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b1223,0.12669002570000001,narK,nitrate:nitrite antiporter NarK,Inorganic ion transport and metabolism,narK,"RpoD,Fis,IHF,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10642
b0836,0.12276657090000001,bssR,regulator of biofilm formation,Function unknown,bssR,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6436
