locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_3336,0.3302923262249488,PP_3336,conserved protein of unknown function,No COG annotation,Op2165,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3336&e1=1&assembly=complete
PP_4837,0.3138692107794354,PP_4837,conserved protein of unknown function,Function unknown,Op3157,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4837&e1=1&assembly=complete
PP_3335,0.2568219666052493,PP_3335,conserved protein of unknown function,No COG annotation,Op2164,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3335&e1=1&assembly=complete
PP_4838,0.2556245536313382,oprC,Outer membrane copper receptor OprC,Cell wall/membrane/envelope biogenesis,Op3158,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4838&e1=1&assembly=complete
PP_3330,0.2196118476090301,PP_3330,putative Outer membrane ferric siderophore receptor,Cell wall/membrane/envelope biogenesis,Op2160,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3330&e1=1&assembly=complete
PP_5600,0.2107147568742808,PP_5600,conserved protein of unknown function,No COG annotation,Op2160,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5600&e1=1&assembly=complete
PP_4839,0.2003455558006925,PP_4839,putative iron-regulated membrane protein,Function unknown,Op3159,SoxR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4839&e1=1&assembly=complete
PP_4835,0.1449996374390124,PP_4835,conserved exported protein of unknown function,Function unknown,Op3156,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4835&e1=1&assembly=complete
PP_4836,0.1363811802037249,PP_4836,conserved exported protein of unknown function,Function unknown,Op3157,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4836&e1=1&assembly=complete
PP_3332,0.1309920676875479,PP_3332,putative cytochrome c-type protein,Energy production and conversion,Op2161,RoxR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3332&e1=1&assembly=complete
PP_3331,0.1263991335807091,PP_3331,conserved membrane protein of unknown function,Function unknown,Op2160,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3331&e1=1&assembly=complete
PP_3333,0.1228882455089689,PP_3333,conserved protein of unknown function,Function unknown,Op2162,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3333&e1=1&assembly=complete
PP_3337,0.088705788953883,PP_3337,conserved membrane protein of unknown function,Function unknown,Op2166,AlgR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3337&e1=1&assembly=complete
PP_4840,0.0758299587217729,cycA,D-alanine%2C beta-alanine%2C D-serine%2C glycine permease,Amino acid transport and metabolism,Op3160,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4840&e1=1&assembly=complete
