locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Cra,link
b2169,0.4617249785,fruB,fructose-specific PTS multiphosphoryl transfer protein FruB,Carbohydrate transport and metabolism,fruBKA,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7990
b2168,0.3752580794,fruK,1-phosphofructokinase,Nucleotide transport and metabolism,fruBKA,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10337
b2167,0.36554199530000003,fruA,fructose-specific PTS multiphosphoryl transfer protein FruA,Carbohydrate transport and metabolism,fruBKA,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10336
b1241,0.1310582274,adhE,aldehyde-alcohol dehydrogenase,Energy production and conversion,adhE,"RpoD,YdhB,RpoS,gcvB,Lrp,Fnr,NarL,Cra,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10031
b2165,0.1270576139,psuG,pseudouridine-5'-phosphate glycosidase,"Secondary metabolites biosynthesis, transport, and catabolism",psuKG,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12033
b2927,0.1211076605,epd,D-erythrose-4-phosphate dehydrogenase,Coenzyme transport and metabolism,epd-pgk-fbaA,"RpoD,RpoS,Cra,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10368
b2166,0.1117229844,psuK,putative pseudouridine kinase,Carbohydrate transport and metabolism,psuKG,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11646
b3612,0.1011553344,gpmM,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,Nucleotide transport and metabolism,gpmM-envC-yibQ,"RpoS,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12296
b2926,0.0715720601,pgk,phosphoglycerate kinase,Nucleotide transport and metabolism,epd-pgk-fbaA,"RpoD,RpoS,Crp,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10703
b2925,0.06814973020000001,fbaA,fructose-bisphosphate aldolase class II,Nucleotide transport and metabolism,epd-pgk-fbaA,"RpoD,RpoS,Cra,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10282
b1780,0.06464783980000001,yeaD,putative aldose 1-epimerase YeaD,Carbohydrate transport and metabolism,gapA-yeaD,"RpoH,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6966
b3365,0.0638772261,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b4232,-0.0709614991,fbp,fructose-1%2C6-bisphosphatase 1,Carbohydrate transport and metabolism,fbp,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10283
b1702,-0.2021262154,ppsA,phosphoenolpyruvate synthetase,Carbohydrate transport and metabolism,ppsA,"RpoD,Cra,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10759
b0080,-0.2697006813,cra,DNA-binding transcriptional dual regulator Cra,Transcription,cra,"PhoB,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10338
