locus,gene_weight,gene_name,gene_product,cog,regulator,rpoN,link
STM0462,0.26412273610000003,glnK,regulatory protein P-II 2,Transcription,"fnr,fur,gadX,ntrC,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0462
STM0830,0.2549096001,glnH,glutamine high-affinity transporter,Amino acid transport and metabolism,"ihf,ntrC,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0830
STM0829,0.22597587,glnP,glutamine high-affinity transporter,Inorganic ion transport and metabolism,"ihf,ntrC,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0829
STM0828,0.21234700820000002,glnQ,glutamine high-affinity transporter,Amino acid transport and metabolism,"fis,ihf,ntrC,rpoD,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0828
STM0463,0.1815075992,amtB,putative Amt family%2C ammonium transport protein,Inorganic ion transport and metabolism,"fnr,fur,gadX,ntrC,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0463
STM4007,0.1688087714,glnA,glutamine synthetase,Nucleotide transport and metabolism,"crp,fis,ntrC,rpoD,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4007
STM2355,0.1444937769,argT,lysine/arginine/ornithine transport protein,Amino acid transport and metabolism,"arcA,ntrC,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2355
STM4005,0.1443579832,glnG,EBP family response regulator in two-component regulatory system with GlnL,Signal transduction mechanisms,"crp,fis,ntrC,rpoD,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4005
STM4006,0.1372688182,glnL,sensory kinase (phosphatase) in two-component regulatory system with GlnG (nitrogen regulator II%2C NRII),Nucleotide transport and metabolism,"crp,fis,ntrC,rpoD,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4006
STM0665,0.1192072643,gltI,glutamate/aspartate transporter,Amino acid transport and metabolism,"flhD;flhC,rpoD,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0665
STM0664,0.10846838410000001,gltJ,glutamate/aspartate transporter,Inorganic ion transport and metabolism,"flhD;flhC,rpoD,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0664
STM0663,0.1072728449,gltK,glutamate/aspartate transporter,Inorganic ion transport and metabolism,"flhD;flhC,rpoD,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0663
