locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,FoxR,link
PA0929,0.22853746200000002,PA0929,,two-component response regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0929&e1=1&assembly=complete
PA0472,0.193899654,PA0472,,RNA polymerase sigma factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0472&e1=1&assembly=complete
PA3530,0.19309224900000002,PA3530,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3530&e1=1&assembly=complete
PA5531,0.179439543,tonB1,,transporter TonB,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5531&e1=1&assembly=complete
PA4515,0.164876545,PA4515,,hydroxylase,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4515&e1=1&assembly=complete
PA5217,0.151542709,PA5217,,iron ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5217&e1=1&assembly=complete
PA0471,0.145781729,PA0471,,transmembrane sensor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0471&e1=1&assembly=complete
PA4516,0.14431043200000002,PA4516,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4516&e1=1&assembly=complete
PA2468,0.14342184,foxI,,ECF sigma factor FoxI,Transcription,"FoxR,Fur",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2468&e1=1&assembly=complete
PA4675,0.13942621100000002,PA4675,,TonB-dependent receptor,Coenzyme transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4675&e1=1&assembly=complete
PA3268,0.13830160900000002,PA3268,,TonB-dependent receptor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3268&e1=1&assembly=complete
PA4514,0.12506456500000002,PA4514,,iron transport outer membrane receptor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4514&e1=1&assembly=complete
PA2467,0.12350084300000001,foxR,,anti-sigma factor FoxR,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2467&e1=1&assembly=complete
PA0930,0.12269308300000001,PA0930,,two-component sensor,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0930&e1=1&assembly=complete
PA2686,0.12022178600000001,pfeR,,two-component response regulator PfeR,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2686&e1=1&assembly=complete
PA0672,0.118975066,hemO,,heme oxygenase,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0672&e1=1&assembly=complete
