locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS00235,0.11769071532711994,mre11,Saci_0052,"exonuclease SbcCD subunit D, mre11 repair nuclease","Replication, recombination and repair",Op28,,https://www.uniprot.org/uniprot/A0A0U3HBD0
SACI_RS00230,0.11231764720569223,rad50,Saci_0051,DNA double-strand break repair Rad50 ATPase (AAA family ATPase),"Replication, recombination and repair",Op28,,https://www.uniprot.org/uniprot/A0A0U3H4J7
SACI_RS00205,0.0966724295575288,clsN,Saci_0046,Coalesin,"Replication, recombination and repair",Op24,,https://www.uniprot.org/uniprot/A0A0U3HFF5
SACI_RS03285,0.0941739174460349,rpoA2,Saci_0691,DNA-directed RNA polymerase subunit A'',Transcription,Op369,,https://www.uniprot.org/uniprot/A0A0U2Y4P5
SACI_RS02805,0.09415316546309972,rps3,Saci_0591,30S ribosomal protein S3,"Translation, ribosomal structure and biogenesis",Op323,,https://www.uniprot.org/uniprot/A0A0U3HB28
SACI_RS03175,0.09414021359261708,thsB,Saci_0666,thermosome subunit beta,"Posttranslational modification, protein turnover, chaperones",Op358,"Urm1,heat-shock,biofilm",https://www.uniprot.org/uniprot/A0A0U3FNK6
SACI_RS04015,0.09257616142204544,sav,Saci_0838,"CDC48 family AAA ATPase, Protein SAV","Posttranslational modification, protein turnover, chaperones",Op439,biofilm,https://www.uniprot.org/uniprot/UPI00005523D5
SACI_RS06285,0.08765770808018364,dys,Saci_1316,deoxyhypusine synthase,"Posttranslational modification, protein turnover, chaperones",Op729,,https://www.uniprot.org/uniprot/A0A0U3H782
SACI_RS06755,0.08744477642806553,thrA,Saci_1412,aspartate kinase,Amino acid transport and metabolism,Op781,,https://www.uniprot.org/uniprot/A0A0U3GNT5
SACI_RS02795,0.08358484319660925,Saci_0589,Saci_0589,ribonuclease P protein subunit,"Translation, ribosomal structure and biogenesis",Op323,,https://www.uniprot.org/uniprot/A0A0U3FNS5
SACI_RS00345,0.08165888646840205,dnaG,Saci_0075,DNA primase DnaG,"Replication, recombination and repair",Op42,,https://www.uniprot.org/uniprot/A0A0U2NG65
SACI_RS08975,0.08108647349779183,Saci_1867,Saci_1867,hypothetical protein,Function Unknown,Op1084,,https://www.uniprot.org/uniprot/A0A0U3FTP9
