locus,comp,gene_name,product,operon,TF,soxS,link
b4062,0.39511238370499996,soxS,SoxS DNA-binding transcriptional dual regulator,soxS,"Sigma70, acrR, fnr, fur, oxyR, soxR, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10958
b1463,0.20400193103,nhoA,arylamine <i>N</i>-acetyltransferase,nhoA,soxS,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6770
b1611,0.19179774932500002,fumC,fumarase C,"fumA, fumC","Sigma38, Sigma70, arcA, crp, fnr, fur, marA, rob, soxR, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10358
b3924,0.170847739625,fpr,flavodoxin-NADP<sup>+</sup> reductase/ferredoxin-NADP<sup>+</sup> reductase,fpr,"Sigma70, marA, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10628
b1378,0.151872693906,pfo,pyruvate:flavodoxin oxidoreductase,"ydbK, ompN","Sigma38, ryhB, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6701
b3908,0.13553185929199998,sodA,superoxide dismutase (Mn),sodA,"Sigma70, arcA, crp, fnr, fnrS, fur, ihf, marA, oxyR, rob, soxR, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10953
b4380,0.130359325395,yjjI,"conserved protein, may be involved in nitrogen metabolism",yjjI,crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12171
b2159,0.117495735,nfo,endonuclease IV,nfo,"Sigma70, marA, rob, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10651
b2160,0.11333975531,yeiI,predicted kinase,yeiI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12028
b0871,0.107850901612,poxB,pyruvate oxidase,"poxB, ltaE, ybjT","Sigma38, cra, marA, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10754
b2962,0.10584429299,yggX,protein that protects iron-sulfur proteins against oxidative damage,"mutY, yggX, mltC, nupG",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7532
b0447,0.10378016133300001,ybaO,DecR DNA-binding transcriptional activator,decR,"Sigma70, marA, soxS, ybaO",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6247
b0850,0.10259808005200001,ybjC,predicted inner membrane protein,"ybjC, nfsA, rimK, ybjN","Sigma70, marA, oxyR, rob, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12842
b2237,0.101930134094,inaA,pH-inducible protein involved in stress response,inaA,"Sigma70, marA, rob, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11422
b3898,0.0992023334936,frvX,frv operon protein,"frvA, frvB, frvX, frvR",,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11862
b4536,0.09786947631279999,yobH,putative protein,yobH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10454
b0449,0.0949729094947,mdlB,"putative transport protein, ABC superfamily","mdlA, mdlB",soxS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11622
b2963,0.0906377481899,mltC,membrane-bound lytic murein transglycosylase C,"mutY, yggX, mltC, nupG",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7533
b0851,0.0871355079554,nfsA,NADPH nitroreductase NfsA,"ybjC, nfsA, rimK, ybjN","Sigma70, marA, oxyR, rob, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11261
b0684,0.0866291164782,fldA,flavodoxin 1,"fldA, uof, fur",soxS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10318
b1053,0.0837892619547,mdtG,multidrug efflux pump MdtG,mdtG,nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11343
b3519,0.082898409967,treF,cytoplasmic trehalase,treF,Sigma38,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12245
b0448,0.08212027110810001,mdlA,"putative transport protein, ABC superfamily","mdlA, mdlB",soxS,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6248
b0389,0.080002216371,yaiA,putative protein,"aroL, yaiA, aroM","Sigma70, trpR, tyrR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11093
b3238,0.0788332550527,yhcN,stress-induced protein,yhcN,lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7683
b3662,0.07770878015339999,nepI,purine ribonucleoside exporter,nepI,"arcA, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11689
b2468,0.07701638339639999,aegA,"putative oxidoreductase,  Fe-S subunit",aegA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12409
b1852,0.07172180983660001,zwf,glucose-6-phosphate dehydrogenase (NADP<sup>+</sup>),zwf,"Sigma70, cra, fnr, fur, marA, rob, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11221
b1165,0.0690699143818,ymgA,protein involved in biofilm formation,"ycgZ, ymgA, ariR, ymgC","Sigma38, bluR, fur, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6605
b4379,0.0688389609728,yjjW,predicted pyruvate formate lyase activating enzyme,yjjW,crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7953
b2895,0.06848222614569999,fldB,flavodoxin 2,fldB,"Sigma70, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12697
b0852,0.067587158494,rimK,ribosomal protein S6 modification protein,"ybjC, nfsA, rimK, ybjN","Sigma70, marA, oxyR, rob, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10852
b1277,0.0643980285245,ribA,GTP cyclohydrolase II,ribA,"Sigma70, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11331
b2048,0.0626868577167,cpsG,phosphomannomutase,"wcaC, wcaD, wcaE, wcaF, gmd, fcl, gmm, wcaI, cpsB, cpsG, wcaJ, wzxC",nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10162
b2898,0.0624698719664,ygfZ,folate-binding protein,ygfZ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7511
b0628,0.060376288194599996,lipA,lipoyl synthase,lipA,yheO,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11306
b0096,0.0592022671124,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,"mraZ, rsmH, ftsL, ftsI, murE, murF, mraY, murD, ftsW, murG, murC, ddlB, ftsQ, ftsA, ftsZ, lpxC","Sigma70, lexA, mraZ, pdhR, soxR, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10265
b1166,0.0580681144534,ariR,"regulator of acid resistance, influenced by indole","ycgZ, ymgA, ariR, ymgC","Sigma38, bluR, fur, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6606
b1580,-0.0937455201651,rspB,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding","rspA, rspB",gadX,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6838
b3961,-0.100687132595,oxyR,OxyR DNA-binding transcriptional dual regulator,oxyR,"Sigma38, crp, oxyR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10681
