locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Fur,CzcR,link
PA2808,0.194646132,ptrA,,repressor PtrA,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2808&e1=1&assembly=complete
PA3412,0.15758554,PA3412,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3412&e1=1&assembly=complete
PA2521,0.149326908,czcB,,resistance-nodulation-cell division (RND) divalent metal cation efflux membrane fusion protein CzcB,Cell wall/membrane/envelope biogenesis,CzcR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2521&e1=1&assembly=complete
PA2523,0.13116724800000001,czcR,,two-component response regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2523&e1=1&assembly=complete
PA2522,0.128060529,czcC,,outer membrane protein CzcC,Cell wall/membrane/envelope biogenesis,CzcR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2522&e1=1&assembly=complete
PA2520,0.12689767,czcA,,resistance-nodulation-cell division (RND) divalent metal cation efflux transporter CzcA,Inorganic ion transport and metabolism,CzcR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2520&e1=1&assembly=complete
PA2506,0.12608153,PA2506,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2506&e1=1&assembly=complete
PA0320,0.12353293700000001,PA0320,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0320&e1=1&assembly=complete
PA4819,0.118404142,PA4819,,glycosyl transferase family protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4819&e1=1&assembly=complete
PA1972,0.11551971300000001,PA1972,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1972&e1=1&assembly=complete
PA2524,0.114689785,PA2524,,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2524&e1=1&assembly=complete
