locus,gene_weight,gene_name,gene_product,COG,operon,regulator,UTP,PurR,link
b4245,0.5409565803,pyrB,aspartate carbamoyltransferase catalytic subunit,Nucleotide transport and metabolism,pyrLBI,"Nac,ppGpp,UTP",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10805
b4244,0.5376317942000001,pyrI,aspartate carbamoyltransferase%2C PyrI subunit,Nucleotide transport and metabolism,pyrLBI,"Lrp,ppGpp,UTP",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10811
b2497,0.1797399248,uraA,hypothetical protein,Nucleotide transport and metabolism,upp-uraA,"RpoD,Fnr,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12129
b0033,0.1511857505,carB,carbamoyl phosphate synthetase subunit beta,Nucleotide transport and metabolism,carAB,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10135
b0336,0.1481469678,codB,cytosine transporter,Nucleotide transport and metabolism,codBA,"RpoD,PurR,ppGpp,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11327
b4243,0.12869364360000002,ridA,enamine/imine deaminase%2C redox regulated chaperone,"Translation, ribosomal structure and biogenesis",ridA,Lrp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7877
b0032,0.1198726303,carA,carbamoyl phosphate synthetase subunit alpha,Nucleotide transport and metabolism,carAB,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10134
b0034,0.0910153241,caiF,DNA-binding transcriptional activator CaiF,Transcription,caiF,"RpoD,YdcN,Crp,H-NS,Fnr,NarL,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6088
b0337,0.0907797568,codA,cytosine/isoguanine deaminase,Nucleotide transport and metabolism,codBA,"RpoD,PurR,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11326
b2498,0.0887746487,upp,uracil phosphoribosyltransferase,Nucleotide transport and metabolism,upp-uraA,"RpoD,Fnr,ppGpp,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11332
b4246,0.06904792230000001,pyrL,pyrBI operon leader peptide,Nucleotide transport and metabolism,pyrLBI,"ArgR,Nac,ppGpp,UTP",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11279
