locus,gene_weight,gene_name,gene_product,cog,regulator,CdaR,link
b3127,0.3686989582259713,garP,galactarate/glucarate/glycerate transporter GarP,Inorganic ion transport and metabolism,"RpoD,Fnr,H-NS,CdaR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12760
b3126,0.3535940704168041,garL,alpha-dehydro-beta-deoxy-D-glucarate aldolase,Carbohydrate transport and metabolism,"RpoD,YfeC,H-NS,Fnr,CdaR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10016
b2789,0.3206218455725039,gudP,galactarate/glucarate/glycerate transporter GudP,Inorganic ion transport and metabolism,CdaR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7447
b3125,0.3140539803096051,garR,tartronate semialdehyde reductase,Lipid transport and metabolism,"RpoD,Fnr,H-NS,CdaR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11176
b2788,0.2618043401717307,gudX,glucarate dehydratase-related protein,Cell wall/membrane/envelope biogenesis,"CdaR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7446
b2787,0.2577067877743941,gudD,D-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,CdaR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7445
b3124,0.2417068780392043,garK,glycerate 2-kinase 1,Carbohydrate transport and metabolism,"RpoD,H-NS,Fnr,CdaR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11175
b3128,0.2221569623540242,garD,galactarate dehydratase,Amino acid transport and metabolism,"CdaR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12522
b0162,0.1419612943599388,cdaR,DNA-binding transcriptional activator CdaR,Transcription,"CdaR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12335
b1800,0.1049590977521559,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),Energy production and conversion,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
b2736,0.0647841548765243,ygbJ,putative L-threonate dehydrogenase,Lipid transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7417
b1781,0.0615635801836194,yeaE,methylglyoxal reductase YeaE,Function unknown,"RpoD,NsrR,Lrp,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6967
b2737,0.0610903174732321,ygbK,putative 3-oxo-tetronate kinase YgbK,Function unknown,"FliA,FlhDC",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7418
b2738,0.05914698497996,ygbL,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7419
