locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PurR,link
b4245,0.4859100034,pyrB,aspartate carbamoyltransferase catalytic subunit,Nucleotide transport and metabolism,pyrLBI,"Nac,ppGpp,UTP",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10805
b4244,0.4745607906,pyrI,aspartate carbamoyltransferase%2C PyrI subunit,Nucleotide transport and metabolism,pyrLBI,"Lrp,ppGpp,UTP",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10811
b2497,0.2232212435,uraA,hypothetical protein,Nucleotide transport and metabolism,upp-uraA,"RpoD,Fnr,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12129
b0033,0.2038107238,carB,carbamoyl phosphate synthetase subunit beta,Nucleotide transport and metabolism,carAB,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10135
b0336,0.19618276950000002,codB,cytosine transporter,Nucleotide transport and metabolism,codBA,"RpoD,PurR,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11327
b0032,0.1899779237,carA,carbamoyl phosphate synthetase subunit alpha,Nucleotide transport and metabolism,carAB,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10134
b0337,0.1355558546,codA,cytosine/isoguanine deaminase,Nucleotide transport and metabolism,codBA,"RpoD,PurR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11326
b4243,0.13493545240000002,ridA,enamine/imine deaminase%2C redox regulated chaperone,"Translation, ribosomal structure and biogenesis",ridA,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7877
b0034,0.12899417330000001,caiF,DNA-binding transcriptional activator CaiF,Transcription,caiF,"RpoD,YdcN,Crp,H-NS,Fnr,NarL,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6088
b2498,0.1110561979,upp,uracil phosphoribosyltransferase,Nucleotide transport and metabolism,upp-uraA,"RpoD,Fnr,ppGpp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11332
b4246,0.1089936826,pyrL,pyrBI operon leader peptide,Nucleotide transport and metabolism,pyrLBI,"ArgR,Nac,ppGpp,UTP",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11279
b0945,0.0819243994,pyrD,dihydroorotate dehydrogenase%2C type 2,Nucleotide transport and metabolism,pyrD,"RpoD,PurR,Fis,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10807
