locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PtxS,link
PP_3378,0.3345868921295135,kguK,putative 2-ketogluconokinase,Carbohydrate transport and metabolism,Op2193,PtxS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3378&e1=1&assembly=complete
PP_3377,0.3317434173550342,kguT,2-ketogluconate transporter%2C putative,Carbohydrate transport and metabolism,Op2192,PtxS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3377&e1=1&assembly=complete
PP_3379,0.3279648158188774,kguE,putative epimerase,Carbohydrate transport and metabolism,Op2193,PtxS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3379&e1=1&assembly=complete
PP_3376,0.2928356882036725,ptxD,putative phosphonate dehydrogenase,Energy production and conversion,Op2192,PtxS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3376&e1=1&assembly=complete
PP_3384,0.2499823379756187,PP_3384,gluconate 2-dehydrogenase gamma subunit,Function unknown,Op2195,PtxS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3384&e1=1&assembly=complete
PP_3382,0.2305177596763234,PP_3382,gluconate 2-dehydrogenase cytochrome c subunit,Energy production and conversion,Op2195,PtxS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3382&e1=1&assembly=complete
PP_3383,0.2070770528446172,PP_3383,gluconate 2-dehydrogenase flavoprotein subunit,Amino acid transport and metabolism,Op2195,PtxS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3383&e1=1&assembly=complete
PP_3417,0.1968040118291597,gntT,D-gluconate transporter,Amino acid transport and metabolism,Op2214,GnuR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3417&e1=1&assembly=complete
PP_3418,0.1898570916733136,PP_3418,conserved protein of unknown function,No COG annotation,Op2215,GnuR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3418&e1=1&assembly=complete
PP_3416,0.1574623580211402,gnuK,D-gluconate kinase,Coenzyme transport and metabolism,Op2213,GnuR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3416&e1=1&assembly=complete
PP_3380,0.1516576254939304,ptxS,2-ketogluconate utilization repressor,Transcription,Op2193,PtxS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3380&e1=1&assembly=complete
