locus,gene_weight,gene_name,gene_product,cog,regulator,MalR,link
SP5448_08545,0.2314180667,pulA,amylopullulanase,Carbohydrate transport and metabolism,"MalR,CcpA,Rgg,MalR_M1",True,
SP5448_04325,0.227329621,malX,sugar ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,"MalR,CcpA,Rgg,MalR_M1,CovR,CovR,Nra_transition_M49",True,
SP5448_04335,0.22209432680000002,malQ,4-alpha-glucanotransferase,Carbohydrate transport and metabolism,"MalR,MalR_M1,CovR,CovR,Irr_LE_M6",True,
SP5448_04320,0.2145357997,malF,sugar ABC transporter permease,Inorganic ion transport and metabolism,"MalR,CcpA,Mga,Rgg,MalR_M1,CovR,CovR,Nra_transition_M49",True,
SP5448_04315,0.21436800290000002,malG,sugar ABC transporter permease,Inorganic ion transport and metabolism,"MalR,CcpA,TrxR_M1,Rgg,MalR_M1,CovR,Nra_transition_M49,Irr_LE_M6",True,
SP5448_07390,0.2043877519,SP5448_07390,sugar ABC transporter ATP-binding protein,Function unknown,"MalR_M1,Irr_LE_M6",False,
SP5448_04340,0.2032969789,glgP,maltose phosphorylase,Carbohydrate transport and metabolism,"MalR,CovR,Rgg,MalR_M1",True,
SP5448_08550,0.2030986901,dexB,glucan 1%2C6-alpha-glucosidase,Carbohydrate transport and metabolism,"MalR,Rgg,MalR_M1,Nra_stationary_M49",True,
SP5448_08595,0.1879913073,ptsG,PTS system glucose/maltose-specific transporter subunit IIBCA,Carbohydrate transport and metabolism,"MalR,CcpA,CovR,MalR_M1,CovR",True,
SP5448_07385,0.182487366,SP5448_07385,ABC transporter permease,Function unknown,"Rgg,MalR_M1",False,
SP5448_07380,0.177253307,SP5448_07380,multidrug ABC transporter permease,Function unknown,"Rgg,MalR_M1",False,
SP5448_08590,0.1597263293,rgfB,exodeoxyribonuclease III,"Replication, recombination and repair","MalR,CcpA,CovR,Rgg,MalR_M1,CovR",True,
SP5448_07415,0.132825371,ccpA,catabolite control protein A,Transcription,CcpA,False,
SP5448_06245,0.1165435358,fruA,PTS fructose transporter subunit IIC,Carbohydrate transport and metabolism,"CcpA,FruR,CovR,CovR,CovR",False,
SP5448_06250,0.1070918386,pfkB,phosphofructokinase,Coenzyme transport and metabolism,"CcpA,FruR,CovR,Irr_LE_M6",False,
SP5448_06255,0.0956729449,fruR,DeoR faimly transcriptional regulator,Transcription,"CcpA,FruR,Mga",False,
