locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Anr,link
PA5173,0.309968946,arcC,,carbamate kinase,Amino acid transport and metabolism,Anr,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5173&e1=1&assembly=complete
PA5172,0.30976063200000004,arcB,,ornithine carbamoyltransferase,Amino acid transport and metabolism,"ArgR,Anr",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5172&e1=1&assembly=complete
PA5171,0.262917461,arcA,,arginine deiminase,Amino acid transport and metabolism,"ArgR,Anr",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5171&e1=1&assembly=complete
PA1746,0.13822751600000002,PA1746,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1746&e1=1&assembly=complete
PA0141,0.127298445,PA0141,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0141&e1=1&assembly=complete
PA1555,0.11286366900000001,ccoP2,,cytochrome C oxidase cbb3-type subunit CcoP,Energy production and conversion,Anr,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1555&e1=1&assembly=complete
PA5427,0.10682127400000001,adhA,,alcohol dehydrogenase,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5427&e1=1&assembly=complete
PA0518,0.094784399,nirM,,cytochrome C-551,Energy production and conversion,"Anr,Anr,Dnr",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0518&e1=1&assembly=complete
PA1556,0.09189699999999999,ccoO2,,cbb3-type cytochrome C oxidase subunit II,Energy production and conversion,Anr,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1556&e1=1&assembly=complete
PA0509,0.086038605,nirN,,cytochrome C,Energy production and conversion,"Anr,Anr,Dnr",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0509&e1=1&assembly=complete
PA3309,0.084448695,PA3309,,hypothetical protein,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3309&e1=1&assembly=complete
PA4587,0.083575575,ccpR,,cytochrome C551 peroxidase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4587&e1=1&assembly=complete
PA1555.1,0.074974232,ccoQ2,,cytochrome C oxidase cbb3-type subunit CcoQ,"Post-translational modification, protein turnover,and chaperones",Anr,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1555.1&e1=1&assembly=complete
PA4236,0.05925559700000001,katA,,catalase,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4236&e1=1&assembly=complete
PA3396,-0.060428223,nosL,,acessory protein NosL,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3396&e1=1&assembly=complete
