locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Fnr,link
b0895,0.2231171171,dmsB,dimethyl sulfoxide reductase subunit B,Energy production and conversion,dmsABC,"RpoD,Fis,ModE,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10233
b0896,0.1845830792,dmsC,dimethyl sulfoxide reductase subunit C,Function unknown,dmsABC,"RpoD,Fis,ModE,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10234
b1588,0.1752578827,ynfF,putative selenate reductase YnfF,Energy production and conversion,ynfEFGH-dmsD,"RpoD,YdcN,RpoS,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6846
b4152,0.14790336240000002,frdC,fumarate reductase membrane protein FrdC,Energy production and conversion,frdABCD,"RpoD,RpoS,Fnr,NarL,DcuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10332
b4151,0.1476227931,frdD,fumarate reductase membrane protein FrdD,Energy production and conversion,frdABCD,"RpoD,RpoS,Fnr,NarL,DcuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10333
b1587,0.1455041608,ynfE,putative selenate reductase YnfE,Energy production and conversion,ynfEFGH-dmsD,"RpoD,RpoS,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6845
b4153,0.1406896318,frdB,fumarate reductase iron-sulfur protein,Energy production and conversion,frdABCD,"RpoD,RpoS,Fnr,NarL,DcuR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10331
b0894,0.1375575582,dmsA,dimethyl sulfoxide reductase subunit A,Energy production and conversion,dmsABC,"RpoD,YciT,Fis,ModE,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10232
b1589,0.1343069389,ynfG,putative oxidoreductase YnfG,Energy production and conversion,ynfEFGH-dmsD,"RpoD,RpoS,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6847
b2729,0.1217195231,hypD,Fe-(CN)2CO cofactor assembly scaffold protein HypD,"Post-translational modification, protein turnover,and chaperones",hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10486
b2728,0.12154578960000001,hypC,hydrogenase 3 maturation protein HypC,"Post-translational modification, protein turnover,and chaperones",hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10485
b3518,0.1094665252,ccp,cytochrome c peroxidase,Energy production and conversion,ccp,"RpoD,OxyR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12244
b3159,0.10929045820000001,yhbV,putative peptidase YhbV,"Post-translational modification, protein turnover,and chaperones",yhbUV,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7653
b4237,0.1069214718,nrdG,anaerobic ribonucleoside-triphosphate reductase activating protein,"Post-translational modification, protein turnover,and chaperones",nrdDG,"RpoD,NrdR,H-NS,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G812
b2730,0.1034716324,hypE,hydrogenase maturation protein%2C carbamoyl dehydratase,"Post-translational modification, protein turnover,and chaperones",hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10487
b3366,0.1008497436,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b4379,0.09624573730000001,yjjW,putative glycyl-radical enzyme activating enzyme YjjW,"Post-translational modification, protein turnover,and chaperones",yjjW,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7953
b1474,0.0950991462,fdnG,formate dehydrogenase N subunit alpha,Energy production and conversion,fdnGHI,"RpoD,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11227
b1752,0.0938508686,ydjZ,DedA family protein YdjZ,Function unknown,ydjXYZ-ynjABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6947
b2996,0.0925032088,hybA,hydrogenase 2 iron-sulfur protein,Energy production and conversion,hybOABCDEFG,"RpoD,ArcA,NarL",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11799
b2995,0.0912965686,hybB,hydrogenase 2 membrane subunit,Energy production and conversion,hybOABCDEFG,"RpoD,YbaQ,ArcA,NarL",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11800
b1590,0.0871430838,ynfH,putative menaquinol dehydrogenase,Function unknown,ynfEFGH-dmsD,"RpoD,RpoS,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6848
b1757,0.0848805336,ynjE,molybdopterin synthase sulfurtransferase,Cell wall/membrane/envelope biogenesis,ynjE,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6952
