locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,XisF4,CueR,link
PA5524,0.14564217200000001,PA5524,,short-chain dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5524&e1=1&assembly=complete
PA3574a,0.13886578300000002,PA3574a,,copper chaperone CopZ,Inorganic ion transport and metabolism,CueR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3574a&e1=1&assembly=complete
PA4611,0.12281526400000001,PA4611,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4611&e1=1&assembly=complete
PA0529,0.112133145,PA0529,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0529&e1=1&assembly=complete
PA1592,0.11134523700000001,PA1592,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1592&e1=1&assembly=complete
PA3531,0.10693907400000001,bfrB,,bacterioferritin,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3531&e1=1&assembly=complete
PA4463,0.103487168,PA4463,,hypothetical protein,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4463&e1=1&assembly=complete
PA0762,0.095045214,algU,,RNA polymerase sigma factor AlgU,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0762&e1=1&assembly=complete
PA3351,0.094345854,flgM,,protein FlgM,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3351&e1=1&assembly=complete
PA3920,0.08895533900000001,PA3920,,metal transporting P-type ATPase,Inorganic ion transport and metabolism,CueR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3920&e1=1&assembly=complete
PA2744,0.086263349,thrS,,threonine--tRNA ligase,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2744&e1=1&assembly=complete
PA2738,0.08583030700000001,himA,,integration host factor subunit alpha,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2738&e1=1&assembly=complete
PA0408,0.085324233,pilG,,pilus biosynthesis/twitching motility protein PilG,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0408&e1=1&assembly=complete
PA3601,0.081424364,PA3601,,50S ribosomal protein L31 type B,"Translation, ribosomal structure and biogenesis",Zur,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3601&e1=1&assembly=complete
PA4364,0.07680397300000001,PA4364,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4364&e1=1&assembly=complete
PA4878,0.076780425,PA4878,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4878&e1=1&assembly=complete
PA0763,0.0742888,mucA,,sigma factor AlgU negative regulator MucA,Signal transduction mechanisms,AlgU,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0763&e1=1&assembly=complete
PA5288,0.074109809,glnK,,nitrogen regulatory protein P-II 2,Transcription,NtrC,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5288&e1=1&assembly=complete
PA3009,0.07364601100000001,PA3009,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3009&e1=1&assembly=complete
PA3205,0.072191426,PA3205,,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3205&e1=1&assembly=complete
PA0376,0.070629009,rpoH,,RNA polymerase sigma factor RpoH,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0376&e1=1&assembly=complete
PA1092,0.070455317,fliC,,B-type flagellin,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1092&e1=1&assembly=complete
PA1053,0.06980196300000001,PA1053,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1053&e1=1&assembly=complete
PA1414,0.069589995,PA1414,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1414&e1=1&assembly=complete
PA2805,0.069182482,PA2805,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2805&e1=1&assembly=complete
PA3307,0.06880628800000001,PA3307,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3307&e1=1&assembly=complete
PA5494,0.067496125,PA5494,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5494&e1=1&assembly=complete
PA1112b,0.067247018,PA1112b,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1112b&e1=1&assembly=complete
PA3309,0.066922005,PA3309,,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3309&e1=1&assembly=complete
PA1198,0.066423681,PA1198,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1198&e1=1&assembly=complete
PA2742,0.065870178,rpmI,,50S ribosomal protein L35,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2742&e1=1&assembly=complete
PA2621,0.065509722,PA2621,,ATP-dependent Clp protease adapter protein Clp,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2621&e1=1&assembly=complete
PA1137,0.06316725200000001,PA1137,,oxidoreductase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1137&e1=1&assembly=complete
PA3819,0.061745651000000006,PA3819,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3819&e1=1&assembly=complete
PA4067,0.061238176000000005,oprG,,outer membrane protein OprG,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4067&e1=1&assembly=complete
PA3529,0.059397338,PA3529,,peroxidase,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3529&e1=1&assembly=complete
PA4747,0.05865884700000001,secG,,preprotein translocase subunit SecG,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4747&e1=1&assembly=complete
PA4943,0.058644459,PA4943,,GTP-binding protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4943&e1=1&assembly=complete
PA0728,0.058349533,PA0728,,bacteriophage integrase,"Replication, recombination and repair",XisF4,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0728&e1=1&assembly=complete
PA1544,0.057719062,anr,,transcriptional regulator Anr,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1544&e1=1&assembly=complete
