locus,comp,gene_name,product,operon,TF,allR,fucR,araC,link
b0509,0.321224267661,glxR,tartronate semialdehyde reductase 2,"gcl, hyi, glxR, ybbW, allB, ybbY, glxK","Sigma70, allR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6278
b0508,0.316051908943,hyi,hydroxypyruvate isomerase,"gcl, hyi, glxR, ybbW, allB, ybbY, glxK","Sigma70, allR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6277
b0507,0.265126662926,gcl,glyoxylate carboligase,"gcl, hyi, glxR, ybbW, allB, ybbY, glxK","Sigma70, allR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11583
b0512,0.24849103705699999,allB,allantoinase,"gcl, hyi, glxR, ybbW, allB, ybbY, glxK","Sigma70, allR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6281
b0063,0.176550229787,araB,L-ribulokinase,"araB, araA, araD","Sigma70, araC, crp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10053
b0062,0.164870677981,araA,L-arabinose isomerase,"araB, araA, araD","Sigma70, araC, crp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10052
b0505,0.161867025826,allA,ureidoglycolate lyase,allA,allR,True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6275
b0061,0.1590185926,araD,L-ribulose 5-phosphate 4-epimerase,"araB, araA, araD","Sigma70, araC, crp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10055
b0511,0.150538624904,ybbW,"putative transporter,  nucleobase:cation symporter-1 (NCS1) family","gcl, hyi, glxR, ybbW, allB, ybbY, glxK","Sigma70, allR, yeiE",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6280
b1901,0.13578834291,araF,arabinose ABC transporter - periplasmic binding protein,"araF, araG, araH","Sigma38, Sigma70, araC, crp, nac, yieP",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10057
b2801,0.107153682013,fucP,fucose:H+ symporter,"fucP, fucI, fucK, fucU, fucR","Sigma70, crp, fucR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10352
b2802,0.100579648649,fucI,L-fucose isomerase,"fucP, fucI, fucK, fucU, fucR","Sigma70, crp, fucR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10349
b2841,0.0975348751998,araE,arabinose:H<sup>+</sup> symporter,"araE, ygeA","Sigma70, araC, crp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10056
b1900,0.091064762861,araG,arabinose ABC transporter -  ATP binding subunit,"araF, araG, araH","Sigma38, Sigma70, araC, crp, nac",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10058
b2799,0.0900707705285,fucO,"L-1,2-propanediol oxidoreductase","fucA, fucO","Sigma70, crp, fucR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10351
b2800,0.08793282091150001,fucA,L-fuculose-phosphate aldolase,"fucA, fucO","Sigma70, crp, fucR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10348
b2803,0.08744712051650001,fucK,L-fuculokinase,"fucP, fucI, fucK, fucU, fucR","Sigma70, crp, fucR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10350
b4460,0.08723048730340001,araH,arabinose ABC transporter - membrane subunit,"araF, araG, araH","Sigma38, Sigma70, araC, crp, nac",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10059
