locus,gene_weight,gene_name,gene_product,cog,regulator,fliA,link
STM1919,0.2286729369,cheM,methyl accepting chemotaxis protein II,Cell motility,"fliA,fnr",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1919
STM3611,0.2159765867,yhjH,putative diguanylate cyclase/phosphodiesterase domain 3 containing protein,Signal transduction mechanisms,"flhD;flhC,fliA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3611
STM1959,0.2082345061,fliC,flagellar biosynthesis%3B flagellin,Cell motility,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1959
STM1917,0.20201664960000001,cheB,methyl esterase,Cell motility,"fliA,fnr",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1917
STM1922,0.19941659720000002,motB,enables flagellar motor rotation,Cell motility,"cpxR,fliA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1922
STM1921,0.1972516942,cheA,sensory histitine protein kinase,Coenzyme transport and metabolism,"cpxR,fliA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1921
STM1918,0.1960552429,cheR,glutamate methyltransferase,Coenzyme transport and metabolism,"fliA,fnr",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1918
STM3216,0.195611371,STM3216,putative methyl-accepting chemotaxis protein,Cell motility,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3216
STM1920,0.1940932973,cheW,purine-binding chemotaxis protein,Cell motility,"cpxR,fliA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1920
STM1923,0.19393404020000002,motA,proton conductor component of motor,Cell motility,"cpxR,fliA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1923
STM1916,0.1861220463,cheY,chemotaxis regulator protein,Transcription,"fliA,fnr",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1916
STM4533,0.1838788066,tsr,methyl-accepting chemotaxis protein I,Cell motility,"cpxR,fliA,rpoD,ybiH,yddM",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4533
STM3577,0.18169126600000002,tcp,methyl-accepting transmembrane citrate/phenol chemoreceptor,Cell motility,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3577
STM2314,0.1731716342,STM2314,putative chemotaxis signal transduction protein,Cell motility,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2314
STM1798,0.1725615406,ycgR,putative inner membrane protein,Cell wall/membrane/envelope biogenesis,"flhD;flhC,fliA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1798
STM1915,0.1692637663,cheZ,chemotactic response protein,Nucleotide transport and metabolism,"fliA,fnr",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1915
STM1626,0.163595824,trg,methyl-accepting chemotaxis protein III,Cell motility,"crp,fis,fliA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1626
STM3217,0.1341923912,aer,aerotaxis sensor receptor,Signal transduction mechanisms,"arcA,crp,fliA,fnr",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3217
STM1960,0.1332193463,fliD,filament capping protein,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1960
STM1956,0.1308910111,fliA,sigma F (sigma 28) factor of RNA polymerase,Transcription,"csgD,flhD;flhC,fliA,h-NS,ihf,matA,nsrR,rpoD,sutR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1956
STM1183,0.1300577961,flgK,hook-filament junction protein 1,Cell motility,"flhD;flhC,fliA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1183
STM1184,0.1290731131,flgL,hook-filament junction protein,Cell motility,"flhD;flhC,fliA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1184
STM1300,0.1234743454,STM1300,putative periplasmic protein,Function unknown,fliA,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1300
STM3152,0.11733885840000001,STM3152,putative methyl-accepting chemotaxis protein,Cell motility,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3152
STM1961,0.1155537236,fliS,repressor of class 3a and 3b operons (RflA activity),Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1961
STM1172,0.1066926618,flgM,anti-FliA factor,Cell motility,"csgD,flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1172
STM1171,0.1031877935,flgN,flagellar biosynthesis protein,Cell motility,"csgD,flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1171
STM1962,0.10291754530000001,fliT,putative export chaperone for FliD,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1962
STM1955,0.07462624670000001,fliZ,putative regulator of FliA,Cell motility,"csgD,flhD;flhC,fliA,h-NS,ihf,matA,nsrR,rpoD,sutR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1955
STM0783,0.0736370422,modC,molybdate transporter,Inorganic ion transport and metabolism,"crp,fliA,modE,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0783
STM3151,0.0667313466,yghW,putative cytoplasmic protein,Function unknown,"arcA,fnr",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3151
STM0781,0.0664868696,modA,molybdate transporter,Inorganic ion transport and metabolism,"crp,fliA,modE,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0781
STM1950,0.0651894868,sdiA,transcriptional regulator of ftsQAZ gene cluster,Transcription,"fur,nac,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1950
STM0782,0.0634827242,modB,molybdate transporter,Inorganic ion transport and metabolism,"crp,fliA,modE,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0782
STM3138,0.057351760800000005,STM3138,putative methyl-accepting chemotaxis protein,Cell motility,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3138
