locus,gene_weight,gene_name,gene_product,cog,regulator,cysB,link
STM2935,0.3120951144,cysD,ATP-sulfurylase%2C subunit 1,Coenzyme transport and metabolism,"cysB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2935
STM2444,0.2911378794,cysP,thiosulfate transport protein,Inorganic ion transport and metabolism,"cysB,h-NS,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2444
STM2443,0.2878424908,cysU,thiosulfate transport protein,Inorganic ion transport and metabolism,"cysB,h-NS,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2443
STM2442,0.28440189660000004,cysW,thiosulfate permease W protein,Inorganic ion transport and metabolism,"cysB,h-NS,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2442
STM2948,0.27034099100000003,cysJ,sulfite reductase%2C beta (flavoprotein) subunit,Amino acid transport and metabolism,"cysB,ihf,rpoD,yafC,yeiE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2948
STM2947,0.2577311514,cysI,NADPH dependent sulfite reductase%2C alpha subunit,Coenzyme transport and metabolism,"cysB,ihf,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2947
STM2946,0.2559476934,cysH,3'-phosphoadenosine 5'-phosphosulfate reductase,Amino acid transport and metabolism,"cysB,hypT,ihf,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2946
STM4063,0.2480371388,sbp,sulfate transport protein,Inorganic ion transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4063
STM2441,0.2390713261,cysA,sulfate permease A protein,Inorganic ion transport and metabolism,"cysB,h-NS,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2441
STM2933,0.23731646620000002,cysC,adenosine 5'-phosphosulfate kinase,Nucleotide transport and metabolism,"cysB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2933
STM2934,0.23701432100000003,cysN,ATP-sulfurylase%2C subunit 1,Coenzyme transport and metabolism,"cysB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2934
STM1320,0.18239574890000002,ydjN,kinase-like protein,"Intracellular trafficking, secretion, and vesicular transport",cysB,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1320
STM2430,0.14914820650000002,cysK,subunit of cysteine synthase A and O-acetylserine sulfhydrolase A,Amino acid transport and metabolism,"cysB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2430
