locus,comp,gene_name,product,operon,TF,link
b3751,0.154999874339,rbsB,ribose ABC transporter - putative periplasmic binding protein,rbsDACBKR,"crp, rbsR, rpoD",https://ecocyc.org/gene?orgid=ECOLI&id=EG10815
b1446,0.12532869538,ydcY,putative protein,ydcY,fnr,https://ecocyc.org/gene?orgid=ECOLI&id=G6757
b1414,0.106892791151,ydcF,conserved protein,ydcF,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12110
b4493_2,0.105981801498,gapC_2,"glyceraldehyde 3-phosphate dehydrogenase C, interrupted",gapC_1C_2,,
b4493_1,0.100189941666,gapC_1,split glyceraldehyde 3-phosphate dehydrogenase C,gapC_1C_2,,
b1378,0.100163705398,pfo,pyruvate:flavodoxin oxidoreductase,ydbK-ompN,"rpoS, soxS",https://ecocyc.org/gene?orgid=ECOLI&id=G6701
b1488,0.0983864794762,ddpX,D-Ala-D-Ala dipeptidase,ddpXABCDF,"arcA, nac, ntrC, rpoN, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=G6782
b1426,0.0982580058908,ydcH,putative protein,ydcH,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12865
b1376,0.0971295580628,uspF,nucleotide binding filament protein,uspF,"fnr, yeiE",https://ecocyc.org/gene?orgid=ECOLI&id=G6699
b1434,0.0956600724378,ydcN,SutR DNA-binding transcriptional dual regulator,sutR,"rpoD, sutR",https://ecocyc.org/gene?orgid=ECOLI&id=G6745
b1482,0.095425671992,osmC,osmotically inducible peroxiredoxin,osmC,"h-NS, lrp, nhaR, rcsB, rpoD, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=EG10680
b1406,0.0951921255088,ydbC,"predicted oxidoreductase, NAD(P)-binding",pdxI,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11309
b1423,0.0927717712141,ydcJ,conserved protein,ydcJ,nac,https://ecocyc.org/gene?orgid=ECOLI&id=G6738
b1427,0.0926344436347,rimL,ribosomal-protein-L12-serine acetyltransferase,rimL,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10853
b1490,0.092596209101,dosC,diguanylate cyclase DosC,dosCP,,https://ecocyc.org/gene?orgid=ECOLI&id=G6784
b1442,0.0910940519338,ydcU,"putative transport protein, ABC superfamily - membrane component",ydcSTUV-patD,"nac, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=G6753
b1480,0.09051051543500001,sra,30S ribosomal subunit protein S22,bdm-sra,"fis, ihf, ompR, rcsB, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=EG11508
b1461,0.0895178900416,pptA,probable 4-oxalocrotonate tautomerase (4-OT),pptA,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11761
b1478,0.08911024830299999,adhP,ethanol dehydrogenase / alcohol dehydrogenase,adhP,fur,https://ecocyc.org/gene?orgid=ECOLI&id=G6775
b1443,0.08894731532889999,ydcV,"putative transport protein, ABC family - membrane component",ydcSTUV-patD,"nac, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=G6754
b1349,0.0873971217469,recT,"recombinase, DNA renaturation",recET-ralR-ydaC-xisR-intR,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11899
b1452,0.0872849156755,yncE,conserved protein,yncE,"arcA, fur, marA",https://ecocyc.org/gene?orgid=ECOLI&id=G6763
b1415,0.0860040441914,aldA,aldehyde dehydrogenase A,aldA,"arcA, crp, dnaA, fnr, marA, rob, rpoD, soxS",https://ecocyc.org/gene?orgid=ECOLI&id=EG10035
b1440,0.0857347224519,ydcS,"putative transport protein, ABC superfamily - periplasmic binding protein / polyhydroxybutyrate synthase",ydcSTUV-patD,"nac, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b1483,0.0843320236201,ddpF,YddO,ddpXABCDF,"arcA, nac, ntrC, rpoN, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=G6777
b1487,0.0841995730542,ddpA,YddS,ddpXABCDF,"arcA, nac, ntrC, rpoN, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=G6781
b1485,0.0840642670508,ddpC,YddQ,ddpXABCDF,"arcA, nac, ntrC, rpoN, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=G6779
b1473,0.0839199241677,yddG,aromatic amino acid exporter,yddG,"fnr, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=EG12713
b1441,0.08354760872660001,ydcT,"putative transport protein, ABC superfamily - ATP binding component",ydcSTUV-patD,"nac, rpoS, yeiE",https://ecocyc.org/gene?orgid=ECOLI&id=G6752
b4492_3,0.08276256183960001,ydbA_3,,ydbA_3,,
b1385,0.0824056852129,feaB,phenylacetaldehyde dehydrogenase,feaB,"arcA, crp, feaR, nsrR, rpoD, yddM",https://ecocyc.org/gene?orgid=ECOLI&id=G7961
b1431,0.081564313928,ydcL,predicted lipoprotein,ydcL,,https://ecocyc.org/gene?orgid=ECOLI&id=G6742
b1430,0.08130530913,tehB,tellurite methyltransferase,tehAB,nsrR,https://ecocyc.org/gene?orgid=ECOLI&id=EG11884
