locus,gene_weight,gene_name,gene_product,cog,regulator,Mga,link
SP5448_08340,0.24366872800000003,lacC_2,tagatose-6-phosphate kinase,Coenzyme transport and metabolism,"Mga,Rgg,Rgg,CovR,CovR,Nra_transition_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1609%22)
SP5448_08330,0.2424702702,lacF,PTS system lactose-specific transporter subunit IIA,Carbohydrate transport and metabolism,"Mga,Rgg,Rgg,CovR,CovR,Irr_EE_M6,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1607%22)
SP5448_08335,0.2375756892,lacD_2,tagatose-bisphosphate aldolase,Carbohydrate transport and metabolism,"Mga,Rgg,CovR,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1608%22)
SP5448_08320,0.2318313519,lacG,6-phospho-beta-galactosidase,Carbohydrate transport and metabolism,"Mga,Rgg,MalR_M1,FasX_15min_M1,CovR,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1605%22)
SP5448_08325,0.23130114740000002,lacE,PTS system lactose-specific transporter subunits IICB,Carbohydrate transport and metabolism,"Mga,Rgg,CovR,CovR,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1606%22)
SP5448_08345,0.2284084349,rpiB_3,galactose-6-phosphate isomerase,Carbohydrate transport and metabolism,"Mga,Rgg,Rgg,CovR,CovR,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1610%22)
SP5448_08350,0.2015898218,lacA_2,galactose-6-phosphate isomerase,Carbohydrate transport and metabolism,"Mga,Rgg,CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1611%22)
SP5448_08315,0.1725589797,salA,lantibiotic salivaricin A,Function unknown,"Mga,Rgg",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1604%22)
SP5448_08310,0.15658454230000002,salB,hypothetical protein,Defense mechanisms,"Mga,Rgg",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1603%22)
SP5448_08300,0.1529012055,SP5448_08300,bacitracin ABC transporter ATP-binding protein,Defense mechanisms,"Mga,Rgg,CovR,CovR,Irr_EE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1601%22)
SP5448_08305,0.1395366949,SP5448_08305,lantibiotic ABC transporter ATP-binding protein,Defense mechanisms,"Mga,RivR_M1",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1602%22)
SP5448_02540,0.0907429024,SP5448_02540,PTS galactose transporter subunit IIA,Carbohydrate transport and metabolism,"CcpA,CcpA_core_M1,CovR,Mga,LacD.1_M14,Nra_exponetional_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.466%22)
SP5448_06945,0.0783220502,ugl,glucuronyl hydrolase,Function unknown,"CcpA,RegR,CcpA_core_M1,Mga,Mga",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1335%22)
SP5448_00890,0.0777592844,SP5448_00890,hypothetical protein,Function unknown,"CovR,Mga,Mga,Rgg,Rgg,CovR,CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.143%22)
SP5448_04520,0.0776533174,SP5448_04520,hypothetical protein,Function unknown,"CovR,Rgg,LacD.1_M14,Phage_3",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.851%22)
SP5448_01845,0.07208721430000001,endOF2,endo-beta-N-acetylglucosaminidase,Carbohydrate transport and metabolism,"CcpA_core_M1,CovR",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.327%22)
SP5448_03435,-0.072332379,recN,DNA recombination protein RecN,"Replication, recombination and repair","TrxR_M1,Mga",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.638%22)
SP5448_03430,-0.0731753094,argR_2,ArgR family transcriptional regulator,Transcription,"TrxR_M1,Mga",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.637%22)
SP5448_03390,-0.0736827667,glnQ_2,glutamine ABC transporter ATP-binding protein,Amino acid transport and metabolism,"Mga,Rgg,Rgg,LacD.1_M14,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.629%22)
SP5448_06255,-0.07785670210000001,fruR,DeoR faimly transcriptional regulator,Transcription,"CcpA,FruR,Mga",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1198%22)
SP5448_03415,-0.0829192078,xseB,exodeoxyribonuclease VII small subunit,"Replication, recombination and repair",Rgg,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.634%22)
