locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ABUW_1645,link
ABUW_2433,0.1908369155,ABUW_2433,KGG domain-containing protein,No COG annotation,,AbaM,False,
ABUW_2439,0.18686463550000001,ABUW_2439,hypothetical protein,No COG annotation,Op1248,AbaM,False,
ABUW_2440,0.1784538746,ABUW_2440,surface antigen,No COG annotation,Op1249,AbaM,False,
ABUW_2443,0.1491372476,ABUW_2443,hypothetical protein,No COG annotation,Op1252,,False,
ABUW_2679,0.1480701384,ABUW_2679,hypothetical protein,Function unknown,Op1367,AbaM,False,
ABUW_1466,0.14779854580000001,ABUW_1466,hypothetical protein,Function unknown,,"Fur,AbaM,ABUW_1645",True,
ABUW_2321,0.1465144927,ABUW_2321,hypothetical protein,No COG annotation,,,False,
ABUW_3123,0.1427955294,otsA,trehalose-6-phosphate synthase,Carbohydrate transport and metabolism,,,False,
ABUW_2435,0.1406606806,ABUW_2435,oxidoreductase,Lipid transport and metabolism,Op1244,ABUW_1645,True,
ABUW_1467,0.1180369007,ABUW_1467,acyl-CoA dehydrogenase,Lipid transport and metabolism,Op755,ABUW_1645,True,
ABUW_1468,0.117280965,ABUW_1468,LmbE-like protein,Cell wall/membrane/envelope biogenesis,Op755,,False,
ABUW_1471,0.1127201072,ABUW_1471,hypothetical protein,Function unknown,Op757,ABUW_1645,True,
ABUW_2438,0.1124271087,cinA1,competence/damage-inducible protein CinA,Function unknown,Op1247,Fur,False,
ABUW_1470,0.1098040349,ABUW_1470,glycosyl transferase%2C family 2,Cell wall/membrane/envelope biogenesis,Op756,,False,
ABUW_2436,0.1083245342,katE,catalase,Energy production and conversion,Op1245,ABUW_1645,True,
ABUW_1469,0.1080947059,ABUW_1469,methyltransferase type 12,"Translation, ribosomal structure and biogenesis",Op756,,False,
ABUW_2703,0.1054755773,ABUW_2703,hypothetical protein,No COG annotation,Op1382,,False,
ABUW_1631,0.1049171366,ABUW_1631,hypothetical protein,Function unknown,Op840,ABUW_1645,True,
ABUW_3122,0.104693937,otsB,trehalose-phosphatase,Carbohydrate transport and metabolism,,ABUW_1645,True,
ABUW_1286,0.10438574040000001,ABUW_1286,hypothetical protein,No COG annotation,Op681,ABUW_1645,True,
ABUW_2060,0.10406196470000001,ABUW_2060,hypothetical protein,No COG annotation,Op1067,ABUW_1645,True,
ABUW_2434,0.10403770700000001,ABUW_2434,hypothetical protein,No COG annotation,Op1243,ABUW_1645,True,
ABUW_2672,0.1024011273,ABUW_2672,hypothetical protein,No COG annotation,Op1361,,False,
ABUW_1651,0.0999704098,ABUW_1651,hypothetical protein,No COG annotation,Op847,"AbaM,ABUW_1645",True,
ABUW_1632,0.0989354333,ABUW_1632,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op841,ABUW_1645,True,
ABUW_1634,0.0923758948,ABUW_1634,hypothetical protein,Function unknown,Op841,,False,
ABUW_1633,0.09045294970000001,ABUW_1633,hypothetical protein,Cell motility,Op841,ABUW_1645,True,
ABUW_1761,0.0868115746,ABUW_1761,hypothetical protein,Function unknown,Op912,AbaM,False,
ABUW_2684,0.07995989170000001,ABUW_2684,phage putative head morphogenesis protein,Function unknown,Op1370,ABUW_1645,True,
ABUW_2064,0.0787596342,ABUW_2064,hypothetical protein,No COG annotation,Op1070,ABUW_1645,True,
ABUW_2685,0.0786405787,ABUW_2685,hypothetical protein,No COG annotation,Op1371,ABUW_1645,True,
ABUW_1659,0.0776116833,ABUW_1659,hypothetical protein,No COG annotation,Op853,ABUW_1645,True,
ABUW_3575,0.0762251862,ABUW_3575,hypothetical protein,Function unknown,,,False,
ABUW_2065,0.0733825458,ABUW_2065,hypothetical protein,No COG annotation,Op1071,ABUW_1645,True,
ABUW_2594,0.0730467668,ABUW_2594,glutathione-dependent formaldehyde dehydrogenase,Amino acid transport and metabolism,Op1317,,False,
ABUW_2686,0.07222118100000001,ABUW_2686,hypothetical protein,No COG annotation,Op1372,ABUW_1645,True,
ABUW_2437,0.0717761222,ABUW_2437,heme oxygenase-like protein,Function unknown,Op1246,Fur,False,
ABUW_0628,0.0707939985,ABUW_0628,peroxidase,"Post-translational modification, protein turnover,and chaperones",Op327,ABUW_1645,True,
ABUW_3322,0.0678487794,ABUW_3322,hypothetical protein,No COG annotation,,,False,
ABUW_2442,0.0677196329,ABUW_2442,hypothetical protein,No COG annotation,Op1251,"AbaM,ABUW_1645",True,
ABUW_2621,0.06604158660000001,ABUW_2621,hypothetical protein,No COG annotation,Op1330,ABUW_1645,True,
ABUW_1657,0.0606248636,ABUW_1657,hypothetical protein,No COG annotation,Op852,,False,
ABUW_1891,0.0589944727,ABUW_1891,ThiJ/PfpI domain protein,Function unknown,,,False,
ABUW_2553,0.0567682096,ABUW_2553,hypothetical protein,No COG annotation,,,False,
ABUW_2441,0.0567128702,ABUW_2441,hypothetical protein,No COG annotation,Op1250,,False,
ABUW_2058,0.055763356800000004,ABUW_2058,hypothetical protein,Function unknown,Op1066,ABUW_1645,True,
ABUW_2673,0.0557545303,ABUW_2673,hypothetical protein,No COG annotation,Op1362,ABUW_1645,True,
ABUW_1495,-0.061154599600000005,ABUW_1495,hypothetical protein,No COG annotation,,,False,
ABUW_2052,-0.0637902871,ABUW_2052,fimbrial subunit,Cell motility,Op1061,,False,
ABUW_1663,-0.0663184904,ABUW_1663,hypothetical protein,No COG annotation,Op857,,False,
