locus,gene_weight,gene_name,gene_product,cog,regulator,CysB,link
b2425,0.2679816286645779,cysP,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,Inorganic ion transport and metabolism,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10195
b2752,0.2677838335698517,cysD,sulfate adenylyltransferase subunit 2,Coenzyme transport and metabolism,"RpoD,YcjW,gcvB,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10186
b2424,0.2658729837178535,cysU,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,Inorganic ion transport and metabolism,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10197
b2764,0.2601810105631062,cysJ,sulfite reductase%2C flavoprotein subunit,Amino acid transport and metabolism,"RpoD,YeiE,YafC,CysB,IHF,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10191
b2423,0.2447688449049004,cysW,sulfate/thiosulfate ABC transporter inner membrane subunit CysW,Inorganic ion transport and metabolism,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10198
b2763,0.2381332431450727,cysI,sulfite reductase%2C hemoprotein subunit,Coenzyme transport and metabolism,"RpoD,CysB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10190
b2422,0.2239466080550291,cysA,sulfate/thiosulfate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10183
b2751,0.2227797146681899,cysN,sulfate adenylyltransferase subunit 1,Coenzyme transport and metabolism,"RpoD,CysB,ppGpp,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10194
b2013,0.2046679772177669,yeeE,inner membrane protein YeeE,Function unknown,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11895
b2750,0.2043664663021522,cysC,adenylyl-sulfate kinase,Nucleotide transport and metabolism,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10185
b2762,0.2009965150600682,cysH,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,"RpoD,HypT,CysB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10189
b1729,0.1889381264011998,tcyP,cystine/sulfocysteine:cation symporter,"Intracellular trafficking, secretion, and vesicular transport",CysB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6934
b2012,0.172625340915913,yeeD,putative sulfurtransferase YeeD,"Post-translational modification, protein turnover,and chaperones",,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11894
b1287,0.1503974283774548,yciW,putative oxidoreductase,Function unknown,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6640
b2414,0.1307952001866629,cysK,O-acetylserine sulfhydrylase A,Amino acid transport and metabolism,"RpoD,ppGpp,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10192
b4721,0.1226542587815742,ytiD,protein YtiD,No COG annotation,"RpoD,ppGpp,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16687
b3917,0.1098931262834202,sbp,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,Inorganic ion transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10929
b2421,0.1042038643516784,cysM,cysteine synthase B,Amino acid transport and metabolism,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10193
b1987,0.1015881445966866,cbl,DNA-binding transcriptional activator Cbl,Transcription,"RpoD,YdcR,NtrC,CysB,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b2749,0.1012129611125806,ygbE,conserved inner membrane protein YgbE,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12707
b1920,0.0863384954728178,tcyJ,cystine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,"RpoD,omrA,omrB,H-NS,CysB,FliA,IHF,NsrR,EcpR,SutR,CsgD,FlhDC,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7039
b4720,0.0845624725822744,ytiC,protein YtiC,No COG annotation,"RpoD,ppGpp,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16686
b0828,0.0800950743815403,iaaA,isoaspartyl dipeptidase proenzyme,Amino acid transport and metabolism,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12407
b0829,0.0754473911207483,gsiA,glutathione ABC transporter ATP binding subunit GsiA,Inorganic ion transport and metabolism,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6429
b3661,0.0592686452819471,nlpA,lipoprotein-28,Cell wall/membrane/envelope biogenesis,"ppGpp,CsgD,GlaR,gcvB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10657
b0830,0.0558402028276738,gsiB,glutathione ABC transporter periplasmic binding protein,Amino acid transport and metabolism,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6430
b1919,0.0517691161552774,dcyD,D-cysteine desulfhydrase,Amino acid transport and metabolism,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7038
b4326,0.0517634332273406,iraD,anti-adaptor protein IraD%2C inhibitor of sigma(S) proteolysis,Function unknown,"RpoD,RpoS,Fnr,CsrA,Lrp,ppGpp,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7923
b1917,0.0488296630295589,tcyN,cystine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12347
b1918,0.048524437401699,tcyL,cystine ABC transporter membrane subunit,Inorganic ion transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7037
b4002,0.0414839337940613,zraP,zinc responsive%2C periplasmic protein with chaperone activity,Cell motility,"RpoN,ZraR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11918
b2157,-0.0453238120457133,yeiE,putative LysR-type transcriptional regulator YeiE,Transcription,"YeiE,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12105
