locus,gene_weight,gene_name,gene_product,cog,regulator,Fnr,FlhDC,ModE,NarL,NarP,link
b2203,0.3150802039209482,napB,periplasmic nitrate reductase cytochrome c550 protein,Energy production and conversion,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12061
b2204,0.2994950179607076,napH,ferredoxin-type protein NapH,Energy production and conversion,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12062
b2205,0.2892233782066569,napG,ferredoxin-type protein NapG,Energy production and conversion,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12064
b2206,0.2476143530396046,napA,periplasmic nitrate reductase subunit NapA,Energy production and conversion,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12067
b2202,0.1734973584748311,napC,periplasmic nitrate reductase cytochrome c protein,Energy production and conversion,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12060
b2207,0.1655274490341807,napD,NapA signal peptide-binding chaperone NapD,Inorganic ion transport and metabolism,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12143
b2208,0.157847874199502,napF,ferredoxin-type protein,Energy production and conversion,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Lrp",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12068
b3367,0.1528853415629183,nirC,nitrite transporter NirC,Inorganic ion transport and metabolism,"RpoD,Crp,Cra,IHF,NarL,NarP,Fis,H-NS,Fnr",True,False,False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10654
b2201,0.1352266358144223,ccmA,heme trafficking system ATP-binding protein,"Post-translational modification, protein turnover,and chaperones","RpoD,FlhDC,ModE,NarP,NarL,Fnr,Nac",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12059
b2197,0.1287459949621793,ccmE,periplasmic heme chaperone,"Post-translational modification, protein turnover,and chaperones","RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12055
b2198,0.1232655783303407,ccmD,heme trafficking system membrane protein CcmD,"Intracellular trafficking, secretion, and vesicular transport","RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12169
b1226,0.1215409601070682,narJ,nitrate reductase 1 molybdenum cofactor assembly chaperone,Energy production and conversion,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10641
b2199,0.1200181753194863,ccmC,heme trafficking system membrane protein CcmC,"Intracellular trafficking, secretion, and vesicular transport","RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12057
b1227,0.1196399467342477,narI,nitrate reductase A subunit gamma,Energy production and conversion,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10640
b3366,0.1186101136058244,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,"RpoD,Crp,Cra,IHF,NarL,NarP,Fis,H-NS,Fnr",True,False,False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b4073,0.1171163802076131,nrfD,putative menaquinol-cytochrome c reductase subunit NrfD,Inorganic ion transport and metabolism,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True,False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11947
b2196,0.1122447879060997,ccmF,holocytochrome c synthetase membrane subunit CcmF,"Post-translational modification, protein turnover,and chaperones","RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12054
b2200,0.111042492496546,ccmB,heme trafficking system membrane protein CcmB,"Post-translational modification, protein turnover,and chaperones","RpoD,FlhDC,ppGpp,ModE,NarP,NarL,Fnr,Nac",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12058
b2195,0.1077117433647179,ccmG,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmG,"Post-translational modification, protein turnover,and chaperones","RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12053
b1225,0.1065910785227216,narH,nitrate reductase A subunit beta,Energy production and conversion,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10639
b2194,0.0957424217263694,ccmH,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmH,Inorganic ion transport and metabolism,"RpoD,FlhDC,ModE,NarP,NarL,Fnr,Nac",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12052
b4071,0.0916554544224837,nrfB,periplasmic nitrite reductase penta-heme c-type cytochrome,Energy production and conversion,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True,False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11945
b4072,0.0889192516690258,nrfC,putative menaquinol-cytochrome c reductase 4Fe-4S subunit,Energy production and conversion,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True,False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11946
b4070,0.0748602142625924,nrfA,cytochrome c552 nitrite reductase,Energy production and conversion,"RpoD,FlhDC,ppGpp,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True,False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11781
