locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ppGpp,link
b2014,0.1169260082,plaP,putrescine:H(+) symporter PlaP,Amino acid transport and metabolism,plaP,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11896
b2533,0.11282736800000001,suhB,inositol-phosphate phosphatase,Carbohydrate transport and metabolism,suhB,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10983
b0835,0.10078520640000001,rimO,ribosomal protein S12 methylthiotransferase RimO,"Translation, ribosomal structure and biogenesis",rimO,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6435
b3260,0.1005436455,dusB,tRNA-dihydrouridine synthase B,"Translation, ribosomal structure and biogenesis",dusB-fis,"RpoD,ppGpp,Crp,IHF,Fis,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11311
b1660,0.0967991858,ydhC,putative transporter YdhC,Amino acid transport and metabolism,ydhC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12141
b1126,0.0943131331,potA,spermidine preferential ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,potABCD,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10749
b3084,0.0937518468,rlmG,23S rRNA m(2)G1835 methyltransferase,"Translation, ribosomal structure and biogenesis",rlmG,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7603
b4557,0.09246327580000001,yidD,membrane protein insertion efficiency factor,Function unknown,yidD,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10470
b0238,0.09058252650000001,gpt,xanthine-guanine phsophoribosyltransferase,Nucleotide transport and metabolism,gpt,"RpoD,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10414
b1269,0.0890682452,rluB,23S rRNA pseudouridine(2605) synthase,"Translation, ribosomal structure and biogenesis",rluB,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12433
b0405,0.08775644240000001,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase,Nucleotide transport and metabolism,queA,"ppGpp,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10812
