locus,gene_weight,gene_name,gene_product,cog,operon,regulator,DhaR,Mlc,link
b1199,0.2360349019,dhaL,dihydroxyacetone kinase subunit L,Function unknown,dhaKLM,"RpoS,DhaR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6626
b1200,0.2354191975,dhaK,dihydroxyacetone kinase subunit K,Carbohydrate transport and metabolism,dhaKLM,"YdcN,YhjB,YgfI,YdhB,YgaV,YeaM,RpoS,DhaR,Lrp,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6627
b1198,0.2187301262,dhaM,dihydroxyacetone kinase subunit M,Carbohydrate transport and metabolism,dhaKLM,"RpoS,DhaR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12399
b3599,0.1582083208,mtlA,mannitol-specific PTS enzyme IICBA component,Carbohydrate transport and metabolism,mtlADR,"RpoD,Fis,Crp,Cra",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10615
b2943,0.1529107418,galP,galactose:H(+) symporter,Amino acid transport and metabolism,galP,"RpoD,Crp,OmpR,NagC,GalR,GalS",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12148
b3600,0.1241242001,mtlD,mannitol-1-phosphate 5-dehydrogenase,Carbohydrate transport and metabolism,mtlADR,"RpoD,YfeC,Fis,Crp,Cra",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10616
b1818,0.11691304520000001,manY,mannose-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,manXYZ,"RpoD,NagC,Mlc,Cra,Crp,sgrS",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10568
b1101,0.1162210562,ptsG,glucose-specific PTS enzyme IIBC component,Carbohydrate transport and metabolism,ptsG,"RpoD,sgrS,Crp,ArcA,Mlc,Fis,SoxS",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10787
b1817,0.11594412720000001,manX,mannose-specific PTS enzyme IIAB component,Carbohydrate transport and metabolism,manXYZ,"RpoD,NagC,Crp,Mlc,Cra,dicF,Hfq,sgrS",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10567
b1819,0.10611020400000001,manZ,mannose-specific PTS enzyme IID component,Carbohydrate transport and metabolism,manXYZ,"RpoD,NagC,Mlc,Cra,Crp,sgrS",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10569
b2416,-0.2997410452,ptsI,PTS enzyme I,Carbohydrate transport and metabolism,ptsHI-crr,"RpoD,RpoH,NagC,Crp,Cra,Mlc",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10789
