locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,FleN,link
PA1081,0.13087636600000002,flgF,,flagellar basal body rod protein FlgF,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1081&e1=1&assembly=complete
PA1099,0.12665695700000001,fleR,,two-component response regulator,Signal transduction mechanisms,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1099&e1=1&assembly=complete
PA1452,0.125032141,flhA,,flagellar biosynthesis protein FlhA,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1452&e1=1&assembly=complete
PA1084,0.12354720500000001,flgI,,flagellar basal body P-ring protein,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1084&e1=1&assembly=complete
PA1101,0.12000859999999999,fliF,,flagellar MS-ring protein,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1101&e1=1&assembly=complete
PA1079,0.117344733,flgD,,flagellar basal body rod modification protein,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1079&e1=1&assembly=complete
PA1082,0.112499266,flgG,,flagellar basal body rod protein FlgG,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1082&e1=1&assembly=complete
PA1098,0.11225236200000001,fleS,,two-component sensor,Signal transduction mechanisms,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1098&e1=1&assembly=complete
PA1078,0.111176704,flgC,,flagellar basal body rod protein FlgC,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1078&e1=1&assembly=complete
PA1085,0.11017762900000001,flgJ,,peptidoglycan hydrolase FlgJ,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1085&e1=1&assembly=complete
