locus,gene_weight,gene_name,gene_product,cog,regulator,link
PA0426,0.2910437719,mexB,multidrug resistance protein MexB,Defense mechanisms,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0426&e1=1&assembly=complete
PA2494,0.1497921703,mexF,resistance-nodulation-cell division (RND) multidrug efflux transporter MexF,"Intracellular trafficking, secretion, and vesicular transport","MexS,MexT",https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2494&e1=1&assembly=complete
PA4598,0.1431158845,mexD,resistance-nodulation-cell division (RND) multidrug efflux transporter MexD,"Intracellular trafficking, secretion, and vesicular transport","EsrC,NfxB",https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4598&e1=1&assembly=complete
PA3114,0.127665557,truA,tRNA pseudouridine synthase A,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3114&e1=1&assembly=complete
PA2018,0.11267481600000001,PA2018,multidrug efflux protein,"Intracellular trafficking, secretion, and vesicular transport",MexZ,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2018&e1=1&assembly=complete
PA2478,0.0738779249,PA2478,thiol:disulfide interchange protein DsbD,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2478&e1=1&assembly=complete
PA2506,0.0648148718,PA2506,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2506&e1=1&assembly=complete
PA0427,0.06001418100000001,oprM,outer membrane protein OprM,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0427&e1=1&assembly=complete
PA2477,0.0521196243,PA2477,thiol:disulfide interchange protein,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2477&e1=1&assembly=complete
PA2495,0.0497963689,oprN,multidrug efflux outer membrane protein OprN,Cell wall/membrane/envelope biogenesis,"MexS,MexT",https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2495&e1=1&assembly=complete
PA2476,0.049620101900000005,dsbG,thiol:disulfide interchange protein DsbG,"Post-translational modification, protein turnover,and chaperones",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2476&e1=1&assembly=complete
