locus,gene_weight,gene_name,gene_product,cog,regulator,Crp,LsrR,link
b1516,0.393479886593632,lsrB,Autoinducer-2 ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,"RpoS,Crp,LsrR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6803
b1511,0.3492496357228319,lsrK,autoinducer-2 kinase,Carbohydrate transport and metabolism,"RpoD,Crp,LsrR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6798
b1513,0.324870979765937,lsrA,Autoinducer-2 ABC transporter ATP binding subunit,Carbohydrate transport and metabolism,"RpoS,Crp,LsrR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6800
b1515,0.3030086087981241,lsrD,Autoinducer-2 ABC transporter membrane subunit LsrD,"Intracellular trafficking, secretion, and vesicular transport","YcjW,RpoS,Crp,LsrR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6802
b1514,0.300833934596199,lsrC,Autoinducer-2 ABC transporter membrane subunit LsrC,"Intracellular trafficking, secretion, and vesicular transport","RpoS,Crp,LsrR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6801
b1518,0.2366567706197065,lsrG,(4S)-4-hydroxy-5-phosphonooxypentane-2%2C3-dione isomerase,Function unknown,"RpoS,Crp,LsrR,GlaR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6805
b1517,0.2354479527384148,lsrF,3-hydroxy-2%2C4-pentadione 5-phosphate thiolase,Coenzyme transport and metabolism,"RpoS,Crp,LsrR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6804
b3998,0.0798189534046418,nfi,endonuclease V,"Replication, recombination and repair",,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11915
b1519,0.0762233626788252,tam,trans-aconitate 2-methyltransferase,"Translation, ribosomal structure and biogenesis","RpoS,Crp,ppGpp,LsrR,GlaR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6806
b1512,-0.2297191880731856,lsrR,DNA-binding transcriptional repressor LsrR,Transcription,"RpoD,Crp,LsrR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6799
