locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_3929,0.158820796577579,PP_3929,conserved protein of unknown function,No COG annotation,Op2566,CbrB,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3929&e1=1&assembly=complete
PP_3631,0.1360817342185534,htrG,putative signal transduction protein,Signal transduction mechanisms,Op2363,AmrZ,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3631&e1=1&assembly=complete
PP_5038,0.1300987044509191,PP_5038,conserved lipoprotein of unknown function,Cell wall/membrane/envelope biogenesis,Op3281,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5038&e1=1&assembly=complete
PP_0837,0.1251089994583986,ycfJ,putative regulator of flagellation,Cell motility,Op547,AlgR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0837&e1=1&assembly=complete
PP_5702,0.1228712078528282,PP_5702,conserved protein of unknown function,No COG annotation,Op3016,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5702&e1=1&assembly=complete
PP_0216,0.1224296254191682,PP_0216,putative sensory box/GGDEF family protein,Signal transduction mechanisms,Op150,AlgR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0216&e1=1&assembly=complete
PP_2172,0.1154861548805449,PP_2172,conserved exported protein of unknown function,No COG annotation,Op1399,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2172&e1=1&assembly=complete
PP_2544,0.1112716335620004,PP_2544,conserved exported protein of unknown function,No COG annotation,Op1670,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2544&e1=1&assembly=complete
PP_4614,0.1088161640789358,PP_4614,conserved protein of unknown function,Function unknown,Op3002,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4614&e1=1&assembly=complete
PP_1829,0.1081206068145129,PP_1829,Hydrolase%2C alpha/beta fold family,Function unknown,Op1147,AmrZ,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1829&e1=1&assembly=complete
PP_5037,0.1081192281428541,PP_5037,lipocalin family lipoprotein,Cell wall/membrane/envelope biogenesis,Op3281,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5037&e1=1&assembly=complete
PP_4139,0.1077005467437051,PP_4139,conserved protein of unknown function,No COG annotation,Op2692,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4139&e1=1&assembly=complete
PP_3930,0.1063249666726993,PP_3930,conserved exported protein of unknown function,No COG annotation,Op2567,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3930&e1=1&assembly=complete
PP_3743,0.1018067219661469,PP_3743,conserved exported protein of unknown function,Function unknown,Op2452,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3743&e1=1&assembly=complete
PP_3824,0.1012259385860037,PP_3824,conserved exported protein of unknown function,No COG annotation,Op2501,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3824&e1=1&assembly=complete
PP_0092,0.1007189753026287,PP_0092,putative lipoprotein,No COG annotation,Op65,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0092&e1=1&assembly=complete
PP_2581,0.0988423556995703,PP_2581,conserved protein of unknown function,No COG annotation,Op1699,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2581&e1=1&assembly=complete
PP_1473,0.0954953445765727,PP_1473,conserved protein of unknown function,Function unknown,Op931,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1473&e1=1&assembly=complete
PP_1427,0.0941647788845113,rpoE,RNA polymerase sigma E factor,Transcription,Op900,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1427&e1=1&assembly=complete
PP_1839,0.0936612812443968,PP_1839,conserved protein of unknown function,No COG annotation,Op1156,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1839&e1=1&assembly=complete
PP_0330,0.0924458169256347,PP_0330,hypothetical protein,Function unknown,Op228,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0330&e1=1&assembly=complete
PP_3016,0.086411327180376,PP_3016,putative Lipopolysaccharide core biosynthesis protein,Function unknown,Op1960,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3016&e1=1&assembly=complete
PP_5191,0.0830831929102173,PP_5191,conserved exported protein of unknown function,Function unknown,Op3383,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5191&e1=1&assembly=complete
PP_0255,0.0830100132213935,PP_0255,conserved exported protein of unknown function,No COG annotation,Op171,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0255&e1=1&assembly=complete
PP_4096,0.0820064101987008,PP_4096,conserved exported protein of unknown function,"Post-translational modification, protein turnover, and chaperones",Op2665,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4096&e1=1&assembly=complete
PP_1691,0.081564221301568,PP_1691,conserved protein of unknown function,No COG annotation,Op1054,CbrB,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1691&e1=1&assembly=complete
PP_2125,0.0787348219728615,yegS,lipid kinase,Nucleotide transport and metabolism,Op1363,AmrZ,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2125&e1=1&assembly=complete
PP_4738,0.07646299235177,PP_4738,conserved exported protein of unknown function,No COG annotation,Op3092,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4738&e1=1&assembly=complete
PP_3158,0.075708578528416,PP_3158,conserved exported protein of unknown function,No COG annotation,Op2049,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3158&e1=1&assembly=complete
PP_4855,0.0755417827211364,PP_4855,Osmotically-inducible lipoprotein OsmE,"Translation, ribosomal structure and biogenesis",Op3168,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4855&e1=1&assembly=complete
