,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator,operon,length
b0002,thrA,,337,2799,+,fused aspartate kinase/homoserine dehydrogenase 1,Amino acid transport and metabolism,P00561,"RpoD,Ile-tRNA,Thr-tRNA,DksA,Fnr,ArcA,ppGpp",thrLABC,2463.0
b0003,thrB,,2801,3733,+,homoserine kinase,Nucleotide transport and metabolism,P00547,"RpoD,Ile-tRNA,Thr-tRNA,DksA,ppGpp",thrLABC,933.0
b0004,thrC,,3734,5020,+,threonine synthase,Amino acid transport and metabolism,P00934,"RpoD,ppGpp,Ile-tRNA,Thr-tRNA,DksA",thrLABC,1287.0
b0005,yaaX,,5234,5530,+,DUF2502 domain-containing protein YaaX,Function unknown,P75616,Lrp,yaaX,297.0
b0006,yaaA,,5683,6459,-,peroxide stress resistance protein YaaA,Function unknown,P0A8I3,,yaaA,777.0
b0007,yaaJ,,6529,7959,-,putative transporter YaaJ,Amino acid transport and metabolism,P30143,,yaaJ,1431.0
b0008,talB,,8238,9191,+,transaldolase B,Carbohydrate transport and metabolism,P0A870,,talB,954.0
b0009,mog,,9306,9893,+,molybdopterin adenylyltransferase,Nucleotide transport and metabolism,P0AF03,,mog,588.0
b0010,satP,,9928,10494,-,acetate/succinate:H(+) symporter,Function unknown,P0AC98,ppGpp,satP,567.0
b0011,yaaW,,10643,11356,-,putative enzyme-specific chaperone YaaW,Function unknown,P75617,,yaaW,714.0
b0012,mbiA,,10830,11315,+,uncharacterized protein MbiA,No COG annotation,UPI000016F239,RpoH,,
b0013,yaaI,,11382,11786,-,DUF2541 domain-containing protein YaaI,Function unknown,P28696,,,
b0014,dnaK,,12163,14079,+,chaperone protein DnaK,"Post-translational modification, protein turnover,and chaperones",P0A6Y8,"YbiH,RpoH,gcvB",dnaK-tpke11-dnaJ,1917.0
b0015,dnaJ,,14168,15298,+,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",P08622,"RpoH,ppGpp",dnaK-tpke11-dnaJ,1131.0
b0016,insL-1,,15445,16557,+,IS186/IS421 transposase,"Replication, recombination and repair",P0CF91,ppGpp,insL-1,1113.0
b0018,mokC,,16751,16960,-,regulatory protein MokC,Function unknown,P33236,sokC,mokC-hokC,210.0
b0019,nhaA,,17489,18655,+,Na(+):H(+) antiporter NhaA,Inorganic ion transport and metabolism,P13738,"RpoD,YdcI,RpoS,H-NS,ppGpp,NhaR",nhaAR,1167.0
