locus,gene_weight,gene_name,gene_product,COG,operon,regulator,GntR,TyrR,link
b4267,0.3490281779,idnD,L-idonate 5-dehydrogenase,Amino acid transport and metabolism,idnDOTR,"IdnR,Crp,GntR,GlaR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7893
b4266,0.3086976522,idnO,5-keto-D-gluconate 5-reductase,Lipid transport and metabolism,idnDOTR,"IdnR,Crp,GntR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7892
b4268,0.2584207236,idnK,D-gluconate kinase%2C thermosensitive,Nucleotide transport and metabolism,idnK,"RpoD,IdnR,Crp,GntR,GlaR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12152
b4265,0.23326699650000002,idnT,L-idonate/5-ketogluconate/gluconate transporter,Inorganic ion transport and metabolism,idnDOTR,"IdnR,Crp,GntR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12539
b3437,0.2315934935,gntK,D-gluconate kinase%2C thermostable,Nucleotide transport and metabolism,gntRKU,"RpoD,Crp,IdnR,GntR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12629
b4476,0.21250168960000002,gntU,low-affinity gluconate transporter,Inorganic ion transport and metabolism,gntRKU,"RpoD,Crp,IdnR,ppGpp,GntR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12631
b3415,0.17559294050000002,gntT,high-affinity gluconate transporter,Inorganic ion transport and metabolism,gntT,"RpoD,Crp,GntR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12380
b1851,0.1713970267,edd,phosphogluconate dehydratase,Amino acid transport and metabolism,edd-eda,"RpoD,KdgR,Cra,GntR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10257
b3893,0.1294628348,fdoH,formate dehydrogenase O subunit beta,Energy production and conversion,fdoGHI-fdhE,SdhX,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11857
b3892,0.11114632290000001,fdoI,formate dehydrogenase O subunit gamma,Energy production and conversion,fdoGHI-fdhE,SdhX,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11856
b3161,0.0960412432,mtr,tryptophan:H(+) symporter Mtr,Amino acid transport and metabolism,mtr,"RpoD,IHF,HU,TyrR,TrpR,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10617
b4264,0.0922001578,idnR,DNA-binding transcriptional dual regulator IdnR,Transcription,idnDOTR,"RpoD,IdnR,Crp,GntR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7891
b1850,0.08133601010000001,eda,KHG/KDPG aldolase,Carbohydrate transport and metabolism,edd-eda,"RpoD,Cra,KdgR,PhoB,GntR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10256
b1907,-0.1022087228,tyrP,tyrosine:H(+) symporter,Amino acid transport and metabolism,tyrP,"RpoD,IHF,HU,TyrR,ppGpp,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11041
b0112,-0.1081632269,aroP,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport",aroP,"RpoD,Cra,TyrR,ArgR,Fnr,GlaR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10084
