locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Lrp,ppGpp,link
b0889,0.4959902299,lrp,DNA-binding transcriptional dual regulator Lrp,Transcription,lrp,"RpoD,YidZ,GadE,NsrR,Lrp,H-NS,ArgR,Nac,ppGpp,dsrA,gcvB,micF",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10547
b3212,0.1883444347,gltB,glutamate synthase subunit GltB,Amino acid transport and metabolism,gltBDF,"RpoD,YebK,YiaU,RpoS,Nac,Fur,Fnr,Crp,AdiY,ArgR,ppGpp,Lrp,IHF,HdfR,GadE",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10403
b3213,0.180426982,gltD,glutamate synthase subunit GltD,Energy production and conversion,gltBDF,"RpoD,RpoS,Nac,Fur,Fnr,Crp,AdiY,ArgR,ppGpp,Lrp,IHF,HdfR,GadE",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10404
b3073,0.1468176129,patA,putrescine aminotransferase,Coenzyme transport and metabolism,patA,"YfeD,RpoN,RpoS,IHF,Fis,NtrC,Lrp,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7596
b0565,0.1385346717,ompT,outer membrane protease VII (outer membrane protein 3b),Cell wall/membrane/envelope biogenesis,envY-ompT,"PhoP,omrA,omrB,Lrp,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10673
b0077,0.10719216520000001,ilvI,acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit,Coenzyme transport and metabolism,ilvIH,"RpoD,YeiE,dsrA,H-NS,ppGpp,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10500
b0078,0.099526983,ilvH,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,Amino acid transport and metabolism,ilvIH,"RpoD,H-NS,ppGpp,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10499
b2913,0.09511148650000001,serA,phosphoglycerate dehydrogenase,Amino acid transport and metabolism,serA,"RpoD,gcvB,Crp,Nac,ppGpp,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10944
b2669,0.0788764941,stpA,DNA-binding transcriptional repressor StpA with RNA chaperone activity,Transcription,stpA,"RpoD,StpA,Lrp,H-NS,ArgR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11554
b0854,0.07638163740000001,potF,putrescine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,potFGHI,"YciT,RpoN,NtrC,ArgR,Lrp,ArcA",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11629
b4045,-0.0743669295,yjbJ,putative stress response protein,Function unknown,yjbJ,"Lrp,FliZ,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11928
b3673,-0.0819957345,emrD,multidrug efflux pump EmrD,Amino acid transport and metabolism,emrD,"RpoN,ppGpp,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11693
b2535,-0.1091161088,csiE,stationary phase inducible protein CsiE,Transcription,csiE,"RpoD,RpoS,Crp,H-NS,Lrp,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7329
b3496,-0.1127419518,dtpB,dipeptide/tripeptide:H(+) symporter DtpB,"Intracellular trafficking, secretion, and vesicular transport",dtpB,"YfeC,Lrp,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12232
b4129,-0.1745541569,lysU,lysine--tRNA ligase/Ap4A synthetase/Ap3A synthetase,"Translation, ribosomal structure and biogenesis",lysU,"RpoD,YeiE,Lrp,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10553
b3460,-0.1910541333,livJ,branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,livJ,"RpoD,gcvB,Lrp,DksA,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10539
