locus,gene_weight,gene_name,gene_product,cog,operon,regulator,LiuR,link
PP_5313,0.1070498882023613,hupA,DNA-binding protein HU-alpha,"Replication, recombination and repair",Op3478,"AlgR,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5313&e1=1&assembly=complete
PP_2455,0.1047925604884919,rbsA-I,ribose ABC transporter - ATP-binding subunit,Carbohydrate transport and metabolism,Op1599,"RbsR,AmrZ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2455&e1=1&assembly=complete
PP_4401,0.0958788025156312,bkdAA,branched-chain alpha-keto acid dehydrogenase complex%2C alpha subunit,Energy production and conversion,Op2834,BkdR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4401&e1=1&assembly=complete
PP_3726,0.0950717255078339,PP_3726,Enoyl-CoA hydratase/isomerase family protein,Lipid transport and metabolism,Op2440,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3726&e1=1&assembly=complete
PP_2454,0.0921426906136231,rbsB,ribose ABC transporter%2C periplasmic ribose-binding subunit,Carbohydrate transport and metabolism,Op1599,"RbsR,GacA",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2454&e1=1&assembly=complete
PP_4402,0.091857764203242,bkdAB,branched-chain alpha-keto acid dehydrogenase complex%2C beta subunit,Energy production and conversion,Op2834,BkdR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4402&e1=1&assembly=complete
PP_4063,0.0914220754208799,PP_4063,putative Long-chain-fatty-acid-CoA ligase,Lipid transport and metabolism,Op2651,LiuR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4063&e1=1&assembly=complete
PP_1169,0.089658613980602,dctP,TRAP dicarboxylate transporter%2C DctP subunit,Carbohydrate transport and metabolism,Op739,"PP_3603,PP_4759",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1169&e1=1&assembly=complete
PP_3553,0.0878807202179951,PP_3553,AMP-binding domain protein,Lipid transport and metabolism,Op2305,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3553&e1=1&assembly=complete
PP_4064,0.0869127555411902,ivd,isovaleryl-CoA dehydrogenase,Energy production and conversion,Op2652,LiuR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4064&e1=1&assembly=complete
PP_4065,0.0835682796374696,mccB,methylcrotonyl-CoA carboxylase biotin-containing subunit beta,Lipid transport and metabolism,Op2652,LiuR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4065&e1=1&assembly=complete
PP_4066,0.0801415447500711,liuC,methylglutaconyl-CoA hydratase,Lipid transport and metabolism,Op2652,LiuR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4066&e1=1&assembly=complete
