locus,gene_weight,gene_name,gene_product,cog,regulator,k-opioid,link
PA1216,0.2430455588,PA1216,hypothetical protein,Function unknown,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1216&e1=1&assembly=complete
PA1213,0.2047185548,PA1213,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1213&e1=1&assembly=complete
PA1215,0.2005384774,PA1215,hypothetical protein,Lipid transport and metabolism,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1215&e1=1&assembly=complete
PA1218,0.1929545271,PA1218,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1218&e1=1&assembly=complete
PA1221,0.1867057007,PA1221,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1221&e1=1&assembly=complete
PA1220,0.1779256221,PA1220,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1220&e1=1&assembly=complete
PA1214,0.1740426384,PA1214,hypothetical protein,Amino acid transport and metabolism,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1214&e1=1&assembly=complete
PA1217,0.1735037035,PA1217,2-isopropylmalate synthase,Amino acid transport and metabolism,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1217&e1=1&assembly=complete
PA1212,0.1685376807,PA1212,major facilitator superfamily transporter,Carbohydrate transport and metabolism,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1212&e1=1&assembly=complete
PA1219,0.1649465658,PA1219,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1219&e1=1&assembly=complete
PA1211,0.1395847616,PA1211,hypothetical protein,Function unknown,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1211&e1=1&assembly=complete
