locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,LasR,MvfR,link
PA1431,0.22209667300000002,rsaL,,regulatory protein RsaL,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1431&e1=1&assembly=complete
PA1432,0.18725477100000001,lasI,,acyl-homoserine-lactone synthase,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1432&e1=1&assembly=complete
PA3904,0.16092145700000002,PA3904,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3904&e1=1&assembly=complete
PA2303,0.159902867,ambD,,protein AmbD,"Secondary metabolites biosynthesis, transport, and catabolism",MvfR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2303&e1=1&assembly=complete
PA3905,0.1467316,PA3905,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3905&e1=1&assembly=complete
PA2305,0.12253535100000001,ambB,,protein AmbB,"Secondary metabolites biosynthesis, transport, and catabolism",MvfR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2305&e1=1&assembly=complete
PA3724,0.11923017,lasB,,elastase LasB,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3724&e1=1&assembly=complete
PA3907,0.11745161,PA3907,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3907&e1=1&assembly=complete
PA3906,0.11741509300000001,PA3906,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3906&e1=1&assembly=complete
PA2587,0.116063259,pqsH,,2-heptyl-3-hydroxy-4(1H)-quinolone synthase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2587&e1=1&assembly=complete
PA3908,0.11418697200000001,PA3908,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3908&e1=1&assembly=complete
PA1246,0.11273352,aprD,,alkaline protease secretion ATP-binding protein AprD,Defense mechanisms,LasR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1246&e1=1&assembly=complete
PA1250,0.110109119,aprI,,alkaline proteinase inhibitor AprI,Function unknown,LasR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1250&e1=1&assembly=complete
