locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,FadR,link
SACI_RS05265,0.20602546440281266,aes,Saci_1105,"Esterase, alpha/beta hydrolase",Lipid transport and metabolism,Op597,FadR,True,https://www.uniprot.org/uniprot/A0A0U3H9T8
SACI_RS05280,0.20258690087985198,Saci_1108,Saci_1108,Acyl-CoA dehydrogenase,Lipid transport and metabolism,Op600,FadR,True,https://www.uniprot.org/uniprot/A0A0U3GJX0
SACI_RS05270,0.2003095043384833,Saci_1106,Saci_1106,"Lysophospholipase, alpha/beta hydrolase",Lipid transport and metabolism,Op598,FadR,True,https://www.uniprot.org/uniprot/A0A0U3H1P5
SACI_RS05260,0.18262349459422408,fabG_4,Saci_1104,"3-keto-acyl-ACP reductase, SDR family oxidoreductase",Lipid transport and metabolism,Op596,FadR,True,https://www.uniprot.org/uniprot/A0A0U3HCY6
SACI_RS05285,0.17367972284747918,fadJ_2,Saci_1109,Crotonyl-CoA hydratase/(S)-3-hydroxybutyryl-CoA dehydrogenase (E12),Lipid transport and metabolism,Op601,"FadR,biofilm",True,https://www.uniprot.org/uniprot/A0A0U3FVR3
SACI_RS05305,0.17140645201857346,Saci_1113,Saci_1113,Acyl-CoA dehydrogenase,Lipid transport and metabolism,Op604,FadR,True,https://www.uniprot.org/uniprot/A0A0U2WWK5
SACI_RS05300,0.16880384054635544,nrdB,Saci_1112,"R2-like ligand-binding oxidase, ribonucleotide reductase small subunit",Nucleotide transport and metabolism,Op604,FadR,True,https://www.uniprot.org/uniprot/A0A0U2WZ10
SACI_RS05295,0.152424820588205,Saci_1111,Saci_1111,Acyl-CoA synthetase,Lipid transport and metabolism,Op603,FadR,True,https://www.uniprot.org/uniprot/M1I4H0
SACI_RS05310,0.15187065470861738,fadA,Saci_1114,acetyl-CoA C-acetyltransferase,Lipid transport and metabolism,Op604,FadR,True,https://www.uniprot.org/uniprot/A0A0U3GUI7
SACI_RS05315,0.1386784313377177,adhT_3,Saci_1115,alcohol dehydrogenase,General Function Prediction Only,Op605,"BarR,FadR",True,https://www.uniprot.org/uniprot/A0A0U3H8X4
SACI_RS05290,0.13651118494924686,gloB_1,Saci_1110,MBL fold metallo-hydrolase,General Function Prediction Only,Op602,FadR,True,https://www.uniprot.org/uniprot/A0A0U3FHR8
SACI_RS05320,0.13382804098872247,nlhH,Saci_1116,"Acyl-CoA esterase, alpha/beta hydrolase",Lipid transport and metabolism,Op606,FadR,True,https://www.uniprot.org/uniprot/A0A0U2VTX9
SACI_RS05330,0.13297393262111334,glpA_1,Saci_1118,glycerol-3-phosphate dehydrogenase (FAD),Energy production and conversion,Op608,FadR,True,https://www.uniprot.org/uniprot/A0A0U2NE06
SACI_RS05335,0.13214162251750472,Saci_1119,Saci_1119,carbon monoxide dehydrogenase,Energy production and conversion,Op608,"FadR,aCPSF2-log",True,https://www.uniprot.org/uniprot/A0A0U3HKB7
SACI_RS05255,0.1063716416568451,abfD_1,Saci_1103,"Aromatic ring hydrolase, 4-hydroxybutyryl-CoA dehydratase","Secondary metabolites biosynthesis, transport and catabolism",Op595,FadR,True,https://www.uniprot.org/uniprot/A0A0U2N8T2
SACI_RS05325,0.10586086126938417,glpK1,Saci_1117,glycerol kinase GlpK,Energy production and conversion,Op607,FadR,True,https://www.uniprot.org/uniprot/M1IUQ4
SACI_RS05350,0.10184597602749842,Saci_1122,Saci_1122,Acyl-CoA synthetase,Lipid transport and metabolism,Op609,FadR,True,https://www.uniprot.org/uniprot/A0A0U3FDW5
SACI_RS05345,0.0980540170549076,Saci_1121,Saci_1121,acetyl-CoA acetyltransferase,Lipid transport and metabolism,Op609,FadR,True,https://www.uniprot.org/uniprot/M1I4I2
SACI_RS08040,0.09716342900570753,SACI_RS08040,,hypothetical protein,No arCOG annotation,Op935,,False,https://www.uniprot.org/uniprot/A0A0U3GYK6
SACI_RS05340,0.0932264070246604,Saci_1120,Saci_1120,3-hydroxybutyrl-CoA epimerase,General Function Prediction Only,Op609,FadR,True,https://www.uniprot.org/uniprot/A0A0U3H1A0
SACI_RS05455,-0.08551756055371268,SACI_RS05455,,hypothetical protein,Energy production and conversion,Op627,,False,https://www.uniprot.org/uniprot/A0A0U3H132
SACI_RS11955,-0.08791658941254228,SACI_RS11955,,hypothetical protein,No arCOG annotation,Op1199,,False,https://www.uniprot.org/uniprot/UPI000AA94FC4
SACI_RS09635,-0.09564606989356847,Saci_1992,Saci_1992,"winged helix-turn-helix transcriptional regulator, CRISPR-Cas associated",Transcription,Op1183,,False,https://www.uniprot.org/uniprot/A0A0U3H4P9
SACI_RS11725,-0.10019007886619652,SACI_RS11725,,hypothetical protein,No arCOG annotation,Op1138,,False,https://www.uniprot.org/uniprot/M1J0J7
SACI_RS09625,-0.11132754810250163,Saci_1990,Saci_1990,hypothetical protein,Function Unknown,Op1181,,False,https://www.uniprot.org/uniprot/A0A0U2Y2Y0
