locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CysB,link
b2752,0.2728806104,cysD,sulfate adenylyltransferase subunit 2,Coenzyme transport and metabolism,cysDNC,"RpoD,YcjW,gcvB,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10186
b2425,0.2722429381,cysP,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10195
b2424,0.2715025088,cysU,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10197
b2764,0.2638666952,cysJ,sulfite reductase%2C flavoprotein subunit,Amino acid transport and metabolism,cysJIH,"RpoD,YeiE,YafC,CysB,IHF,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10191
b2423,0.24947695520000002,cysW,sulfate/thiosulfate ABC transporter inner membrane subunit CysW,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10198
b2763,0.24029672230000002,cysI,sulfite reductase%2C hemoprotein subunit,Coenzyme transport and metabolism,cysJIH,"RpoD,CysB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10190
b2751,0.23019236610000002,cysN,sulfate adenylyltransferase subunit 1,Coenzyme transport and metabolism,cysDNC,"RpoD,CysB,ppGpp,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10194
b2422,0.22461585950000001,cysA,sulfate/thiosulfate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10183
b2750,0.2130285842,cysC,adenylyl-sulfate kinase,Nucleotide transport and metabolism,cysDNC,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10185
b2013,0.2063592898,yeeE,inner membrane protein YeeE,Function unknown,yeeED,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11895
b2762,0.2026685325,cysH,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,cysJIH,"RpoD,HypT,CysB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10189
b1729,0.1928097867,tcyP,cystine/sulfocysteine:cation symporter,"Intracellular trafficking, secretion, and vesicular transport",tcyP,CysB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6934
b2012,0.1701304434,yeeD,putative sulfurtransferase YeeD,"Post-translational modification, protein turnover,and chaperones",yeeED,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11894
