locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ArgP,link
b4024,0.2916719131,lysC,aspartate kinase III,Amino acid transport and metabolism,lysC,"RpoD,YneJ,ArgP",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10550
b0031,0.24834367040000002,dapB,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,dapB,"RpoD,ArgP,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10206
b3324,0.24124397300000003,gspC,Type II secretion system protein GspC,"Intracellular trafficking, secretion, and vesicular transport",gspCDEFGHIJKLMO,"RpoD,ppGpp,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7702
b1761,0.1746700062,gdhA,glutamate dehydrogenase,Amino acid transport and metabolism,gdhA,"RpoD,YeiE,gcvB,Crp,Nac,Fur,Fnr,ArgP,ppGpp,Lrp,GlaR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10372
b4023,0.1691109714,yjbD,conserved protein YjbD,Function unknown,yjbD,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11922
b3325,0.1678623697,gspD,Type II secretion system protein GspD,Cell motility,gspCDEFGHIJKLMO,"RpoD,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7703
b3326,0.1384870853,gspE,Type II secretion system protein GspE,Cell motility,gspCDEFGHIJKLMO,"RpoD,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7704
b3433,0.1354346732,asd,aspartate-semialdehyde dehydrogenase,Amino acid transport and metabolism,asd,"ppGpp,ArgP,sgrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10088
b2156,0.1256817411,lysP,lysine:H(+) symporter,Amino acid transport and metabolism,lysP,"RpoD,ppGpp,ArgP,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11337
b3432,0.1124930746,glgB,1%2C4-alpha-glucan branching enzyme,Carbohydrate transport and metabolism,glgBXCAP,"PhoP,RpoD,YfeD,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10378
b3328,0.1045679099,gspG,Type II secretion system protein GspG,"Intracellular trafficking, secretion, and vesicular transport",gspCDEFGHIJKLMO,"RpoD,SlyA,H-NS,Fur,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7706
b3431,0.0982591401,glgX,limit dextrin alpha-1%2C6-glucohydrolase,Carbohydrate transport and metabolism,glgBXCAP,"PhoP,RpoD,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10381
b3744,0.0960148774,asnA,asparagine synthetase A,Nucleotide transport and metabolism,asnA,"RpoD,AsnC,Lrp,Nac,gcvB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10091
b0166,0.0937869026,dapD,tetrahydrodipicolinate succinylase,Amino acid transport and metabolism,map-glnD-dapD,"RpoD,ArgP,MarA,Rob,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10207
b0164,0.0911374597,yaeI,phosphodiesterase YaeI,Function unknown,yaeI,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12337
b2838,0.0880909247,lysA,diaminopimelate decarboxylase,Amino acid transport and metabolism,lysA,"RpoD,LysR,ArgP,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10549
b3430,0.0874042804,glgC,glucose-1-phosphate adenylyltransferase,Nucleotide transport and metabolism,glgBXCAP,"PhoP,RpoD,RpoS,Crp,ppGpp,CsrA,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10379
b0460,0.0855281165,hha,hemolysin expression modulating protein,Transcription,tomB-hha,"PdhR,RpoD,CpxR,BasR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10439
b3327,0.0851153571,gspF,Type II secretion system protein GspF,"Intracellular trafficking, secretion, and vesicular transport",gspCDEFGHIJKLMO,"RpoD,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7705
b3429,0.0776263464,glgA,glycogen synthase,Nucleotide transport and metabolism,glgBXCAP,"PhoP,RpoD,RpoS,Crp,CsrA,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10377
b0461,0.07656839580000001,tomB,protein that modulates Hha toxicity,"Replication, recombination and repair",tomB-hha,"RpoD,PdhR,YdcI,CpxR,BasR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12429
b2574,0.0756504446,nadB,L-aspartate oxidase,Coenzyme transport and metabolism,nadB,"RpoD,YbaQ,NadR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10631
b4756,0.0732176953,yqiD,protein YqiD,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16750
b4533,0.0724860236,ynfO,Qin prophage%3B protein YnfO,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10452
b1916,-0.07580143140000001,sdiA,DNA-binding transcriptional dual regulator SdiA,Transcription,sdiA,"RpoD,DeaD,CsrA,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10935
