locus,gene_weight,gene_name,gene_product,cog,regulator,GadW,GadX,link
b3509,0.3562031598807351,hdeB,periplasmic acid stress chaperone,Cell wall/membrane/envelope biogenesis,"RcsB,RpoD,TorR,gcvB,RpoS,Lrp,MarA,PhoP,GadW,GadX,H-NS,FliZ,GadE,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11399
b3511,0.320780516619006,hdeD,acid-resistance membrane protein,Function unknown,"RcsB,RpoD,RpoS,PhoP,GadX,H-NS,GadE,ppGpp,cyaR,rprA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11495
b3510,0.3202718414536538,hdeA,HdeA monomer%2C chaperone active form,Cell wall/membrane/envelope biogenesis,"RcsB,RpoD,oxyS,TorR,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11398
b3517,0.3099334845626986,gadA,glutamate decarboxylase A,Amino acid transport and metabolism,"RpoD,TorR,RpoS,Fis,Fnr,ArcA,Crp,AdiY,RcsB,H-NS,GadX,GadW,GadE-RcsB,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG50009
b1493,0.3062556640724743,gadB,glutamate decarboxylase B,Amino acid transport and metabolism,"RcsB,RpoD,oxyS,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,Lrp,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11490
b3508,0.2865648122584769,yhiD,inner membrane protein YhiD,Function unknown,"RpoD,RcsB,TorR,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11400
b1492,0.2748753179849607,gadC,L-glutamate:4-aminobutyrate antiporter,Amino acid transport and metabolism,"RcsB,RpoD,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6786
b3512,0.2544549241774609,gadE,DNA-binding transcriptional activator GadE,Transcription,"PhoP,RpoD,RpoS,GadW,YdeO,ArcA,Crp,EvgA,H-NS,GadX,FliZ,GadE,Nac,ppGpp,ArrS",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11544
b3513,0.1325405809198186,mdtE,multidrug efflux pump membrane fusion protein MdtE,Cell wall/membrane/envelope biogenesis,"RpoD,RpoS,GadX,GadW,YdeO,Crp,EvgA,H-NS,FliZ,GadE,Nac,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12240
b3491,0.1284965952228292,yhiM,inner membrane protein with a role in acid resistance,Function unknown,"oxyS,RpoS,GadE,H-NS,GadE-RcsB,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12228
b3506,0.1259044696737169,slp,starvation lipoprotein,Cell wall/membrane/envelope biogenesis,"RpoD,gcvB,GadW,MarA,YdeO,ppGpp,GadX,H-NS,GadE-RcsB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11890
b2217,0.106249729568306,rcsB,DNA-binding transcriptional activator RcsB,Transcription,"RpoD,H-NS",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10821
b3514,0.1037877717567438,mdtF,multidrug efflux pump RND permease MdtF,Defense mechanisms,"RpoD,YidZ,YeiE,RpoS,GadX,GadW,YdeO,Crp,EvgA,H-NS,FliZ,GadE,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12241
b3507,0.0950589495142423,dctR,putative DNA-binding transcriptional regulator DctR,Transcription,"RpoD,GadW,MarA,YdeO,H-NS,GadX,GadE-RcsB,GlaR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11889
b0485,0.0908082794877273,glsA,glutaminase 1,Amino acid transport and metabolism,"RpoS,GadX,ppGpp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6261
b0486,0.0734280260291471,ybaT,putative transporter YbaT,Amino acid transport and metabolism,"RpoS,GadX,ppGpp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6262
b4187,0.056909227119939,aidB,putative acyl-CoA dehydrogenase AidB,Lipid transport and metabolism,"RpoD,YidZ,RpoS,AidB,Ada,ppGpp,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11811
b4377,0.0464333716688825,yjjU,putative patatin-like phospholipase YjjU,Function unknown,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7951
b4378,0.040959067493436,yjjV,putative DNase YjjV,"Replication, recombination and repair",,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7952
