locus,gene_weight,gene_name,gene_product,cog,regulator,AlgU,link
PSPTO_1417,0.11352692800000001,PSPTO_1417,glycine zipper 2TM domain-containing protein,Function unknown,AlgU,True,
PSPTO_4224,0.1042412555,algU,RNA polymerase sigma factor AlgU (RpoE),Transcription,,False,
PSPTO_2207,0.09966893460000001,PSPTO_2207,lipoprotein,No COG annotation,AlgU,True,
PSPTO_1243,0.09964468530000001,algD,nucleotide sugar dehydrogenase,Coenzyme transport and metabolism,,False,
PSPTO_1485,0.0969939653,PSPTO_1485,DUF3509 domain-containing protein,Function unknown,AlgU,True,
PSPTO_0156,0.09157254940000001,PSPTO_0156,DUF883 domain-containing protein,Function unknown,AlgU,True,
PSPTO_5169,0.08494324660000001,PSPTO_5169,outer membrane protein assembly factor BamE,Function unknown,AlgU,True,
PSPTO_2377,0.08278175580000001,PSPTO_2377,hypothetical protein,No COG annotation,,False,
PSPTO_1910,0.0823409174,PSPTO_1910,SH3 domain-containing protein,Signal transduction mechanisms,AlgU,True,
PSPTO_1596,0.0810531033,PSPTO_1596,CsbD family protein,No COG annotation,,False,
PSPTO_RS18015,0.08063133880000001,PSPTO_RS18015,type VI secretion system tip protein VgrG,No COG annotation,AlgU,True,
PSPTO_5170,0.0802828639,blc,lipocalin family protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_5351,0.07855732480000001,PSPTO_5351,lipoprotein,No COG annotation,,False,
PSPTO_1242,0.0785088224,PSPTO_1242,glycosyltransferase family 2 protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_4237,0.0781939995,PSPTO_4237,lipoprotein,No COG annotation,AlgU,True,
PSPTO_1633,0.0741434847,asnB,N-acetylglutaminylglutamine amidotransferase,Amino acid transport and metabolism,,False,
PSPTO_0507,0.0738635135,PSPTO_0507,YqaE/Pmp3 family membrane protein,Function unknown,,False,
PSPTO_4903,0.0735823037,osmE,osmotically-inducible lipoprotein OsmE,"Translation, ribosomal structure and biogenesis",,False,
PSPTO_0453,0.07319165550000001,PSPTO_0453,DUF2780 domain-containing protein,Function unknown,,False,
PSPTO_0374,0.0731551103,PSPTO_0374,hypothetical protein,No COG annotation,AlgU,True,
PSPTO_2769,0.0708125519,PSPTO_2769,DUF3053 domain-containing protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_0993,0.0700580632,PSPTO_0993,hypothetical protein,No COG annotation,,False,
PSPTO_4586,0.0699029784,PSPTO_4586,DUF3015 domain-containing protein,Function unknown,AlgU,True,
PSPTO_1241,0.06951145780000001,PSPTO_1241,PilZ domain-containing protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_2748,0.0684854163,PSPTO_2748,GNAT family N-acetyltransferase,Transcription,,False,
PSPTO_1240,0.0684455774,algK,sel1 repeat family protein,Function unknown,,False,
PSPTO_0451,0.06746502010000001,PSPTO_0451,ATP-dependent zinc protease,"Post-translational modification, protein turnover,and chaperones",AlgU,True,
PSPTO_2048,0.0673278274,PSPTO_2048,LuxR family transcriptional regulator,Transcription,,False,
PSPTO_4906,0.0672915901,PSPTO_4906,bacterioferritin,Inorganic ion transport and metabolism,,False,
PSPTO_1239,0.0671796181,algE,alginate export family protein,Function unknown,,False,
PSPTO_2051,0.0667599016,PSPTO_2051,ankyrin repeat domain-containing protein,Function unknown,,False,
PSPTO_3174,0.06667668040000001,PSPTO_3174,DUF883 family protein,Function unknown,,False,
PSPTO_1238,0.06497035550000001,algG,mannuronan 5-epimerase AlgG,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_0304,0.0639517671,PSPTO_0304,sensor domain-containing diguanylate cyclase,Signal transduction mechanisms,AlgU,True,
PSPTO_3504,0.0638112631,PSPTO_3504,endonuclease/exonuclease/phosphatase family protein,"Replication, recombination and repair",AlgU,True,
PSPTO_1338,0.063592234,sodC,superoxide dismutase family protein,Inorganic ion transport and metabolism,,False,
PSPTO_4143,0.0631497057,PSPTO_4143,hypothetical protein,No COG annotation,AlgU,True,
PSPTO_2506,0.061964187500000004,PSPTO_2506,RcnB family protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_0318,0.0611178998,PSPTO_0318,DUF2388 domain-containing protein,Function unknown,AlgU,True,
PSPTO_4516,0.060698476800000005,PSPTO_4516,hypothetical protein,No COG annotation,,False,
PSPTO_0891,0.0598533007,PSPTO_0891,hypothetical protein,No COG annotation,,False,
PSPTO_2695,0.059782663300000004,PSPTO_2695,SDR family oxidoreductase,Carbohydrate transport and metabolism,,False,
PSPTO_2734,0.0597729632,PSPTO_2734,acyltransferase,Lipid transport and metabolism,,False,
