locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PsrA,link
PP_3755,0.156886137234386,hbd,3-hydroxybutyryl-CoA dehydrogenase,Energy production and conversion,Op2459,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3755&e1=1&assembly=complete
PP_3756,0.1477904244780841,PP_3756,TetR family transcriptional regulator,Transcription,Op2459,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3756&e1=1&assembly=complete
PP_3754,0.1462146892318143,bktB,Beta-ketothiolase BktB,Lipid transport and metabolism,Op2459,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3754&e1=1&assembly=complete
PP_5008,0.1423881712140023,PP_5008,Poly granule-associated protein,Function unknown,Op3266,Crc,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5008&e1=1&assembly=complete
PP_2136,0.1351544393365316,fadB,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,Op1373,PsrA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2136&e1=1&assembly=complete
PP_0370,0.1127147081245258,PP_0370,Acyl-CoA dehydrogenase family protein,Energy production and conversion,Op253,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0370&e1=1&assembly=complete
PP_0368,0.1057344617475,PP_0368,putative Acyl-CoA dehydrogenase,Energy production and conversion,Op252,PsrA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0368&e1=1&assembly=complete
PP_1076,0.1041380597586634,glpF,aquaglyceroporin,Carbohydrate transport and metabolism,Op671,"GlpR,GlnG,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1076&e1=1&assembly=complete
PP_2137,0.0985568103410842,pcaF-II,beta-ketoadipyl CoA thiolase%2C beta component,Lipid transport and metabolism,Op1373,PsrA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2137&e1=1&assembly=complete
PP_3923,0.0960926072155133,PP_3923,Phosphoglycerate mutase,Carbohydrate transport and metabolism,Op2560,PsrA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3923&e1=1&assembly=complete
PP_5007,0.0955124323625559,PP_5007,Polyhydroxyalkanoate granule-associated protein GA2,Function unknown,Op3266,Crc,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5007&e1=1&assembly=complete
PP_1689,0.0919108341670584,PP_1689,putative Long-chain fatty acid transporter,Lipid transport and metabolism,Op1052,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1689&e1=1&assembly=complete
PP_4817,0.0900876877110334,PP_4817,MaoC domain protein,Lipid transport and metabolism,Op3144,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4817&e1=1&assembly=complete
