locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,MvaT,LaoR,link
PA4590,0.193856671,pra,,protein activator,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4590&e1=1&assembly=complete
PA4589,0.137128618,PA4589,,hypothetical protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4589&e1=1&assembly=complete
PA4813,0.126655297,lipC,,lipase LipC,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4813&e1=1&assembly=complete
PA0829,0.111401362,PA0829,,hydrolase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0829&e1=1&assembly=complete
PA1525,0.10330560300000001,alkB2,,alkane-1 monooxygenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1525&e1=1&assembly=complete
PA2862,0.102712363,lipA,,lactonizing lipase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2862&e1=1&assembly=complete
PA0830,0.097891249,PA0830,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0830&e1=1&assembly=complete
PA1761,0.092225637,PA1761,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1761&e1=1&assembly=complete
PA0365,0.09087925300000001,PA0365,,hypothetical protein,Function unknown,LaoR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0365&e1=1&assembly=complete
PA2574,0.09036827500000001,alkB1,,alkane-1 monooxygenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2574&e1=1&assembly=complete
PA2128,0.08876336500000001,cupA1,,fimbrial subunit CupA1,Cell motility,MvaT,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2128&e1=1&assembly=complete
PA4680,0.08668784700000001,PA4680,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4680&e1=1&assembly=complete
PA4682,0.07964693,PA4682,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4682&e1=1&assembly=complete
PA0364,0.07946486,PA0364,,oxidoreductase,Amino acid transport and metabolism,LaoR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0364&e1=1&assembly=complete
PA4437,0.0774359,PA4437,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4437&e1=1&assembly=complete
PA0738,0.07701996700000001,PA0738,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0738&e1=1&assembly=complete
PA4681,0.07687764600000001,PA4681,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4681&e1=1&assembly=complete
PA0366,0.07341660600000001,PA0366,,coniferyl aldehyde dehydrogenase,Energy production and conversion,LaoR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0366&e1=1&assembly=complete
PA0349,0.070432019,PA0349,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0349&e1=1&assembly=complete
PA3323,0.067009578,PA3323,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3323&e1=1&assembly=complete
PA0311,0.066547706,PA0311,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0311&e1=1&assembly=complete
PA2863,0.06505469300000001,lipH,,lipase chaperone,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2863&e1=1&assembly=complete
PA3324,0.06477263700000001,PA3324,,short-chain dehydrogenase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3324&e1=1&assembly=complete
PA2132,0.064651532,cupA5,,chaperone CupA5,Cell motility,MvaT,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2132&e1=1&assembly=complete
