locus,gene_weight,gene_name,gene_product,cog,regulator,link
b0759,0.1167214748524444,galE,UDP-glucose 4-epimerase,Cell wall/membrane/envelope biogenesis,"RpoD,YidZ,RpoS,Crp,H-NS,GalS,GalR,HU",https://ecocyc.org/gene?orgid=ECOLI&id=EG10362
b0758,0.1121092888646164,galT,galactose-1-phosphate uridylyltransferase,Energy production and conversion,"RpoD,RpoS,Crp,GalR,H-NS,GalS,HU",https://ecocyc.org/gene?orgid=ECOLI&id=EG10366
b3587,0.097666894140105,yiaW,DUF3302 domain-containing protein YiaW,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12291
b0757,0.0964597036166242,galK,galactokinase,Nucleotide transport and metabolism,"RpoD,spf,RpoS,Crp,H-NS,GalS,GalR,HU",https://ecocyc.org/gene?orgid=ECOLI&id=EG10363
b3638,0.0950057005106527,yicR,RadC-like JAB domain-containing protein YicR,Amino acid transport and metabolism,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11312
b3643,0.0909863673956801,rph,truncated RNase PH,"Translation, ribosomal structure and biogenesis",,https://ecocyc.org/gene?orgid=ECOLI&id=EG10863
b4555,0.0900039142210741,yicS,uncharacterized protein YicS,No COG annotation,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10469
b3645,0.0881505455762821,dinD,DNA damage-inducible protein D,Function unknown,"YdcR,LexA",https://ecocyc.org/gene?orgid=ECOLI&id=EG11193
b3612,0.0880237939092126,gpmM,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,Nucleotide transport and metabolism,"RpoS,Cra",https://ecocyc.org/gene?orgid=ECOLI&id=EG12296
b4615,0.0868935780729851,yibV,PF15596 family protein YibV,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10605
b2943,0.0865090934583875,galP,galactose:H(+) symporter,Amino acid transport and metabolism,"RpoD,Crp,OmpR,NagC,GalR,GalS",https://ecocyc.org/gene?orgid=ECOLI&id=EG12148
b3661,0.084741257262675,nlpA,lipoprotein-28,Cell wall/membrane/envelope biogenesis,"ppGpp,CsgD,GlaR,gcvB",https://ecocyc.org/gene?orgid=ECOLI&id=EG10657
b3650,0.0832605589135276,spoT,bifunctional (p)ppGpp synthase/hydrolase SpoT,Nucleotide transport and metabolism,"RpoD,DksA",https://ecocyc.org/gene?orgid=ECOLI&id=EG10966
b3651,0.0832371118857252,trmH,tRNA (Gm18) 2'-O-methyltransferase,"Translation, ribosomal structure and biogenesis","RpoD,DksA",https://ecocyc.org/gene?orgid=ECOLI&id=EG10967
b4554,0.082307504306359,yibT,protein YibT,Function unknown,"ppGpp,Lrp",https://ecocyc.org/gene?orgid=ECOLI&id=G0-10468
b3649,0.0811461745941451,rpoZ,RNA polymerase subunit omega,Transcription,"RpoD,DksA,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG10899
b3641,0.0803238512078065,slmA,nucleoid occlusion factor SlmA,Transcription,RpoD,https://ecocyc.org/gene?orgid=ECOLI&id=EG11191
b3609,0.080030336311922,secB,SecB chaperone,"Intracellular trafficking, secretion, and vesicular transport","RpoD,YfeC,Crp",https://ecocyc.org/gene?orgid=ECOLI&id=EG10937
b3555,0.0798453899622734,yiaG,putative DNA-binding transcriptional regulator YiaG,Transcription,"YehT,YidL,YhjC,RpoS,Lrp,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG12624
b3574,0.0797244008123027,plaR,DNA-binding transcriptional repressor YiaJ,Transcription,"RpoD,PlaR,YiaJ,IHF,Crp,Crp,IHF,PlaR,RpoD",https://ecocyc.org/gene?orgid=ECOLI&id=EG12278
b3595,0.0796154437004525,yibJ,putative RHS domain-containing protein YibJ,Cell wall/membrane/envelope biogenesis,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11766
