locus,gene_weight,gene_name,gene_product,COG,operon,regulator,YieP,link
b3755,0.41639934630000003,yieP,putative transcriptional regulator YieP,Transcription,yieP-hsrA,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11733
b1206,-0.0974183096,dauA,aerobic C4-dicarboxylate transporter DauA,Inorganic ion transport and metabolism,dauA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12392
b1661,-0.11932996300000001,cfa,cyclopropane fatty acyl phospholipid synthase,Cell wall/membrane/envelope biogenesis,cfa,"RpoD,YdcN,RpoS,Nac,ppGpp,ArrS,cpxQ,rydC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11531
b2143,-0.1636322069,cdd,cytidine/deoxycytidine deaminase,Nucleotide transport and metabolism,cdd,"RpoD,NsrR,Crp,CytR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10137
b4116,-0.1833959896,adiY,DNA-binding transcriptional activator AdiY,Transcription,adiY,"YieP,H-NS,sgrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11966
b0308,-0.2270642226,ykgG,DUF162 domain-containing lactate utilization protein YkgG,Function unknown,ykgEFG,YieP,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6178
b0307,-0.2510152726,ykgF,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,Energy production and conversion,ykgEFG,"YieP,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6177
b2142,-0.3250617192,yohK,PF04712 family membrane protein YohK,Cell wall/membrane/envelope biogenesis,yohJK,YieP,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12024
b0306,-0.3469992475,ykgE,putative lactate utilization oxidoreductase YkgE,Energy production and conversion,ykgEFG,"YieP,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6176
b2141,-0.3642649972,yohJ,PF03788 family membrane protein YohJ,Function unknown,yohJK,YieP,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12023
