locus,gene_weight,gene_name,gene_product,cog,regulator,Phage_3,link
SP5448_02215,0.1905212246,SP5448_02215,hypothetical protein,Function unknown,Phage_1,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.402%22)
SP5448_02220,0.1903843415,ps115_1,XRE family transcriptional regulator,Transcription,Phage_1,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.403%22)
SP5448_02210,0.1751950735,SP5448_02210,hypothetical protein,Function unknown,Phage_1,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.401%22)
SP5448_02205,0.1658068821,int3,recombinase,"Replication, recombination and repair","TrxR_M1,Phage_1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.400%22)
SP5448_07280,0.1300508826,SP5448_07280,Cro/Cl family transcriptional regulator,Transcription,Nra_transition_M49,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1404%22)
SP5448_02230,0.1130678361,SP5448_02230,hypothetical protein,Function unknown,Phage_1,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.405%22)
SP5448_00610,0.1016193527,cglB,competence protein CglB,Function unknown,"RivR_M1,FasX_60min_M1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.84%22)
SP5448_02470,0.0900546782,SP5448_02470,streptodornase,Nucleotide transport and metabolism,"CovR,Mga,CovR,Phage_1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.453%22)
SP5448_00635,0.0890390304,SP5448_00635,competence protein ComG,Function unknown,Irr_EE_M6,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.89%22)
SP5448_04445,-0.0864727632,SP5448_04445,hypothetical protein,Function unknown,Mga,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.836%22)
SP5448_03550,-0.08904472320000001,SP5448_03550,hypothetical protein,Function unknown,Phage_2,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.659%22)
SP5448_02320,-0.09458635060000001,rlmL_1,DNA methyltransferase,"Replication, recombination and repair",Phage_1,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.423%22)
SP5448_03525,-0.0946636549,SP5448_03525,DNA-binding protein,Transcription,"Mga,Phage_2",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.654%22)
SP5448_04380,-0.0956105118,SP5448_04380,hypothetical protein,Function unknown,"CovR,Phage_3",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.823%22)
SP5448_04435,-0.0979299059,SP5448_04435,single-stranded DNA-binding protein,Function unknown,Phage_3,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.834%22)
SP5448_04485,-0.1036428603,SP5448_04485,hypothetical protein,Function unknown,"TrxR_M1,Phage_3",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.844%22)
SP5448_03495,-0.1123374748,SP5448_03495,hypothetical protein,Function unknown,Phage_2,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.650%22)
SP5448_04465,-0.11336158680000001,SP5448_04465,hypothetical protein,Function unknown,Phage_3,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.840%22)
SP5448_04430,-0.11488528810000001,SP5448_04430,hypothetical protein,Function unknown,"CovR,Phage_3",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.833%22)
SP5448_04455,-0.1344989386,SP5448_04455,hypothetical protein,Function unknown,Phage_3,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.838%22)
SP5448_04420,-0.1367565905,SP5448_04420,hypothetical protein,Function unknown,"Rgg,Nra_transition_M49,Nra_stationary_M49,Srv_M1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.831%22)
SP5448_04410,-0.1369596363,SP5448_04410,DNA replication protein,Function unknown,Phage_3,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.829%22)
SP5448_04490,-0.1430106018,SP5448_04490,hypothetical protein,Function unknown,Phage_3,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.845%22)
SP5448_04405,-0.1501152777,SP5448_04405,prephenate dehydrogenase,"Replication, recombination and repair","CovR,Phage_3",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.828%22)
SP5448_04460,-0.1577150641,SP5448_04460,hypothetical protein,Function unknown,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.839%22)
SP5448_02325,-0.1593127605,SP5448_02325,hypothetical protein,Function unknown,Phage_1,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.424%22)
SP5448_04390,-0.160169436,SP5448_04390,XRE family transcriptional regulator,Function unknown,"CovR,Phage_3",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.825%22)
