locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,HutC,link
PA5098,0.291069004,hutH,,histidine ammonia-lyase,Amino acid transport and metabolism,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5098&e1=1&assembly=complete
PA5100,0.290956543,hutU,,urocanate hydratase,Amino acid transport and metabolism,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5100&e1=1&assembly=complete
PA5099,0.26451692800000004,PA5099,,transporter,"Intracellular trafficking, secretion, and vesicular transport",HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5099&e1=1&assembly=complete
PA5097,0.25147614500000004,PA5097,,amino acid permease,Amino acid transport and metabolism,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5097&e1=1&assembly=complete
PA5106,0.235583695,PA5106,,N-formimino-L-glutamate deiminase,Nucleotide transport and metabolism,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5106&e1=1&assembly=complete
PA5096,0.207531973,PA5096,,ABC transporter,Amino acid transport and metabolism,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5096&e1=1&assembly=complete
PA5094,0.18838295500000002,PA5094,,ABC transporter ATP-binding protein,Amino acid transport and metabolism,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5094&e1=1&assembly=complete
PA5095,0.183774779,PA5095,,ABC transporter permease,Amino acid transport and metabolism,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5095&e1=1&assembly=complete
PA5093,0.176916289,PA5093,,histidine/phenylalanine ammonia-lyase,Amino acid transport and metabolism,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5093&e1=1&assembly=complete
PA5092,0.163565589,hutI,,imidazolonepropionase,"Secondary metabolites biosynthesis, transport, and catabolism",HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5092&e1=1&assembly=complete
PA5091,0.153241915,hutG,,N-formylglutamate amidohydrolase,Amino acid transport and metabolism,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5091&e1=1&assembly=complete
PA5105,0.13186060800000002,hutC,,histidine utilization repressor HutC,Transcription,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5105&e1=1&assembly=complete
PA5104,0.12723694600000002,PA5104,,hypothetical protein,Function unknown,HutC,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5104&e1=1&assembly=complete
PA5180,0.098593203,PA5180,,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5180&e1=1&assembly=complete
PA5181,0.09785438,PA5181,,oxidoreductase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5181&e1=1&assembly=complete
PA5090,0.07862661700000001,PA5090,,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5090&e1=1&assembly=complete
PA0865,0.07118065600000001,hpd,,4-hydroxyphenylpyruvate dioxygenase,Amino acid transport and metabolism,PhhR,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0865&e1=1&assembly=complete
PA5089,0.06040063700000001,PA5089,,hypothetical protein,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5089&e1=1&assembly=complete
