locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CymR,NsrR,ResD,SigA,link
BSU_08860,0.18784530900000002,ssuD,aliphatic sulfonate monooxygenase,Energy production and conversion,ssuB->ygaN,"SigA,CymR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08860
BSU_08840,0.186565525,ssuA,aliphatic sulfonate ABC transporter (binding lipoprotein),Cell wall/membrane/envelope biogenesis,ssuB->ygaN,"SigA,CymR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08840
BSU_08830,0.185247145,ssuB,aliphatic sulfonate [SW|ABC transporter] (binding protein),Inorganic ion transport and metabolism,ssuB->ygaN,"SigA,CymR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08830
BSU_08850,0.182254306,ssuC,aliphatic sulfonate [SW|ABC transporter] (permease),Inorganic ion transport and metabolism,ssuB->ygaN,"SigA,CymR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08850
BSU_13040,0.160910266,hmp,flavohemoglobin,Energy production and conversion,"hmp, hmp->ykjA","ResD,SigA,NsrR",False,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13040
BSU_29350,0.144294945,tcyM,cystine [SW|ABC transporter] (permease),Intracellular trafficking and secretion,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29350
BSU_29300,0.13949550800000002,ribR,riboflavin kinase with preference for dihydroriboflavin,Coenzyme transport and metabolism,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29300
BSU_29320,0.13929976700000002,cmoI,unknown,"Post-translational modification, protein turnover, and chaperones",snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29320
BSU_29310,0.13898754700000002,cmoJ,alkyl monooxygenase,Energy production and conversion,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29310
BSU_29360,0.13747167100000002,tcyL,cystine [SW|ABC transporter] (permease),Inorganic ion transport and metabolism,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29360
BSU_29370,0.136732804,tcyK,cystine [SW|ABC transporter] (binding protein),Cell wall/membrane/envelope biogenesis,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29370
BSU_29290,0.132765932,sndA,sulphur compound N-deacetylase,Amino acid transport and metabolism,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29290
BSU_29340,0.129718378,tcyN,cystine [SW|ABC transporter ](ATP-binding protein),No COG category,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29340
BSU_29380,0.12942869,tcyJ,cystine [SW|ABC transporter] (binding protein),Amino acid transport and metabolism,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29380
BSU_29330,0.12737778800000002,cmoO,monooxygenase,No COG category,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29330
BSU_29390,0.12373742500000001,snaA,sulphur N-acetylase,Transcription,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29390
BSU_13060,0.115134654,ykjA,unknown,Function unknown,hmp->ykjA,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13060
BSU_29280,0.11459750900000001,ytnM,unknown,Function unknown,snaA->ytnM,"SigA,CymR,AscR",True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29280
BSU_03300,0.103482971,nasD,assimilatory nitrite reductase (subunit),Energy production and conversion,"nasB->nasF, nasD->nasF","ResD,SigA,TnrA,NsrR,Fur",False,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03300
BSU_03280,0.094022188,nasF,uroporphyrinogen methyltransferase,Coenzyme transport and metabolism,"nasB->nasF, nasD->nasF","ResD,SigA,TnrA,NsrR,Fur",False,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03280
