locus,gene_weight,gene_name,gene_product,cog,operon,regulator,AdeR,link
ABUW_2578,0.2078810711,ABUW_2578,type VI secretion system effector%2C Hcp1 family,Function unknown,Op1310,ABUW_1645,False,
ABUW_2579,0.1661492635,ABUW_2579,type VI secretion protein%2C EvpB/family,Function unknown,Op1311,,False,
ABUW_2598,0.1526210329,ABUW_2598,hypothetical protein,No COG annotation,Op1318,,False,
ABUW_2580,0.1522686275,ABUW_2580,type VI secretion protein%2C family,Function unknown,Op1311,,False,
ABUW_2595,0.1436578399,ABUW_2595,hypothetical protein,Function unknown,,,False,
ABUW_2618,0.1429057709,ABUW_2618,putative VGR-related protein,Function unknown,Op1327,,False,
ABUW_2630,0.1428070669,ABUW_2630,lipid A biosynthesis lauroyl acyltransferase,Cell wall/membrane/envelope biogenesis,Op1338,,False,
ABUW_2599,0.1410189332,ABUW_2599,hypothetical protein,No COG annotation,Op1318,,False,
ABUW_2582,0.1357028519,ABUW_2582,hypothetical protein,Function unknown,Op1312,,False,
ABUW_2577,0.1333830086,ABUW_2577,type VI secretion system lysozyme-related protein,Function unknown,Op1309,,False,
ABUW_2617,0.1311980479,ABUW_2617,RHS family protein,Cell wall/membrane/envelope biogenesis,Op1327,,False,
ABUW_2626,0.13038855330000002,ABUW_2626,hypothetical protein,No COG annotation,Op1334,,False,
ABUW_2627,0.1299016208,ABUW_2627,hypothetical protein,Function unknown,Op1335,,False,
ABUW_2581,0.12729839610000002,ABUW_2581,hypothetical protein,No COG annotation,Op1311,,False,
ABUW_2610,0.1216412604,ABUW_2610,hypothetical protein,No COG annotation,Op1324,,False,
ABUW_2601,0.1172794585,ABUW_2601,Sel1 repeat family,No COG annotation,Op1320,,False,
ABUW_2602,0.1161460738,ABUW_2602,voltage-gated chloride channel,Inorganic ion transport and metabolism,Op1321,,False,
ABUW_0829,0.1113634446,qseC,two-component system sensor kinase,Signal transduction mechanisms,Op440,,False,
ABUW_2611,0.10979844350000001,ABUW_2611,hypothetical protein,No COG annotation,Op1325,,False,
ABUW_2612,0.10691414810000001,ABUW_2612,hypothetical protein,No COG annotation,Op1326,,False,
ABUW_2619,0.1022517963,ABUW_2619,putative class A beta-lactamase,Defense mechanisms,Op1328,,False,
ABUW_2623,0.0997749483,ABUW_2623,3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,Op1332,,False,
ABUW_2576,0.0984013188,ABUW_2576,hypothetical protein,Function unknown,Op1309,,False,
ABUW_2028,0.0969900135,ABUW_2028,hypothetical protein,No COG annotation,Op1052,,False,
ABUW_2609,0.0969120502,mumR,transcriptional regulator%2C LysR-type,Transcription,Op1323,,False,
ABUW_2018,0.0962934773,ABUW_2018,hypothetical protein,No COG annotation,Op1048,,False,
ABUW_2622,0.0909568121,ABUW_2622,hypothetical protein,No COG annotation,Op1331,,False,
ABUW_2628,0.09048549160000001,pcaK2,4-hydroxybenzoate transporter,Amino acid transport and metabolism,Op1336,,False,
ABUW_2600,0.08860645,ABUW_2600,hypothetical protein,No COG annotation,Op1319,,False,
ABUW_2613,0.0868446839,ABUW_2613,RHS family protein,Cell wall/membrane/envelope biogenesis,Op1326,,False,
ABUW_2616,0.0838795829,ABUW_2616,hypothetical protein,No COG annotation,Op1327,,False,
ABUW_2621,0.08366180790000001,ABUW_2621,hypothetical protein,No COG annotation,Op1330,ABUW_1645,False,
ABUW_2624,0.0830299102,ABUW_2624,hypothetical protein,No COG annotation,Op1333,,False,
ABUW_2029,0.0807259504,ABUW_2029,hypothetical protein,No COG annotation,Op1052,,False,
ABUW_2583,0.0793438097,ABUW_2583,binding-protein-dependent transport systems inner membrane component,Inorganic ion transport and metabolism,Op1313,,False,
ABUW_2007,0.0747341243,ABUW_2007,hypothetical protein,No COG annotation,Op1044,,False,
ABUW_2589,0.0700373042,ABUW_2589,transcriptional regulator%2C DUF24 family,Transcription,Op1315,,False,
ABUW_2590,0.0688730889,ABUW_2590,NADPH oxidoreductase,Function unknown,,,False,
ABUW_2017,0.0646426284,ABUW_2017,hypothetical protein,No COG annotation,Op1048,,False,
ABUW_2632,0.0645483968,ABUW_2632,inner membrane transport protein YbiF,Function unknown,Op1339,,False,
ABUW_2006,0.0633366603,ABUW_2006,hypothetical protein,No COG annotation,Op1044,,False,
ABUW_2591,0.0630193496,uca,urea amidolyase,Amino acid transport and metabolism,Op1316,,False,
ABUW_2585,0.0608903551,ABUW_2585,ABC transport system substrate-binding protein,Inorganic ion transport and metabolism,Op1314,,False,
ABUW_2593,0.0595573113,ABUW_2593,urea carboxylase-associated protein 2,Function unknown,Op1316,,False,
ABUW_2603,0.0589851016,bccA,carbamoyl-phosphate synthase,Lipid transport and metabolism,Op1322,mumR,False,
ABUW_2620,0.0583967034,ABUW_2620,GCN5-related N-acetyltransferase,Transcription,Op1329,,False,
ABUW_1352,-0.0756539856,ABUW_1352,hypothetical protein,Function unknown,Op710,,False,
ABUW_1977,-0.0840219918,ABUW_1977,alpha/beta fold family hydrolase,Function unknown,Op1028,,False,
ABUW_1975,-0.09506252750000001,adeB,multidrug efflux protein AdeB,Defense mechanisms,Op1027,"AdeR,BaeS-BaeR",True,
ABUW_1974,-0.104250493,adeA,multidrug efflux protein AdeA,Cell wall/membrane/envelope biogenesis,Op1027,"AdeR,BaeS-BaeR",True,
ABUW_0259,-0.1069873036,ABUW_0259,sulfate transporter,Inorganic ion transport and metabolism,Op143,"AbaM,ABUW_1645",False,
ABUW_1976,-0.1214773794,adeC,multidrug efflux protein AdeC,Cell wall/membrane/envelope biogenesis,Op1027,"AdeR,BaeS-BaeR",True,
