locus,gene_weight,gene_name,gene_product,cog,regulator,CpxR,ParB,link
PA3205,0.3745994473,PA3205,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3205&e1=1&assembly=complete
PA3206,0.279639998,PA3206,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3206&e1=1&assembly=complete
PA3963a,0.2753097016,PA3963a,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3963a&e1=1&assembly=complete
PA3207,0.2013260294,PA3207,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3207&e1=1&assembly=complete
PA2528,0.1790181217,PA2528,resistance-nodulation-cell division (RND) efflux membrane fusion protein,Cell wall/membrane/envelope biogenesis,CpxR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2528&e1=1&assembly=complete
PA2527,0.15012260200000002,PA2527,resistance-nodulation-cell division (RND) efflux transporter,Defense mechanisms,CpxR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2527&e1=1&assembly=complete
PA3575,0.13479789820000002,PA3575,hypothetical protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3575&e1=1&assembly=complete
PA2526,0.1339732067,PA2526,resistance-nodulation-cell division (RND) efflux transporter,Defense mechanisms,CpxR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2526&e1=1&assembly=complete
PA2525,0.1222125009,PA2525,hypothetical protein,Cell wall/membrane/envelope biogenesis,CpxR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2525&e1=1&assembly=complete
PA0849,0.0765508715,trxB2,thioredoxin reductase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0849&e1=1&assembly=complete
PA1864,0.07333307900000001,PA1864,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1864&e1=1&assembly=complete
PA4613,0.07162617,katB,catalase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4613&e1=1&assembly=complete
PA4513,0.06586720930000001,PA4513,oxidoreductase,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4513&e1=1&assembly=complete
PA0848,0.0645406131,PA0848,alkyl hydroperoxide reductase,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0848&e1=1&assembly=complete
PA0493,0.0632435548,PA0493,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Lipid transport and metabolism,ParB,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0493&e1=1&assembly=complete
