locus,gene_weight,gene_name,gene_product,cog,regulator,Rgg,link
SP5448_00800,0.2942478159,SP5448_00800,ATP synthase subunit G,Function unknown,"CcpA_core_M1,CovR,Rgg,FasX_60min_M1",True,
SP5448_00805,0.2820789045,ntpI,ATP synthase subunit I,Energy production and conversion,"CcpA_core_M1,CovR,Rgg,Rgg,CovR,CovR",True,
SP5448_00790,0.267084278,yabJ,endoribonuclease L-PSP,"Translation, ribosomal structure and biogenesis","CcpA_core_M1,CovR,Rgg,Rgg,LacD.1_M14,FasX_15min_M1,VicR",True,
SP5448_00825,0.2635575387,ntpG,ATP synthase subunit F,Energy production and conversion,"CcpA_core_M1,CovR,Mga,CovR,CovR",False,
SP5448_00815,0.2626196517,atpE,ATPase V,Energy production and conversion,"CcpA_core_M1,CovR,Rgg,FasX_60min_M1,CovR,CovR",True,
SP5448_00795,0.2526113633,pfoR,transcriptional regulator,Carbohydrate transport and metabolism,"CcpA_core_M1,CovR,Rgg,VicR",True,
SP5448_00810,0.24766409760000002,atpE,ATP synthase subunit K,Energy production and conversion,"CcpA_core_M1,CovR,Rgg,CovR,CovR,Irr_EE_M6",True,
SP5448_00820,0.24593803890000002,ntpC,ATP synthase subunit C,Energy production and conversion,"CcpA_core_M1,CovR,Mga,Rgg,CovR,CovR,CovR",True,
SP5448_00830,0.2407918071,atpA,ATP synthase subunit A,Energy production and conversion,"CcpA_core_M1,CovR,Mga,Rgg,LacD.1_M14,RivR_M1,Nra_transition_M49",True,
SP5448_00835,0.2315303416,ntpB,ATP synthase subunit B,Energy production and conversion,"CcpA_core_M1,CovR,Mga,Rgg,Nra_transition_M49",True,
SP5448_00840,0.21170407430000002,atpD,ATP synthase subunit D,Energy production and conversion,"CcpA_core_M1,CovR,Mga,Rgg",True,
SP5448_09320,0.14702268840000002,sdaAA,serine dehydratase,Amino acid transport and metabolism,"Rgg,FasX_15min_M1",True,
SP5448_02915,0.1431439651,cysK,cysteine synthase,Amino acid transport and metabolism,"Rgg,Rgg,Srv_M1",True,
SP5448_09315,0.130098142,sdaAB,serine dehydratase,Amino acid transport and metabolism,"CovR,Rgg",True,
SP5448_02745,0.0583559784,tcyN,amino acid ABC transporter ATP-binding protein,Amino acid transport and metabolism,Rgg,True,
SP5448_02740,0.056197456800000004,yxeN,amino acid ABC transporter permease,Inorganic ion transport and metabolism,Rgg,True,
SP5448_00635,-0.0562639173,SP5448_00635,competence protein ComG,Function unknown,Irr_EE_M6,False,
SP5448_02120,-0.0643297857,serS,serine--tRNA ligase,"Translation, ribosomal structure and biogenesis","T-box(Ser),Rgg,LacD.1_M14",True,
SP5448_00890,-0.0683268025,SP5448_00890,hypothetical protein,Function unknown,"CovR,Mga,Mga,Rgg,Rgg,CovR,CovR,CovR",True,
SP5448_03665,-0.0684750881,SP5448_03665,hypothetical protein,Function unknown,"CovR,CovR,Phage_2",False,
