,name,x,y,cog,color,link
meta,start,0.0824899088150973,,,,
PN96_RS00040,pssA,6014,-0.0032861358128627,Lipid transport and metabolism,#87cefa,
PN96_RS00045,PN96_RS00045,7450,-0.0158571292882985,Function unknown,#0000ff,
PN96_RS00050,murB,7958,-0.0140773311397385,Cell wall/membrane/envelope biogenesis,#c71585,
PN96_RS00055,birA,8998,-0.0067160885958112,Coenzyme transport and metabolism,#d3d3d3,
PN96_RS00060,coaA,9973,-0.000320767734378,Nucleotide transport and metabolism,#87ceeb,
PN96_RS00085,tuf,11619,-0.0068450063872413,"Translation, ribosomal structure and biogenesis",#daa520,
PN96_RS00090,secE,13072,-0.0074823457159027,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,
PN96_RS00095,nusG,13466,0.0001293994264493,Transcription,#000000,
PN96_RS00100,rplK,14180,0.0058454068910549,"Translation, ribosomal structure and biogenesis",#daa520,
PN96_RS00105,rplA,14613,0.0026724590713496,"Translation, ribosomal structure and biogenesis",#daa520,
PN96_RS00110,rplJ,15607,-0.0023778946100781,"Translation, ribosomal structure and biogenesis",#daa520,
PN96_RS00115,rplL,16159,-0.0004345534765387,"Translation, ribosomal structure and biogenesis",#daa520,
PN96_RS00120,rpoB,16779,0.0126792340370997,Transcription,#000000,
PN96_RS00125,rpoC,20895,0.0104941573040125,Transcription,#000000,
PN96_RS00130,PN96_RS00130,25244,0.0042396345713325,Transcription,#000000,
PN96_RS00135,nudC,25914,-0.0047056520036665,"Replication, recombination and repair",#1e90ff,
PN96_RS00140,hemE,26960,-0.0092300883792502,Coenzyme transport and metabolism,#d3d3d3,
PN96_RS00145,PN96_RS00145,28247,-0.0177695542897137,"Replication, recombination and repair",#1e90ff,
PN96_RS00150,PN96_RS00150,28827,-0.0096738225644272,Amino acid transport and metabolism,#ff0000,
PN96_RS00155,PN96_RS00155,29817,-0.0066540038548429,Function unknown,#0000ff,
PN96_RS00160,PN96_RS00160,30478,0.0015947772587272,Function unknown,#0000ff,
PN96_RS00165,hupA,31859,-0.0008851106126236,"Replication, recombination and repair",#1e90ff,
PN96_RS00170,PN96_RS00170,32171,-0.0046246410922866,Cell wall/membrane/envelope biogenesis,#c71585,
PN96_RS00175,purD,32939,-0.0008711950694748,Nucleotide transport and metabolism,#87ceeb,
PN96_RS00180,purH,34447,-0.0098635589939301,Nucleotide transport and metabolism,#87ceeb,
PN96_RS00190,zntR,36305,-0.0159423962275065,Transcription,#000000,
PN96_RS00195,cadC,36858,-0.0037014372436634,Transcription,#000000,
PN96_RS23650,PN96_RS23650,49873,0.0074604202397316,"Replication, recombination and repair",#1e90ff,
PN96_RS00260,PN96_RS00260,51213,-0.0115484454546799,Inorganic ion transport and metabolism,#8b4513,
PN96_RS00265,metH,52764,-0.0130282264144117,Amino acid transport and metabolism,#ff0000,
PN96_RS00270,lysC,56508,0.006101911791129,Amino acid transport and metabolism,#ff0000,
PN96_RS00280,PN96_RS00280,58366,0.0284398429723938,Amino acid transport and metabolism,#ff0000,
PN96_RS00285,PN96_RS00285,59538,0.0027499271542663,Cell wall/membrane/envelope biogenesis,#c71585,
PN96_RS00290,uvrA,61384,-0.0008228378748906,"Replication, recombination and repair",#1e90ff,
PN96_RS00295,galU,64355,-0.0007626539665746,Cell wall/membrane/envelope biogenesis,#c71585,
PN96_RS00300,QstR,65407,0.0094944315010695,Transcription,#000000,
PN96_RS00305,PN96_RS00305,66329,0.0101288044703559,"Replication, recombination and repair",#1e90ff,
PN96_RS00310,csrD,67106,0.0034528369617063,Signal transduction mechanisms,#f4a460,
PN96_RS00315,PN96_RS00315,69127,-0.001900921194552,Cell motility,#da70d6,
PN96_RS00320,pilO,70569,0.0019117022072659,Cell motility,#da70d6,
PN96_RS00325,PN96_RS00325,71212,0.0039800369138433,Function unknown,#0000ff,
PN96_RS00330,mshL,71565,-0.0006144041846943,Cell motility,#da70d6,
PN96_RS00335,PN96_RS00335,73289,0.0025178673201307,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,
PN96_RS00340,PN96_RS00340,74119,0.0009519023579058,Function unknown,#0000ff,
PN96_RS00345,PN96_RS00345,75228,-0.0067968477055626,Cell motility,#da70d6,
PN96_RS00350,PN96_RS00350,76961,-0.0080153106278587,Cell motility,#da70d6,
PN96_RS00355,PN96_RS00355,78188,-0.0019376329774873,No COG annotation,#00bfbf,
PN96_RS00360,PN96_RS00360,78932,0.0030557013063632,Cell motility,#da70d6,
PN96_RS00365,PN96_RS00365,79483,0.0100549737032699,No COG annotation,#00bfbf,
PN96_RS00370,PN96_RS00370,79838,0.0100530591014739,Cell motility,#da70d6,
PN96_RS00375,PN96_RS00375,80323,0.0150651876807749,Cell motility,#da70d6,
PN96_RS00380,PN96_RS00380,80898,0.0119937166434706,Cell motility,#da70d6,
PN96_RS00385,PN96_RS00385,81625,0.0199480700377229,No COG annotation,#00bfbf,
PN96_RS00390,PN96_RS00390,82064,0.0119919999597714,No COG annotation,#00bfbf,
PN96_RS00395,PN96_RS00395,85918,-0.000767810420306,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PN96_RS00400,mreC,87111,-0.0007111259973997,Cell wall/membrane/envelope biogenesis,#c71585,
PN96_RS00405,mreD,88000,-0.0081669134500052,Cell wall/membrane/envelope biogenesis,#c71585,
PN96_RS00410,PN96_RS00410,88493,-0.0049465755102743,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PN96_RS00415,rng,89081,-0.0031920341351628,"Translation, ribosomal structure and biogenesis",#daa520,
PN96_RS00420,PN96_RS00420,90562,-0.0056635966205856,Function unknown,#0000ff,
PN96_RS00425,PN96_RS00425,94482,0.0051622485366413,Function unknown,#0000ff,
PN96_RS00430,tldD,95315,-0.0053054219415522,Function unknown,#0000ff,
PN96_RS00435,PN96_RS00435,96834,-0.0140474316764589,Signal transduction mechanisms,#f4a460,
PN96_RS00440,rapA,98778,-0.0016204077653521,Transcription,#000000,
PN96_RS00445,PN96_RS00445,101776,-0.0013473333901994,Inorganic ion transport and metabolism,#8b4513,
PN96_RS00450,rluA,103437,0.031290837217655,"Translation, ribosomal structure and biogenesis",#daa520,
PN96_RS00455,PN96_RS00455,104222,-0.0022232900500899,Energy production and conversion,#708090,
PN96_RS00460,PN96_RS00460,105251,0.0037119842688816,Function unknown,#0000ff,
PN96_RS00465,pmbA,105889,-0.0021296195550142,Function unknown,#0000ff,
PN96_RS00470,mgtE,107311,-0.0061265508853006,Inorganic ion transport and metabolism,#8b4513,
PN96_RS00475,PN96_RS00475,108911,0.0085701204685614,Carbohydrate transport and metabolism,#ffc0cb,
PN96_RS00480,rapZ,109189,0.0047323796785275,Function unknown,#0000ff,
PN96_RS00485,ptsN,110068,0.0095731170198221,Carbohydrate transport and metabolism,#ffc0cb,
PN96_RS00490,hpf,110517,0.0038821546357097,"Translation, ribosomal structure and biogenesis",#daa520,
PN96_RS00495,PN96_RS00495,110828,0.0043162659202522,Transcription,#000000,
PN96_RS00500,lptB,112351,0.0066906246091567,Function unknown,#0000ff,
PN96_RS00505,lptA,113078,0.0065198508503028,Function unknown,#0000ff,
PN96_RS00510,lptC,113553,-0.0019265763074322,Function unknown,#0000ff,
PN96_RS00515,kdsD,114194,0.0014328126673769,Cell wall/membrane/envelope biogenesis,#c71585,
